Period,Revenue,GrossProfit,GrossMargin,EBITDA,OperatingIncome,NetIncome,EPS,OperatingCashFlow,Capex,FreeCashFlow,StockBasedComp,ShareholdersEquity,TotalDebt,CashAndEquivalents,SharesOutstanding,NTAPerShare
FY2017,12740658,1476938,11.6,-475557,-1249729,-1323784,-0.00040,-702908,525850,-1228758,0,4986689,0,777841,3664.253194,0.001315
H1 2018,4890074,859743,17.6,-184770,-243826,-249407,-0.00007,-18070,26462,-44532,0,4937282,0,360029,3664.253194,0.001347
FY2018,6506888,1360527,20.9,-170980,-460264,-472822,-0.00013,-162659,43255,-205914,0,4713867,0,665779,3664.253194,0.001286
H1 2019,1645065,903985,55.0,-26394,-80860,-78440,-0.00002,-78033,16385,-94418,0,4635427,0,522113,3664.253194,0.001264
FY2019,2602043,1165838,44.8,-874707,-983774,-980148,-0.00027,-394534,25978,-420512,0,3733719,0,240645,3664.253194,0.001019
H1 2020,739664,321507,43.5,-157367,-279505,-303690,-0.00008,231747,4179,161105,0,3430029,714279,377622,3664.253194,0.000936
FY2020,1234931,169918,13.8,-874637,-1121625,-1170553,-0.00017,-149839,4179,-290903,0,2563166,674399,197905,3664.253194,0.000704
H1 2021,287582,29423,10.2,-32767,-284405,-317025,-0.00004,-290876,0,-365346,0,2246141,656968,19305,3664.253194,0.000620
FY2021,646910,-247348,-38.2,-962430,-1202522,-1271851,-0.00017,-228360,0,-380450,0,1291315,579348,3375,3664.253194,0.000361
H1 2022,111431,13841,12.4,-299957,-411705,-451120,-0.00007,-71508,3064,-155367,0,840195,498553,4628,3664.253194,0.000238
FY2022,415023,31052,7.5,-454388,-654679,-738425,-0.00011,-125827,4403,-294999,0,552890,64634,14451,3664.253194,0.000151
H1 2023,671308,557861,83.1,126451,91655,65161,-0.00000401,68915,0,52403,0,618051,193893,1648,3664.253194,0.000171
FY2023,1075442,752837,70.0,-35236,-101832,-178421,-0.00004,61663,3120,18709,0,374469,173976,4963,3664.253194,0.000104
H1 2024,489319,386603,79.0,-70139,-99248,-125791,-0.00002165,69707,0,55080,0,248678,157787,14318,3664.253194,0.0000709
FY2024,1324402,969318,73.2,186920,128130,53911,-0.00000,-97249,3549,-140788,0,428380,117024,26181,3664.253194,0.0001186
H1 2025,402345,291535,72.5,-69642,-98224,-156912,-0.00003397,-208287,3174,-228724,0,271468,99761,3206,3664.253194,0.0000766
FY2025,741088,377196,50.9,-1917,-59233,-184806,-0.00004,-275697,3174,-324569,0,243574,226639,3760,3664.253194,0.0000668
H1 2026,33053,-4476,-13.5,-244647,-281900,-363640,-0.00006477,-277150,0,-419233,0,-120066,204389,2556,3664.253194,-0.0000302
FY2026,161285,-75004,-46.5,-577791,-637305,-818093,-0.00014,-570243,10354,-631437,0,206390,169364,39437,3664.253194,0.0000568
