Period,Revenue_RMB_Mn,GrossProfit_RMB_Mn,GrossMargin_Pct,OperatingIncome_RMB_Mn,NetIncome_RMB_Mn,EPS_Diluted_RMB,EPS_ADS_Diluted_USD,FreeCashFlow_RMB_Mn,OperatingCashFlow_RMB_Mn,AdjustedEBITA_RMB_Mn,AdjustedEBITDA_RMB_Mn,ShareholdersEquity_RMB_Mn,TotalAssets_RMB_Mn,TotalLiabilities_RMB_Mn,TotalDebt_RMB_Mn,CashAndEquivalents_RMB_Mn,SharesOutstanding_Mn,TaobaoTmall_Revenue_RMB_Mn,Cloud_Revenue_RMB_Mn,International_Revenue_RMB_Mn,Logistics_Revenue_RMB_Mn,ShortTermInvestments_RMB_Mn,OtherTreasuryInvestments_RMB_Mn
FY2017,158273,98790,62.4,48055,43675,2.12,2.46,71318,82854,69172,74456,278799,506812,182691,91732,143281,20579,127871,6663,14591,0,,
FY2018,250266,143222,57.2,69314,63985,3.06,3.90,99996,125805,97003,105792,365822,717124,277685,125553,199307,20881,214020,13390,,,,
FY2019,376844,169915,45.1,57084,87600,4.17,4.97,104478,150975,106981,121943,492257,965076,349674,134300,189976,20988,323400,24702,,,3262,0
FY2020,509711,227344,44.6,91430,149263,6.99,7.90,130914,180607,137136,157659,755401,1312985,433334,125430,330503,21346,379172,40016,51902,47286,28478,0
FY2021,717289,296084,41.3,89678,150308,6.84,8.35,172662,231786,170453,196842,937470,1690218,606584,149153,321262,21982,501379,60558,48851,37258,152376,0
FY2022,853062,313612,36.8,69638,61959,2.84,3.58,98874,142759,130397,158205,948479,1695553,613360,141344,189898,21787,429930,102016,62185,66808,256514,0
FY2023,868687,318992,36.7,100351,72509,3.43,4.00,171663,199752,147911,175710,989657,1753044,630123,161354,193086,21114,413206,103497,70506,77512,326492,40736
FY2024,941168,354845,37.7,113350,79741,3.91,4.33,156210,182593,165028,191668,986544,1764829,652230,170776,248125,20359,490101,106374,102598,99020,262955,106150
FY2025,996347,398062,39.9,140905,129470,6.70,7.39,73870,163509,173065,202325,1009858,1804227,714121,230703,145487,19318,508380,118028,132300,101272,228826,228016
FY2026,1023670,407534,39.8,50150,105904,5.50,6.38,-46609,76213,76416,113483,1060886,1909570,783300,259996,131530,19235,554217,158132,144170,0,155310,238075
Q1 FY2024,234156,91809,39.2,42490,34332,1.66,1.83,39089,45306,45371,52052,1013504,1776804,629763,,226405,20608,114953,25123,22123,23164,,
Q2 FY2024,224790,78684,35.0,33584,27706,1.35,1.48,45220,49231,42845,49237,1035082,1811590,641544,,243716,20526,97654,27648,24511,22823,,
Q3 FY2024,260348,104134,40.0,22511,14433,0.71,0.80,56540,64716,52843,59572,1010590,1820966,678536,,254804,20485,129070,28066,28516,28476,,
Q4 FY2024,221874,73776,33.3,14765,3270,0.16,0.18,15361,23340,23969,30807,986544,1764829,652230,170776,248125,19980,93216,25595,27448,24557,,
Q1 FY2025,243236,97130,39.9,35989,24269,1.24,1.36,17372,33636,45035,51161,938025,1785054,731694,,219167,19595,113373,26549,29293,26811,,
Q2 FY2025,236503,93121,39.4,35018,43874,2.40,2.70,32413,42789,41973,49667,,,,,,,108190,27611,31672,25750,,
Q3 FY2025,280154,114378,40.8,40801,48945,2.73,3.08,25587,46561,48217,56508,,,,,,,114660,30654,33614,25802,,
Q4 FY2025,236454,95082,40.2,30101,11973,0.50,0.55,3743,27520,32616,41783,1009858,1804227,714121,230703,145487,,101369,30127,33579,21573,,
Q1 FY2026,247652,,,34988,43116,2.25,2.54,-18815,20672,38844,,,,,,,140072,33398,34741,,,
Q2 FY2026,247795,,,5365,20990,1.09,1.23,-21840,10099,9073,,,,,,,132578,39824,34799,,,
Q3 FY2026,284843,115309,40.5,10645,16322,0.74,0.85,11346,36032,23397,34057,1039655,1878299,772371,262740,128174,19310,159347,43284,39201,0,,
Q4 FY2026,243380,83988,34.5,-848,25476,1.30,1.51,-17300,9410,5102,16435,1060886,1909570,783300,259996,131530,19319,122220,41626,35429,0,,
