Period,Currency,Revenue,GrossProfit,GrossMarginPct,EBITDA,EBIT,NetIncome,EPS,DividendPerShare,OperatingCashFlow,FreeCashFlow,ShareholdersEquity,TotalDebt,CashAndEquivalents,SharesOutstanding,HealthcareRevenue,AnimalCareRevenue
FY2015,NZD,6068.1,,,196.7,172.6,105.9,70.8,47.0,133.8,118.9,1051.0,426.1,109.5,149.7,5692.9,375.2
FY2016,NZD,7101.5,,,225.5,200.8,127.0,84.0,58.5,224.1,207.8,1087.3,367.6,120.3,151.1,6686.4,415.0
FY2017,NZD,7625.9,,,234.4,208.6,133.3,87.8,63.0,143.9,107.5,1152.4,596.7,162.2,151.8,6116.8,1509.1
FY2018,NZD,7609.5,,,272.4,237.6,149.6,98.5,71.0,176.2,115.6,1216.2,515.9,250.6,151.8,7197.6,411.9
FY2019,AUD,6930.4,,,250.4,218.3,136.7,89.8,50.0,118.5,85.5,1239.3,521.6,130.8,152.2,6548.3,382.0
FY2020,AUD,8765.5,,,333.6,260.5,161.5,100.6,55.0,229.2,205.0,1310.9,875.1,183.5,160.6,7045.4,1720.1
FY2021,AUD,9202.9,,,363.3,290.7,184.0,113.2,61.0,298.3,221.2,1659.3,1146.9,264.3,162.6,7355.2,1847.7
FY2022,AUD,10734.1,,,405.8,323.9,202.0,114.5,66.0,248.7,167.0,1918.8,1432.0,342.5,176.4,8636.6,2097.5
FY2023,AUD,12237.4,,,568.8,444.0,263.4,132.9,76.0,391.4,297.4,2303.4,1646.0,211.9,198.2,9901.5,2335.9
FY2024,AUD,13189.1,,,605.6,476.7,271.5,141.3,86.0,348.2,252.3,2451.0,1235.8,216.9,192.2,10647.8,2541.2
FY2025,AUD,12266.9,,,555.6,408.7,215.1,109.7,118.5,418.5,293.4,2739.6,1102.5,184.3,196.1,9447.3,2819.6
H1 FY2025,AUD,6000.0,,,291.0,,131.0,67.5,57.0,,,,,,,,
