Period,Revenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,NetIncome,NetMargin,EPS,FreeCashFlow,OperatingCashFlow,CapEx,ShareholdersEquity,TotalDebt,CashAndEquivalents,SharesOutstanding,MerchantRevenue,FinancialRevenue,ProcessingRevenue,ProductRevenue
FY2014,5066,,,1210,23.9,754,14.9,1.84,1192,1552,360,,,,,,,4219,847
FY2015,5254,,,1311,25.0,712,13.5,1.73,1196,1483,287,,,,,,,4411,843
FY2016,5505,,,1445,26.2,930,16.9,2.26,1192,1552,360,,,,,,,4625,880
FY2017,5696,,,1532,26.9,1232,21.6,2.98,1196,1483,287,,,,,,,4833,863
FY2018,5823,,,1753,30.1,1187,20.4,2.87,1192,1552,360,,,,,,,4975,848
FY2019,10187,,,1609,15.8,893,8.8,1.71,2074,2795,721,32979,21899,893,522.6,,,8573,1614
FY2020,14852,,,1852,12.5,958,6.5,1.40,3247,4147,900,32330,20684,906,683.4,,,12215,2637
FY2021,16226,,,2288,14.1,1334,8.2,1.99,2874,4034,1160,30952,21237,835,671.6,,,13307,2919
FY2022,17737,,,3740,21.1,2530,14.3,3.91,3139,4618,1479,30828,21418,902,647.9,7883,8681,14460,3277
Q1 2022,4138,,,822,19.9,594,14.4,0.93,,,,,,652.7,,,,
Q2 2022,4425,,,908,20.5,622,14.1,0.97,,,,,,650.3,,,,
Q3 2022,4480,,,937,20.9,626,14.0,0.98,,,,,,648.3,,,,
FY2023,19093,,,5014,26.3,3068,16.1,4.98,3774,5162,1388,29857,23118,1204,615.9,8722,9101,15630,3463
Q1 2023,4547,,,934,20.5,563,12.4,0.89,,,,,,631.3,,,3673,874
Q2 2023,4756,,,1131,23.8,683,14.4,1.10,,,,,,619.2,,,3924,832
Q3 2023,4873,,,1503,30.8,952,19.5,1.56,,,,,,610.3,,,4008,865
FY2024,20456,,,5879,28.7,3131,15.3,5.38,5062,6631,1569,27068,24840,1236,582.1,9631,9477,16637,3819
Q1 2024,4883,,,1181,24.2,735,15.1,1.24,,,,,,594.8,,,4000,883
Q2 2024,5107,,,1428,28.0,894,17.5,1.53,,,,,,585.4,,,4140,967
Q3 2024,5215,,,1602,30.7,564,10.8,0.98,,,,,,576.9,,,4237,978
FY2025E,21359,,,6177,28.9,3579,16.8,6.53,4997,6818,1821,25121,30199,1068,535.0,10202,9902,17022,4337
Q1 2025,5130,,,1395,27.2,851,16.6,1.51,313,648,335,25884,28297,1177,564.7,2372,2417,4045,1085
Q2 2025,5516,,,1696,30.7,1026,18.6,1.86,1499,1665,479,25215,29587,999,552.7,2644,2552,4304,1212
Q3 2025,5263,,,1436,27.3,792,15.1,1.46,1284,1805,507,25121,30199,1068,541.8,2586,2333,4273,990
Q4 2025E,5450,,,1650,30.3,910,16.7,1.70,2401,2700,500,,,,,2600,2600,4400,1050
