Period,Revenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,NetIncome,NetMargin,EPS,FreeCashFlow,ShareholdersEquity,TotalDebt,CashAndEquivalents,SharesOutstanding,GoogleSearchRevenue,YouTubeAdsRevenue,GoogleCloudRevenue,GoogleNetworkRevenue,OtherBetsRevenue,TrafficAcquisitionCosts,NumberOfEmployees
Q1 2020,41159,22177,53.9,6988,17.0,6836,16.6,9.87,7874,201442,4554,119686,6925,24502,4038,2777,5224,135,7452,123048
Q2 2020,38297,20593,53.8,6372,16.6,6959,18.2,10.13,9612,203624,4198,121197,6877,21318,3812,3007,5423,148,7188,127498
Q3 2020,46173,24682,53.5,11214,24.3,11247,24.4,16.40,13000,207453,13932,120908,6858,26337,5037,3444,5674,149,7821,132121
Q4 2020,56898,30323,53.3,15652,27.5,15227,26.8,22.30,15901,222544,13932,136694,6868,31887,6885,3831,6735,196,9317,135301
FY2020,182527,97795,53.6,41224,22.6,40269,22.1,58.61,42843,222544,13932,136694,6868,104062,19772,13059,23090,657,32778,135301
Q1 2021,55314,29757,53.8,16437,29.7,17930,32.4,26.29,15003,224925,13932,135860,6834,31879,6005,4047,6524,198,8230,139995
Q2 2021,61880,33682,54.4,19360,31.3,18525,29.9,27.26,15744,233537,14518,135860,6818,35848,7002,4628,6620,192,8617,144056
Q3 2021,65118,35565,54.6,21031,32.3,18936,29.1,27.99,16718,242859,14701,142008,6777,37926,7205,4990,7497,182,8747,150028
Q4 2021,75325,41292,54.8,21885,29.1,20642,27.4,30.69,20000,251635,14817,139649,6723,43298,8633,5541,8059,181,10108,156500
FY2021,257637,140296,54.4,78714,30.5,76033,29.5,112.20,67465,251635,14817,139649,6723,148951,28845,19206,31701,753,35702,156500
Q1 2022,68011,36869,54.2,20094,29.5,16436,24.2,24.62,15361,254455,14701,135863,6678,39618,6869,5821,6426,440,8730,163906
Q2 2022,69685,37746,54.2,19361,27.8,16002,23.0,23.97,16087,255276,14701,124997,6679,40689,7340,6276,6553,193,8814,174014
Q3 2022,69092,37355,54.1,17135,24.8,13910,20.1,20.71,13726,253317,14701,116246,6725,39539,7071,6868,7207,209,8541,186779
Q4 2022,76048,40916,53.8,18988,25.0,13624,17.9,20.22,16200,256144,14701,113753,6728,42604,7963,7315,7594,226,10693,190234
FY2022,282836,152886,54.1,74687,26.4,59972,21.2,89.53,61374,256144,14701,113753,6728,162450,29243,26280,32780,1068,36778,190234
Q1 2023,69787,38011,54.5,17415,25.0,15051,21.6,22.42,16700,262035,14565,114672,6723,40359,6693,7454,7496,288,8881,197159
Q2 2023,74604,40747,54.6,21838,29.3,18368,24.6,27.33,17900,270260,13726,118337,6721,42628,7665,8031,7850,285,9306,181269
Q3 2023,76693,42084,54.9,23054,30.1,19689,25.7,29.32,19500,277081,13296,118084,6715,44026,7952,8411,7548,297,9458,182502
Q4 2023,86310,47387,54.9,23696,27.5,20687,24.0,30.73,20400,283388,13231,110916,6722,48019,9200,9176,8422,657,10695,190711
FY2023,307394,168229,54.7,85994,28.0,73795,24.0,109.80,74500,283388,13231,110916,6722,175032,31510,33088,31316,1527,38340,190711
Q1 2024,80539,43961,54.6,25473,31.6,23662,29.4,35.23,22100,289085,13232,108039,6736,46156,8091,9574,7413,495,9828,191566
Q2 2024,84742,46289,54.6,27429,32.4,23619,27.9,35.17,23700,296403,13219,111693,6720,48509,8663,10347,7443,365,10026,183372
Q3 2024,88268,48267,54.7,28521,32.3,26301,29.8,39.20,24800,304532,13220,93235,6708,49385,8921,11353,7546,388,10485,181269
Q4 2024,96771,53030,54.8,30883,31.9,26471,27.4,39.64,27800,315237,13220,123921,6694,51290,10896,11990,7918,409,11254,191548
FY2024,350320,191547,54.7,112307,32.1,100053,28.6,149.24,98400,315237,13220,123921,6694,199340,37571,43376,31320,1657,41593,191548
Q1 2025,90272,49346,54.7,28991,32.1,26577,29.4,39.58,24600,323412,13213,127844,6688,52262,9378,12347,7695,476,10804,193415
Q2 2025,94949,52022,54.8,30988,32.6,27571,29.0,41.03,26100,331589,13205,132091,6683,53913,9687,12765,7914,497,11137,195234
Q3 2025,98636,54101,54.8,32389,32.8,28054,28.4,41.73,27300,340123,13197,138264,6679,55241,10087,13209,8156,520,11523,197428
Q4 2025E,103600,56776,54.8,33974,32.8,29232,28.2,43.50,28500,348500,13190,142000,6675,57200,10500,13800,8400,540,11900,199000
FY2025E,387457,212245,54.8,126342,32.6,111434,28.8,165.84,106700,348500,13190,142000,6675,218616,39652,52121,32165,2033,45364,199000
