Period,Revenue,PaymentNetworkRevenue,ValueAddedServicesRevenue,OperatingExpenses,OperatingIncome,OperatingMargin,NetIncome,DilutedEPS,DilutedShares,CashAndEquivalents,TotalDebt,ShareholdersEquity,OperatingCashFlow,CapEx,FreeCashFlow,ShareBuybacks,Dividends,TotalAssets
FY2014,9188,,,3770,5418,59.0,3617,3.35,1080,,13553,5237,5713,280,5433,500,363,20119
FY2015,9667,,,4034,5633,58.3,3808,3.69,1032,,14531,5657,6117,312,5805,1211,454,21625
FY2016,10776,,,5015,5761,53.5,4059,4.02,1009,,14788,5927,6421,315,6106,2194,531,23836
FY2017,12497,,,5849,6648,53.2,4527,4.87,929,,17574,5426,7145,282,6863,2652,644,26805
Q1 2018,3580,,,1755,1825,51.0,1492,1.42,1050,,,,,,,,,
Q2 2018,3768,,,1907,1861,49.4,1571,1.49,1055,,,,,,,,,
Q3 2018,3819,,,2030,1789,46.8,1513,1.44,1050,,,,,,,,,
FY2018,14950,,,7668,7282,48.7,5859,5.60,1047,8337,991,5418,6223,504,5719,4991,1120,28917
Q1 2019,3889,,,1676,2213,56.9,1816,1.78,1022,,,,,,,,,
Q2 2019,4135,,,1797,2338,56.5,1852,1.81,1023,,,,,,,,,
Q3 2019,4467,,,1812,2655,59.4,2109,2.06,1022,,,,,,,,,
FY2019,16883,,,7219,9664,57.2,8118,7.94,1022,6988,8527,5893,8183,728,7455,6497,1408,29236
Q1 2020,4009,,,1798,2211,55.2,1708,1.68,1015,,,,,,,,,
Q2 2020,3335,,,1628,1707,51.2,1296,1.28,1014,,,,,,,,,
Q3 2020,3837,,,1732,2105,54.9,1614,1.60,1008,,,,,,,,,
FY2020,15301,,,7220,8081,52.8,6411,6.37,1006,10113,12672,6391,7224,708,6516,4473,1605,33584
Q1 2021,4155,,,2098,2057,49.5,1556,1.58,987,,,,,,,,,
Q2 2021,4528,,,2187,2341,51.7,1819,1.84,989,,,,,,,,,
Q3 2021,4985,,,2268,2717,54.5,2172,2.19,991,,,,,,,,,
FY2021,18884,,,8802,10082,53.4,8687,8.76,992,7421,13901,7312,9463,814,8649,5934,1781,37669
Q1 2022,5168,,,2298,2870,55.5,2211,2.27,973,,,,,,,,,
Q2 2022,5497,,,2379,3118,56.7,2373,2.44,972,,,,,,,,,
Q3 2022,5756,,,2463,3293,57.2,2548,2.62,971,,,,,,,,,
FY2022,22237,14358,7879,9973,12264,55.2,9930,10.22,971,7008,14023,6298,11195,1097,10098,8773,1968,38724
Q1 2023,5748,,,2612,3136,54.6,2281,2.41,949,,,,,,,,,
Q2 2023,6269,,,2613,3656,58.3,2927,3.10,945,,,,,,,,,
Q3 2023,6533,,,2689,3844,58.8,3198,3.39,943,,,,,,,,,
FY2023,25098,15824,9274,11090,14008,55.8,11195,11.83,946,8588,15681,6929,11980,1088,10892,9032,2158,42448
Q1 2024,6348,,,2744,3604,56.8,3002,3.23,930,,,,,,,,,
Q2 2024,6961,,,2925,4036,58.0,3267,3.52,929,,,,,,,,,
Q3 2024,7369,,,3365,4004,54.3,3263,3.53,925,11063,18358,7440,,,,,,47237
FY2024,28167,17335,10832,12585,15582,55.3,12874,13.89,927,8442,18226,6485,14780,1194,13586,11035,2448,48081
Q1 2025,7250,,,3101,4149,57.2,3335,3.58,931,,,,,,,,,
Q2 2025,8133,,,3356,4777,58.7,3922,4.22,929,,,,,,,,,
Q3 2025,8602,,,3541,5061,58.8,4093,4.41,928,,,,,,,,,
