Period,Revenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,GMV,TPV,ItemsSold,FintechMAUs,UniqueBuyers,CreditPortfolio,NIMAL,CapEx,FreeCashFlow,ShareholdersEquity,TotalDebt,CashAndEquivalents,SharesOutstanding
Q1 2022,2248,1073,47.7,139,6.2,,65,2.9,1.30,7.7,25.3,267,,81,,,,,1827,5414,1329,50.4
Q2 2022,2597,1284,49.4,250,9.6,,123,4.7,2.43,8.6,30.2,275,,84,,,,,1580,4440,1329,50.4
Q3 2022,2690,1384,51.4,296,11.0,,129,4.8,2.56,8.6,32.2,284,,88,,,,,,,1910,50.3
Q4 2022,3010,1349,44.8,349,11.6,,165,5.5,3.28,9.6,36.0,321,,97,,,,,1827,5414,1910,50.3
FY2022,10545,5090,48.3,1012,9.6,,482,4.6,9.60,34.4,123.6,1147,,148,,,,,,5414,1910,50.3
Q1 2023,3037,1536,50.6,340,11.2,,201,6.6,4.01,9.4,37.0,309,,101,,,,,2040,4832,2143,50.2
Q2 2023,3415,1831,53.6,558,16.3,,262,7.7,5.22,10.5,42.1,325,,109,,,,,,,2171,50.2
Q3 2023,3760,1995,53.1,685,18.2,,359,9.5,7.18,11.4,47.3,357,,120,,,,,2741,5240,2171,50.7
Q4 2023,4409,2050,46.5,335,7.6,470,165,3.7,3.26,13.5,44.5,413,46,141,,,180,,3071,5333,2556,50.697
FY2023,15107,7590,50.2,2207,14.6,,987,6.5,19.64,44.7,146.7,1404,46,167,,36.2,509,,3071,5333,2556,50.697
Q1 2024,4333,2024,46.7,528,12.2,682,344,7.9,6.78,11.4,40.7,385,49,147,,31.5,148,160,3390,5286,2579,50.697
Q2 2024,5073,2365,46.6,726,14.3,880,531,10.5,10.48,12.6,46.3,421,52,157,,31.1,184,,3656,5403,2818,50.697
Q3 2024,5312,2439,45.9,557,10.5,714,397,7.5,7.83,12.9,50.7,456,56,171,,24.2,223,,4002,6324,2162,50.697
Q4 2024,6059,2749,45.4,820,13.5,972,639,10.5,12.61,14.5,58.9,525,61,189,6.6,27.6,305,680,4351,6850,2635,50.697
FY2024,20777,9577,46.1,2631,12.7,,1911,9.2,37.69,51.5,196.7,1787,61,189,6.6,28.2,860,1315,4351,6850,2635,50.697
Q1 2025,5935,2771,46.7,763,12.9,935,494,8.3,9.74,13.3,58.3,492,64,199,7.8,22.7,256,-10,5004,7726,2977,50.697
Q2 2025,6790,3094,45.6,825,12.2,1024,523,7.7,10.31,15.3,64.6,550,68,211,9.3,23.0,287,454,5713,8979,3008,50.697
Q3 2025,7409,3209,43.3,724,9.8,933,421,5.7,8.32,16.5,71.2,635,72,220,11.0,21.0,357,206,6218,9877,2582,50.697
Q4 2025E,8150,3530,43.3,890,10.9,1100,580,7.1,11.44,18.0,78.0,700,76,235,12.5,22.0,380,450,6800,10500,2800,50.697
FY2025E,28284,12804,45.3,3202,11.3,3992,2019,7.1,39.81,63.1,265.3,2312,76,235,12.5,22.2,1280,1100,6800,10500,2800,50.697
