Period,Revenue,ProductRevenue,ServiceRevenue,CostOfSales,GrossProfit,GrossMargin,AdminExpenses,RDExpenses,DepreciationAmortization,ShareBasedComp,OperatingIncome,NetIncome,AdjustedEBITDA,AdjustedEBITDAMargin,EPS,TotalAssets,TotalCurrentAssets,TotalCurrentLiabilities,TotalLiabilities,ShareholdersEquity,Cash,WorkingCapital,Employees
FY2020,12275,,,6452,5823,47.4,7963,1203,1104,653,-4451,-5212,-2694,,,-0.03,34820,25115,14696,18809,16011,12925,10419,132
Q1 2021,3601,,,2171,1430,39.7,2395,,319,118,-,,,,,-0.00,32037,22273,12199,16445,15592,,,
Q2 2021,1950,,,1221,729,37.4,1378,,283,113,-,,,,,-0.01,34639,20233,15410,19848,14791,,,
Q3 2021,5061,,,2934,2127,42.0,4211,,398,189,-2573,-2573,,,,,-0.01,61797,27460,19163,35064,26733,,,
Q4 2021,15018,12682,2336,8555,6463,43.0,2923,881,1114,13,1532,548,2996,20.0,0.00,65465,31724,25360,37863,27602,6754,6364,225
FY2021,25629,22151,3478,14310,11319,44.2,8271,2310,2914,433,-2015,-3537,2148,8.4,-0.02,65465,31724,25360,37863,27602,6754,6364,225
Q1 2022,5512,,,2897,2615,47.4,3529,,455,41,-2559,-2559,,,,,-0.01,63915,30313,27072,38855,25060,,,
Q2 2022,14292,,,8114,6178,43.2,4561,,556,441,514,514,,,,,0.00,63444,31796,25596,37383,26061,,,
Q3 2022,12291,,,8440,3851,31.3,4272,,422,137,-928,-928,,,,,-0.01,65492,34510,32654,40552,24940,,,
Q4 2022,8813,5080,3733,4420,4393,49.8,3887,176,1348,178,-1196,-1270,931,10.6,-0.01,71365,37827,39862,47710,23655,8265,-2035,211
FY2022,40908,24900,16008,23871,17037,41.6,12364,1262,4781,797,-1533,-4243,5292,12.9,-0.02,71365,37827,39862,47710,23655,8265,-2035,211
Q1 2023,7578,,,4280,3298,43.5,4898,,503,161,-1336,-1336,,,,,-0.01,65237,31315,36634,40477,24760,,,
Q2 2023,13655,,,7263,6392,46.8,6151,,517,98,1997,1997,,,,,0.01,70487,39091,40226,43660,26827,,,
Q3 2023,20342,,,10790,9552,47.0,7663,,517,61,2301,2301,,,,,0.01,70511,40408,37574,41124,29387,,,
Q4 2023,28006,19646,8360,16292,11714,41.8,4714,1348,1236,58,4434,2584,5728,20.4,0.01,76419,44075,40461,44360,32059,5173,3614,244
FY2023,69581,52618,16963,35625,33956,48.8,17528,4487,4940,378,4887,5546,14094,20.3,0.03,76419,44075,40461,44360,32059,5173,3614,244
Q1 2024,20875,,,10668,10207,48.9,6739,,1377,57,2175,2175,,,,,0.01,73467,41735,35183,38676,34791,,,
Q2 2024,22758,,,11618,11140,49.0,7536,,1375,30,2609,2609,,,,,0.01,98466,64873,23894,42099,56367,,,
Q3 2024,19550,12492,7058,9293,10257,52.5,4464,1794,1430,414,2304,1631,4148,21.2,0.01,101174,67647,24377,42261,58913,14936,43270,272
Q4 2024,28109,18558,9551,14627,13482,47.9,6432,1805,1498,447,4920,13674,7020,25.0,0.05,162613,117772,23356,40878,121735,58518,94416,283
FY2024,91292,66313,24979,46600,44692,48.9,20037,6233,5726,948,13815,20089,20711,22.7,0.09,162613,117772,23356,40878,121735,58518,94416,283
Q1 2025,16128,10960,5168,6632,9496,58.9,9238,,1601,404,215,215,3116,19.3,0.00,179021,123202,28634,57103,121918,,,
Q2 2025,26390,14748,11642,11006,15384,58.3,13339,,2317,672,-699,-699,4352,16.5,-0.00,184267,101986,30173,65256,119011,,,
Q3 2025,31298,18258,13040,12719,18579,59.4,9142,2367,2404,646,4290,3290,7979,25.5,0.01,301543,213041,29164,65692,235851,126626,183877,421
YTD 2025,73816,43966,29850,30357,43459,58.9,25037,5671,6322,1722,5517,2806,15447,20.9,0.01,301543,213041,29164,65692,235851,126626,183877,421
