Period,Revenue,GrossProfit,GrossMargin,EBITDA,EBIT,NetProfitBeforeTax,NetProfit,NetMargin,EPS,OperatingCashFlow,TotalAssets,TotalLiabilities,TotalEquity,TotalDebt,NetDebt,CashAndEquivalents,SharesOutstanding,KiwifruitTraysNZ,DividendPerShare
FY2015,142112,23725,16.7,13925,7208,5246,4272,3.0,0.29,1804,164318,93499,70819,54152,52960,1192,14.971,27.8,0.17
H1-2016,134243,21478,16.0,15844,12059,10389,7121,5.3,0.45,3310,214047,135942,78105,79720,76865,2855,15.82,32.3,
FY2016,191317,33434,17.5,24764,16958,13612,10385,5.4,0.65,21252,197309,111998,85311,74445,72757,1688,16.067,32.3,0.20
H1-2017,134012,28036,20.9,21927,17736,15832,11093,8.3,0.69,1132,238129,142045,96084,95432,94545,887,16.07,25.7,
FY2017,186814,35277,18.9,23128,13689,9908,5833,3.1,0.35,14058,222023,123398,98625,85510,83121,2389,16.575,25.7,0.22
H1-2018,145436,29748,20.4,23470,17350,15139,10373,7.1,0.61,1549,283680,175749,107931,117876,115979,1897,17.00,31.1,
FY2018,203713,38673,19.0,26217,15187,10638,7418,3.6,0.37,12174,269806,116430,153376,80400,79060,1340,19.901,31.4,0.24
H1-2019,169872,34533,20.3,27906,20314,16539,11864,7.0,0.52,5145,407427,247505,159922,150436,148083,2353,33.90,33.5,
FY2019,236868,47464,20.0,34519,17557,9863,6884,2.9,0.22,18588,368246,213302,154944,119632,116783,2849,31.326,33.5,0.24
H1-2020,178681,37717,21.1,30435,21419,17394,18378,10.3,0.57,9411,416317,242689,173628,131244,129299,1945,32.24,33.4,
FY2020,251457,52676,20.9,42946,24318,16278,15151,6.0,0.52,26353,375426,199133,176293,83019,77855,5164,29.416,33.4,0.22
H1-2021,224479,60139,26.8,46894,34700,30761,20568,9.2,0.65,20190,518885,285555,233330,129549,127845,1704,31.64,40.7,
FY2021,309569,73232,23.7,56790,32180,23488,14860,4.8,0.43,41584,482269,235778,246491,113003,100642,12361,34.829,40.7,0.25
H1-2022,247345,61966,25.1,49360,35396,30065,21454,8.7,0.52,19142,594364,318753,275611,169040,161257,7783,41.25,43.3,
FY2022,348387,68309,19.6,46079,19086,7593,6504,1.9,0.16,12128,547869,276926,270943,150942,147388,3554,41.292,42.0,0.13
H1-2023,212670,48426,22.8,36425,21794,13635,10474,4.9,0.25,4481,582674,310098,272576,182192,177010,5182,41.99,29.8,
FY2023,300920,48726,16.2,25988,-4118,-20988,-14466,-4.8,-0.34,2671,548811,288862,259949,177583,172376,5207,41.988,29.8,0.00
H1-2024,284196,79040,27.8,68384,54544,45006,17052,6.0,0.41,50452,625579,347955,277624,174987,170870,4117,41.57,43.0,
FY2024,411412,104927,25.5,76121,46816,29713,8751,2.1,0.21,66037,549862,283459,266403,140290,137307,2983,41.603,43.0,0.15
H1-2025,307903,96813,31.4,83480,67302,59369,37769,12.3,0.90,62926,654709,352608,302101,136432,130647,5785,42.08,47.1,
