Period,TotalRevenue,CareFeesAndVillageServices,DeferredManagementFees,UnderlyingProfit,NPAT,BasicEPS,DividendPerShare,OperatingCashFlow,TotalAssets,NetAssets,TotalDebt,CashAndEquivalents,ShareholdersEquity,SharesOutstanding,NewSalesORA,ResalesORA,TotalSalesORA,DevelopmentMargin,NewUnitsDelivered,RetirementUnitsInPortfolio,CareUnitsInPortfolio,NTAPerShare
H1-2016,40.0,26.9,13.0,24.7,50.6,23.30,2.6,84.4,1521.4,448.7,262.7,9.4,448.7,217.375,183,123,306,20.3,190,2609,485,206.06
FY2016,86.1,57.8,28.0,56.6,145.5,66.9,7.7,192.6,1706.8,545.6,274.0,8.7,545.6,217.709,414,244,658,22.2,409,2828,748,249.90
H1-2017,50.7,34.1,16.5,35.7,90.3,41.37,3.9,86.4,1932.1,627.6,315.3,13.1,627.6,218.396,179,144,323,28.0,171,2999,,285.72
FY2017,110.5,74.5,35.8,81.7,239.9,109.8,11.0,207.7,2216.3,769.3,347.2,7.6,769.3,219.740,382,300,682,27.3,450,3278,806,347.56
FY2018,137.0,91.2,45.6,98.6,214.5,97.1,13.2,217.8,2766.4,978.8,452.8,,978.8,221.734,339,301,640,33.2,454,3732,858,438.44
FY2019,153.9,101.3,52.5,106.2,175.3,78.6,14.1,237.9,3337.9,1131.9,597.1,,1131.9,224.250,329,323,652,27.9,354,4086,858,502.01
FY2020,172.4,111.6,60.8,98.3,230.8,102.3,13.0,266.8,3893.2,1354.8,687.1,15.8,1354.8,227.073,404,381,785,19.6,356,4442,915,594.14
H1-2021,94.9,59.5,35.4,75.5,263.8,115.91,9.9,229.7,4375.2,1617.9,670.8,19.4,1617.9,227.998,302,243,545,,347,4669,1035,707.28
FY2021,205.3,126.9,75.2,141.1,543.7,238.2,18.5,383.4,4923.7,1924.5,747.0,8.4,1924.5,229.427,540,438,978,23.1,619,4930,1098,835.93
FY2022,238.7,144.6,92.3,141.1,543.7,238.2,18.5,383.4,5840.3,2193.0,1060.5,25.3,2193.0,231.560,537,470,1007,29.7,625,5518,1161,943.93
H1-2023,128.2,77.5,49.8,87.2,133.1,57.31,7.0,146.7,6298.0,2306.6,1293.8,35.0,2306.6,232.684,241,242,483,,152,5670,1161,987.71
FY2023,272.2,165.9,104.6,171.4,269.1,116.7,22.3,369.2,6941.7,2605.4,1393.5,12.6,2605.4,233.872,560,543,1103,31.6,643,6087,1284,1110.41
H1-2024,151.6,93.1,57.9,89.9,100.6,42.87,9.5,191.6,7361.1,2691.9,1539.4,21.0,2691.9,235.208,290,298,588,,331,6364,1359,1141.02
FY2024,319.9,197.2,121.4,206.4,332.0,141.3,24.5,443.2,8066.0,2969.5,1714.3,11.7,2969.5,236.825,588,650,1238,28.9,708,6671,1299,1242.52
H1-2025,173.0,106.4,66.2,106.6,127.2,53.16,9.5,228.7,8679.3,3173.5,1866.8,17.7,3173.5,240.410,354,338,692,,334,6913,1391,1318.44
FY2025,361.8,223.6,137.2,234.2,259.7,108.12,24.5,548.2,9234.9,3327.9,1971.4,6.0,3327.9,242.361,805,755,1560,27.8,693,7198,1475,1375.36
