Period,NetRevenue,TransactionRevenue,InterestIncomeNet,OperatingIncome,IncomeBeforeTax,NetIncome,EPSBasic,EPSDiluted,FreeCashFlow,ActiveCustomers,CrossBorderVolume,CustomerHoldings,TakeRate,InstantPayments,TotalEquity,TotalDebt,CashAndEquivalents,SharesOutstanding
FY2022,757.7,761.5,-3.8,66.2,59.7,44.7,4.62,4.32,154.1,,,,,,556.5,130.2,486.6,1034.0
FY2023,1147.4,1006.9,162.4,187.1,174.3,135.7,13.72,13.02,253.8,,,,,,686.5,314.6,798.6,1042.4
Q1 FY2024,,,,,,,,,,6670,35.3,14.4,0.67,57,,,,
Q2 FY2024,,,,,,,,,,7232,37.1,15.6,0.67,60,,,,
Q3 FY2024,,,,,,,,,,7512,38.3,16.1,0.67,61,,,,
Q4 FY2024,,,,,,,,,,7911,38.9,16.9,0.67,62,,,,
FY2024,1776.1,1323.1,453.0,650.1,656.7,501.5,48.57,47.81,487.2,7911,,,,,,,,1048.9
Q1 FY2025,502.7,367.5,135.2,,,,,,,8374,41.9,22.1,0.64,59,,,,
Q2 FY2025,532.6,391.1,141.5,,,,,,,8892,45.7,24.7,0.59,63,,,,
Q3 FY2025,539.6,398.0,141.6,,,,,,,9047,48.4,25.7,0.56,65,,,,
Q4 FY2025,524.0,389.7,134.3,,,,,,,9290,49.2,27.8,0.53,65,,,,
FY2025,2098.9,1546.3,552.6,728.2,717.5,550.3,53.31,52.63,535.8,9290,185.2,27.8,,,1737.4,128.4,,1045.7
Q1 FY2026,573.3,424.8,148.5,,,,,,,9797,55.0,31.5,0.52,70,,,,
Q2 FY2026,610.5,458.4,152.1,,,,,,,10440,59.0,33.9,0.52,74,,,,
Q3 FY2026,651.2,496.2,155.0,,,,,,,10896,63.1,37.0,0.52,74,,,,
Q4 FY2026,667.8,514.2,153.6,,,,,,,11290,66.5,39.0,0.51,,,,,
FY2026,2502.8,1893.6,609.2,590.7,660.4,498.7,48.92,48.43,532.8,11290,243.6,39.0,,,1925.2,334.7,,1029.7
Q1 FY2027,714.0,540.9,173.1,,,,,,,11863,69.3,41.2,0.50,77,,,,
