Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2016,259842.0,,,,,,,33008.0,12.7,8.55,,,,544190.0,1013465.0,469275.0,235543.0,,3857.7,,2.68,,,,,millions,HKD
FY2017,248515.0,,,,54692.0,22.0,71797.0,35100.0,14.1,9.1,53596.0,-23521.0,30075.0,591547.0,1100255.0,508708.0,335262.0,160470.0,3857.7,,2.85,,,,,millions,HKD
FY2018,277129.0,,,,58995.0,21.3,78734.0,39000.0,14.1,10.11,55734.0,-27540.0,28194.0,590823.0,1232244.0,641421.0,351556.0,135411.0,3856.2,,3.17,,,,,millions,HKD
FY2019,299021.0,,,,68102.0,22.8,106231.0,39830.0,13.3,10.33,69270.0,-32190.0,37080.0,596963.0,1210976.0,614013.0,438248.0,137127.0,3856.2,,3.17,,,,,millions,HKD
FY2020,266396.0,,,,52549.0,19.7,94207.0,29143.0,10.9,7.56,73171.0,-27104.0,46067.0,630063.0,1254596.0,624533.0,443336.0,155951.0,3856.2,,2.314,,,,,millions,HKD
FY2021,280847.0,,,,53310.0,19.0,98566.0,33484.0,11.9,8.7,52184.0,-27056.0,25128.0,644255.0,1213526.0,569271.0,410878.0,153133.0,3834.6,,2.66,,,,,millions,HKD
FY2022,262497.0,,,,60985.0,23.2,100773.0,36680.0,14.0,9.57,56714.0,-23885.0,32829.0,647309.0,1148437.0,501128.0,350385.0,138085.0,3830.0,,2.926,,,,,millions,HKD
H1 FY2023,133377.0,,,,21742.0,16.3,41417.0,11542.0,8.7,3.01,21191.0,-9746.0,11445.0,,,,,128740.0,3830.0,,,,,,,millions,HKD
FY2023,275575.0,,,,45781.0,16.6,85864.0,23839.0,8.7,6.22,51437.0,-21670.0,29767.0,670549.0,1158903.0,488354.0,339845.0,127323.0,3830.0,,2.531,,,,,millions,HKD
H1 FY2024,136451.0,,,,22448.0,16.5,42274.0,10205.0,7.5,2.66,22965.0,-8817.0,14148.0,,,,,131599.0,3830.0,,,,,,,millions,HKD
FY2024,281351.0,,,,41962.0,14.9,82422.0,17088.0,6.1,4.46,54228.0,-20365.0,33863.0,652592.0,1112542.0,459950.0,320911.0,121303.0,3830.0,,2.202,,,,,millions,HKD
H1 FY2025,139130.0,,,,14082.0,10.1,33944.0,852.0,0.6,0.22,30961.0,-7719.0,23242.0,675865.0,1019996.0,344131.0,323122.0,129613.0,3830.0,,,,,,,millions,HKD
FY2025,280036.0,,,,38934.0,13.9,77325.0,11841.0,4.2,3.09,62567.0,-18743.0,43824.0,688392.0,1155673.0,467281.0,330089.0,143748.0,3830.0,,2.312,,,,,millions,HKD
