Date,Close
2016-09-30,18.3685
2016-10-31,18.1164
2016-11-30,16.2418
2016-12-31,18.4473
2017-01-31,19.3925
2017-02-28,21.0151
2017-03-31,20.9363
2017-04-30,20.889
2017-05-31,20.3849
2017-06-30,20.9363
2017-07-31,23.4884
2017-08-31,21.9288
2017-09-30,22.3541
2017-10-31,24.6
2017-11-30,27
2017-12-31,32.05
2018-01-31,29.3
2018-02-28,26.95
2018-03-31,26.25
2018-04-30,25.35
2018-05-31,25.2
2018-06-30,25.95
2018-07-31,22.4
2018-08-31,21.3
2018-09-30,19.56
2018-10-31,20.95
2018-11-30,20.4
2018-12-31,23.65
2019-01-31,24.55
2019-02-28,23.7
2019-03-31,22.55
2019-04-30,20.05
2019-05-31,20.7
2019-06-30,19.14
2019-07-31,17.16
2019-08-31,17.1
2019-09-30,17.82
2019-10-31,18.94
2019-11-30,19.82
2019-12-31,19.32
2020-01-31,16.44
2020-02-29,13.74
2020-03-31,14.66
2020-04-30,13.82
2020-05-31,15.76
2020-06-30,13.16
2020-07-31,15.12
2020-08-31,15.42
2020-09-30,16
2020-10-31,19.18
2020-11-30,20.7
2020-12-31,17.14
2021-01-31,18.3
2021-02-28,20.6
2021-03-31,23.6
2021-04-30,26.8
2021-05-31,29.6
2021-06-30,26.35
2021-07-31,26.3
2021-08-31,25.85
2021-09-30,27
2021-10-31,27.25
2021-11-30,23.95
2021-12-31,26.65
2022-01-31,28.2
2022-02-28,23.9
2022-03-31,23.05
2022-04-30,26.25
2022-05-31,28.6
2022-06-30,28.7
2022-07-31,29.6
2022-08-31,25.15
2022-09-30,22.45
2022-10-31,21.05
2022-11-30,22.95
2022-12-31,20.4
2023-01-31,17.38
2023-02-28,17.96
2023-03-31,17.94
2023-04-30,16.44
2023-05-31,18.62
2023-06-30,18.26
2023-07-31,16.62
2023-08-31,19.64
2023-09-30,19.84
2023-10-31,20.3
2023-11-30,25.15
2023-12-31,22.8
2024-01-31,28.95
2024-02-29,25.7
2024-03-31,25.3
2024-04-30,23.25
2024-05-31,21.95
2024-06-30,21.45
2024-07-31,20.5
2024-08-31,22.2
2024-09-30,22
2024-10-31,21.35
2024-11-30,21.65
2024-12-31,19.08
2025-01-31,18.08
2025-02-28,18.48
2025-03-31,19.48
2025-04-30,20.85
2025-05-31,23.9
2025-06-30,22.35
2025-07-31,22.32
2025-08-31,22.26
2025-09-30,20.42
2025-10-31,23.6
2025-11-30,21.82
2025-12-31,25.24
2026-01-31,25.9
2026-02-28,21.64
2026-03-31,25.86
2026-04-30,22.18
2026-05-31,18.1
2026-06-30,19.65
2026-07-31,18.82
2026-08-31,19.6
2026-09-25,19.5
