Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,CET1Ratio,CostToIncomeRatio,CreditImpairmentCharge,NAVPerShare,NIM,NPAT,NTAPerShare,NetInterestIncome,ROE,ROTE,RiskWeightedAssets,SpecialDividendPerShare
FY2018,53780.0,,,,17354.0,32.3,,12608.0,23.4,0.63,32515.0,3044.0,,186253.0,2558124.0,2363875.0,107779.0,312911.0,19983.0,450.0,0.51,,,,,millions,USD,14.0,64.4,1767.0,8.13,1.66,15025.0,7.01,30489.0,7.7,8.6,865318.0,
FY2019,56098.0,,,,10993.0,19.6,,5969.0,10.6,0.3,29743.0,3632.0,,183955.0,2715152.0,2522484.0,129155.0,293742.0,20233.0,478.0,0.3,,,,,millions,USD,14.7,75.5,2756.0,8.0,1.58,8708.0,7.13,30462.0,3.6,8.4,843395.0,
FY2020,50429.0,,,,7180.0,14.2,,3898.0,7.7,0.19,182220.0,3510.0,,196443.0,2984164.0,2779169.0,117443.0,468323.0,20242.0,433.0,0.15,,,,,millions,USD,15.9,68.3,,8.62,1.32,6099.0,7.75,,2.3,3.1,857520.0,
FY2021,49552.0,,,,15860.0,32.0,,12607.0,25.4,0.62,104312.0,3565.0,,198250.0,2957939.0,2751162.0,99044.0,574032.0,20302.0,467.0,0.25,,,,,millions,USD,15.8,69.9,-928.0,8.76,1.2,14693.0,7.88,26489.0,7.1,8.3,838263.0,
FY2022,50620.0,,,,14335.0,28.3,,14346.0,28.3,0.72,19355.0,4409.0,,177833.0,2949286.0,2764089.0,100439.0,521671.0,19986.0,400.0,0.32,,,,,millions,USD,14.2,64.6,3584.0,8.01,1.42,16249.0,7.44,30377.0,9.0,10.0,839720.0,
FY2023,66058.0,,,,30541.0,46.2,,22432.0,34.0,1.14,39111.0,3695.0,,185329.0,3038677.0,2846067.0,118871.0,490933.0,19600.0,482.0,0.61,,,,,millions,USD,14.8,48.5,3447.0,8.82,1.66,24559.0,8.19,35796.0,13.6,14.6,,
H1 FY2024,37292.0,,,,19930.0,53.4,,16586.0,44.5,0.88,26699.0,1522.0,,183293.0,2975003.0,2784589.0,123668.0,448984.0,18786.0,274.0,,,,,,millions,USD,,,1066.0,,1.62,17665.0,,16911.0,,,,
FY2024,65854.0,,,,29397.0,44.6,,22917.0,34.8,1.24,65305.0,3886.0,,184973.0,3017048.0,2824775.0,131743.0,434940.0,18485.0,529.0,0.87,,,,,millions,USD,14.9,,3414.0,,,24999.0,,32733.0,,14.6,,0.21
H1 FY2025,34122.0,,,,15159.0,44.4,,11510.0,33.7,0.65,13182.0,1820.0,,192554.0,3214371.0,3014502.0,129698.0,428907.0,17772.0,315.0,0.2,,,,,millions,USD,,49.9,1941.0,,1.57,12441.0,,16821.0,13.7,14.7,,
FY2025,68274.0,,,,27996.0,41.0,,21102.0,30.9,1.2,29766.0,4661.0,,198225.0,3233034.0,3027368.0,128081.0,432887.0,17547.0,621.0,,,,,,millions,USD,14.9,,3850.0,10.36,1.59,23131.0,9.64,34794.0,,,888647.0,
H1 FY2026,37742.0,,,,17963.0,47.6,,14626.0,38.8,0.85,81762.0,2368.0,,196682.0,3438161.0,3241080.0,132899.0,424272.0,17245.0,319.0,0.2,,,,,millions,USD,14.1,46.2,2353.0,10.08,1.61,15321.0,9.36,18233.0,16.9,18.2,906417.0,
