Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,RevenueGrowthYoY,ROE,Extra1
FY2015,29285.8,,1903.5,6.5,,,,908.1,3.1,0.40,,,,10547.8,,,,,2253.2,,,millions,RMB,,8.6,
FY2016,36734.3,,2800.1,7.6,,,,1233.5,3.4,0.55,,,,11754.2,,,,,2253.2,,,millions,RMB,25.4,10.5,
FY2017,38774.4,,4263.9,11.0,,,,2584.9,6.7,1.15,,,,14191.3,,,,,2253.2,,,millions,RMB,5.6,18.2,
FY2018,41047.1,,4172.0,10.2,,,,2188.6,5.3,,,,,15825.3,,,,,2253.2,,,millions,RMB,5.9,13.8,
FY2019,53028.4,,3957.3,7.5,,,,1597.6,3.0,0.71,,,,16989.5,,,,,2253.2,,,millions,RMB,29.2,9.4,
FY2020,73121.1,,9628.8,13.2,,,,5441.4,7.4,2.41,,,,22272.3,,,2009.2,3465.9,2253.2,,,millions,RMB,37.9,24.4,
FY2021,89057.0,,6029.2,6.8,,,,2309.9,2.6,1.03,,,,24027.1,,,,,2253.2,,,millions,RMB,21.8,9.6,
H1 2022,43693.5,,2328.1,5.3,,,,633.8,1.5,0.28,,,,,,,,,,,,millions,RMB,,,
FY2022,107186.3,,6350.3,5.9,,,,1857.6,1.7,0.82,,,,25635.1,,,,,2253.2,,,millions,RMB,20.4,7.2,
H1 2023,56180.1,,4408.7,7.8,,,,1515.7,2.7,0.67,,,,,,,,,,,,millions,RMB,28.6,,
FY2023,129957.0,,10434.1,8.0,,,,4041.4,3.1,1.79,,,,29330.4,,,14612.7,10537.4,2253.2,,,millions,RMB,21.3,13.8,
H1 2024,78580.8,,5379.0,6.8,,,,1517.8,1.9,0.67,,,,,,,,,,,,millions,RMB,39.9,,
FY2024,177305.5,,12301.3,6.9,,,,4265.6,2.4,1.89,,,,32401.7,,,10807.3,7052.0,2253.2,,,millions,RMB,36.4,13.2,
H1 2025,80605.7,,5543.0,6.9,,,,1729.8,2.1,0.77,,,,,,,,,,,,millions,RMB,2.6,,
FY2025,179477.4,,10756.7,6.0,,,,3514.6,2.0,1.56,,,,34442.0,,,7184.0,13552.2,2253.2,,,millions,RMB,1.2,10.2,
