Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,CoreRevenue,GrossInvestmentIncome,PrincipalOperatingCashFlow
FY2016,11116.0,,,,6890.0,61.98,7661.0,5741.0,51.65,4.76,,,,32266.0,247318.0,214934.0,,,,,4.25,,,,,millions,HKD,,,
FY2017,13180.0,,,,8756.0,66.43,9614.0,7355.0,55.8,6.03,7413.0,688.0,6725.0,37273.0,317604.0,280229.0,1860.0,13546.0,,220.0,5.4,,,,,millions,HKD,,,
FY2018,15867.0,,,,10995.0,69.29,11757.0,9291.0,58.56,7.5,9480.0,860.0,8620.0,40729.0,255948.0,215045.0,1166.0,11180.0,1247.0,226.0,6.71,,,,,millions,HKD,14252.0,2655.0,10416.0
FY2019,16311.0,,,,11219.0,68.78,12263.0,9390.0,57.57,7.49,10062.0,1091.0,8971.0,44173.0,279051.0,234550.0,418.0,10603.0,1253.6,240.0,6.71,,,,,millions,HKD,13565.0,3977.0,11143.0
FY2020,19190.0,,,,13444.0,70.06,14641.0,11487.0,59.86,9.11,14769.0,1351.0,13418.0,48918.0,399106.0,349870.0,423.0,10442.0,1260.9,281.0,8.2,,,,,millions,HKD,16835.0,2577.0,11956.0
FY2021,20950.0,,,,14915.0,71.19,16269.0,12498.0,59.66,9.91,12340.0,1070.0,11270.0,49626.0,399304.0,349394.0,426.0,12398.0,1265.6,324.0,8.92,,,,,millions,HKD,19471.0,1351.0,13897.0
H1 FY2022,,,,,,,,,,,,,,,,,,,,,,,,,,millions,HKD,,,
FY2022,18456.0,,,,11726.0,63.53,13185.0,10095.0,54.7,7.96,14956.0,1284.0,13672.0,49728.0,406051.0,355952.0,491.0,15258.0,1266.0,380.0,7.16,,,,,millions,HKD,16934.0,3627.0,13062.0
H1 FY2023,10575.0,,,,7140.0,67.52,7859.0,6368.0,60.22,4.99,5581.0,630.0,4951.0,,,,,12745.0,,175.0,4.5,,,,,millions,HKD,7858.0,5774.0,5395.0
FY2023,20516.0,,,,13385.0,65.24,14828.0,11981.0,58.4,9.37,11500.0,1386.0,10114.0,51344.0,341179.0,289383.0,447.0,9212.0,1265.5,399.0,8.42,,,,,millions,HKD,15445.0,10972.0,11294.0
H1 FY2024,10621.0,,,,6963.0,65.56,7661.0,6186.0,58.24,4.84,5697.0,784.0,4913.0,52708.0,393396.0,340176.0,449.0,13334.0,1264.7,206.0,4.36,,,,,millions,HKD,8062.0,5536.0,5852.0
FY2024,22374.0,,,,14879.0,66.5,16281.0,13155.0,58.8,10.32,12774.0,1604.0,11170.0,53852.0,381629.0,327222.0,452.0,13910.0,1264.5,390.0,9.26,,,,,millions,HKD,17346.0,10755.0,12783.0
H1 FY2025,14076.0,,,,10196.0,72.44,10939.0,8562.0,60.83,6.74,14399.0,3490.0,10909.0,56910.0,424872.0,367421.0,395.0,18470.0,1263.9,190.0,6.0,,,,,millions,HKD,11034.0,4996.0,10069.0
FY2025,29161.0,,,,21228.0,72.79,22796.0,17837.0,61.17,14.05,25627.0,4881.0,20746.0,58147.0,580775.0,522046.0,398.0,19353.0,1263.9,361.0,12.52,,,,,millions,HKD,23745.0,9737.0,19855.0
H1 FY2026,16702.0,,,,12634.0,75.64,13411.0,10598.0,63.45,8.36,11480.0,3281.0,8199.0,60656.0,577078.0,516127.0,150.0,19114.0,1264.0,217.0,,,,,,millions,HKD,13980.0,5757.0,10626.0
