Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,LeasePrincipal,OwnerFCF,LeaseLiabilities,Inventory,VehiclesSold,DepreciationAmortisation,InterestExpense,TaxExpense,AverageGrossMarginPerUnit,FinancePenetration,InsurancePenetration,NumberOfDealerships
FY2021,66.1,,14.4,21.8,5.8,,7.8,3.2,,0.07,5.7,0.2,5.5,15.6,,,8.4,8.3,45.6,0,0.0237,,,1.682,3.82,6.6,11.9,8207,2.0,0.4,1.5,1759,,,12
H1 2022,31.2,,7.3,23.4,2.3,,3.2,1.4,,0.03,1.2,0.3,0.9,14.7,,,9.5,7.0,45.6,0,0.0504,,,,,6.0,13.6,3864,0.9,0.2,0.6,1890,,,
FY2022,66.0,,14.3,21.6,2.7,,4.5,2.6,,0.06,-2.5,0.7,-3.2,15.1,,,11.8,3.8,45.6,0.02,0.0664,,,1.645,-4.85,7.3,13.0,7882,1.8,0.7,0.6,1811,,,13
H1 2023,40.2,,7.4,18.4,1.9,,2.9,0.6,,0.01,4.6,0.2,4.4,15.4,,,10.6,6.2,45.6,0,0.0063,,,,,7.2,12.7,4281,1.0,0.5,0.2,1731,26,,
FY2023,82.7,,14.8,17.9,3.9,,6.0,1.3,,0.03,13.6,0.3,13.3,16.2,,,0.9,3.8,45.6,-0.02,0.0063,,,2.009,11.29,7.9,8.4,8367,2.1,1.1,0.5,1773,26,,13
H1 2024,41.9,,10.3,24.6,4.6,,5.7,3.2,,0.07,6.2,0.2,6.0,19.2,,,0.0,6.1,45.6,0,0.0,,,,,7.4,10.2,3776,1.1,0.4,1.2,2730,,,12
FY2024,86.8,,20.7,23.8,9.1,,11.4,6.2,,0.14,6.9,0.8,6.1,20.4,,,1.5,4.7,45.6,0,0.0416,,,1.935,4.16,7.3,13.9,8169,2.3,0.7,2.5,2530,27.5,37.1,12
H1 2025,42.0,,9.1,21.6,2.5,,3.8,1.7,,0.04,1.5,0.3,1.2,20.1,,,1.5,2.5,45.6,0,0.0419,,,,,9.2,13.1,4119,1.3,0.4,0.7,2201,,,13
FY2025,82.0,,17.8,21.7,5.3,,8.0,3.3,,0.07,6.7,1.3,5.4,21.1,,,0.9,5.3,45.6,0,0.064,,,1.999,3.4,7.7,14.9,7675,2.7,0.7,1.3,2318,,36,12
H1 2026,39.8,,7.9,19.8,1.7,,3.1,1.0,,0.02,2.2,0.3,1.9,21.0,,,0.9,4.6,45.6,0,0.0215,,,,,9.3,14.2,3604,1.4,0.3,0.4,2180,32,41,12
FY2026,81.7,,17.4,21.3,5.2,,8.1,3.2,,0.07,4.2,0.4,3.7,22.2,,,0.8,3.8,45.6,0,0.0371,,,2.221,1.48,9.0,18.0,7239,2.9,0.8,1.2,2410,,,10
