Date,Close
2016-09-30,2642
2016-10-31,2601
2016-11-30,2687
2016-12-31,2505
2017-01-31,2499
2017-02-28,2583
2017-03-31,2355
2017-04-30,2137
2017-05-31,2108
2017-06-30,2308
2017-07-31,2175
2017-08-31,2383
2017-09-30,2272
2017-10-31,2326
2017-11-30,2359
2017-12-31,2333
2018-01-31,2297
2018-02-28,2184
2018-03-31,2307
2018-04-30,2068
2018-05-31,2039
2018-06-30,2065
2018-07-31,1942
2018-08-31,2121
2018-09-30,1887
2018-10-31,1749
2018-11-30,1641
2018-12-31,1766
2019-01-31,1833
2019-02-28,1675
2019-03-31,1644
2019-04-30,1332
2019-05-31,1414
2019-06-30,1531
2019-07-31,1432
2019-08-31,1511
2019-09-30,1605
2019-10-31,1723
2019-11-30,1765
2019-12-31,1602
2020-01-31,1491
2020-02-29,1287
2020-03-31,1346
2020-04-30,1518
2020-05-31,1447
2020-06-30,1228
2020-07-31,1504
2020-08-31,1485
2020-09-30,1506
2020-10-31,1370
2020-11-30,1675
2020-12-31,1689
2021-01-31,1652
2021-02-28,1830
2021-03-31,2036
2021-04-30,2113
2021-05-31,2297
2021-06-30,2200
2021-07-31,2071
2021-08-31,1991
2021-09-30,2182
2021-10-31,2239
2021-11-30,2256
2021-12-31,2022
2022-01-31,2096
2022-02-28,2002
2022-03-31,2081
2022-04-30,2087
2022-05-31,2015
2022-06-30,1957
2022-07-31,2036
2022-08-31,1772
2022-09-30,1894
2022-10-31,1911
2022-11-30,1766
2022-12-31,1918
2023-01-31,2118
2023-02-28,2137
2023-03-31,2139
2023-04-30,2275
2023-05-31,2565.5
2023-06-30,2589
2023-07-31,2757.5
2023-08-31,2726
2023-09-30,2597
2023-10-31,2550
2023-11-30,2237.5
2023-12-31,2452.5
2024-01-31,2370.5
2024-02-29,2568.5
2024-03-31,2333
2024-04-30,2290
2024-05-31,2130.5
2024-06-30,2050.5
2024-07-31,1935
2024-08-31,1868
2024-09-30,2053
2024-10-31,1903.5
2024-11-30,2053
2024-12-31,2063
2025-01-31,2009
2025-02-28,1988.5
2025-03-31,2049
2025-04-30,2060
2025-05-31,1967
2025-06-30,2152
2025-07-31,2423
2025-08-31,2454.5
2025-09-30,2349
2025-10-31,2423
2025-11-30,2513
2025-12-31,2592
2026-01-31,3201
2026-02-28,2411
2026-03-31,2208
2026-04-30,2289
2026-05-31,2126
2026-06-30,2240.5
2026-07-31,2279.5
2026-08-31,2291
2026-09-08,2250.5
