Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
Q3 FY2007,307004.0,,,,11530.0,3.8,,6464.0,2.1,190.29,,,,,163182.0,74208.0,,,,,,,,,,millions,JPY
FY2007,417950.0,,,,16416.0,3.9,,9759.0,2.3,287.3,16639.0,,,,174431.0,82113.0,,9712.0,,,,,,,,millions,JPY
Q1 FY2008,118368.0,,,,6082.0,5.1,,3559.0,3.0,104.69,,,,,184946.0,86982.0,,,,,,,,,,millions,JPY
H1 FY2008,234712.0,,,,11819.0,5.0,,7766.0,3.3,,,,,,191962.0,90274.0,,,,,,,,,,millions,JPY
Q3 FY2008,358010.0,,,,19762.0,5.5,,11936.0,3.3,,,,,,190113.0,86407.0,,,,,,,,,,millions,JPY
FY2008,479157.0,,,,26224.0,5.5,,16517.0,3.4,485.81,31146.0,,,,189348.0,85055.0,,22147.0,,,,,,,,millions,JPY
Q1 FY2009,109999.0,,,,5651.0,5.1,,2905.0,2.6,42.72,,,,,189065.0,83975.0,,,,,,,,,,millions,JPY
H1 FY2009,220954.0,,,,10348.0,4.7,,4657.0,2.1,68.49,,,,,194754.0,88287.0,,,,,,,,,,millions,JPY
Q3 FY2009,330296.0,,,,15077.0,4.6,,6134.0,1.9,,,,,,175589.0,74126.0,,,,,,,,,,millions,JPY
FY2009,404761.0,364791.0,39969.0,9.9,16093.0,4.0,,4741.0,1.2,69.73,18851.0,12741.0,6110.0,84644.0,157399.0,63192.0,,19547.0,,,,,,,,millions,JPY
Q1 FY2010,65575.0,,,,-613.0,-0.9,,563.0,0.9,8.28,,,,,158660.0,61081.0,,,,,,,,,,millions,JPY
H1 FY2010,140131.0,,,,886.0,0.6,,1194.0,0.9,17.56,,,,,164609.0,65295.0,,,,,,,,,,millions,JPY
Q3 FY2010,226833.0,,,,5340.0,2.4,,2869.0,1.3,,,,,,167249.0,66799.0,,,,,,,,,,millions,JPY
FY2010,317990.0,287971.0,30018.0,9.4,9598.0,3.0,,6328.0,2.0,93.06,15679.0,8042.0,7637.0,94106.0,178272.0,72783.0,,16194.0,,,,,,,,millions,JPY
Q1 FY2011,91444.0,,,,5151.0,5.6,,2287.0,2.5,33.64,,,,,176688.0,71128.0,,,,,,,,,,millions,JPY
H1 FY2011,182937.0,,,,10669.0,5.8,,5720.0,3.1,84.12,,,,,177559.0,69891.0,,,,,,,,,,millions,JPY
Q3 FY2011,270195.0,,,,16001.0,5.9,,8961.0,3.3,,,,,,174909.0,64342.0,,,,,,,,,,millions,JPY
FY2011,357489.0,315110.0,42378.0,11.9,20163.0,5.6,,11755.0,3.3,172.87,33676.0,7802.0,25874.0,99571.0,180839.0,68945.0,,33287.0,,,,,,,,millions,JPY
Q1 FY2012,60914.0,,,,205.0,0.3,,-594.0,-1.0,,,,,,168971.0,57838.0,,,,,,,,,,millions,JPY
H1 FY2012,124058.0,,,,-493.0,-0.4,,-874.0,-0.7,,,,,,161407.0,54359.0,,,,,,,,,,millions,JPY
Q3 FY2012,207713.0,,,,2653.0,1.3,,727.0,0.4,,,,,,,,,,,,,,,,,millions,JPY
FY2012,305482.0,273813.0,31669.0,10.4,9401.0,3.1,,4712.0,1.5,69.31,18599.0,7018.0,11581.0,100946.0,189343.0,77096.0,,43394.0,,,,,,,,millions,JPY
Q1 FY2013,89916.0,,,,5712.0,6.4,,3392.0,3.8,,,,,,189169.0,72853.0,,,,,,,,,,millions,JPY
H1 FY2013,179035.0,,,,10995.0,6.1,,7019.0,3.9,,,,,,186773.0,70203.0,,,,,,,,,,millions,JPY
Q3 FY2013,267617.0,,,,18125.0,6.8,,12193.0,4.6,,,,,,,,,,,,,,,,,millions,JPY
FY2013,359331.0,309929.0,49401.0,13.7,24219.0,6.7,,15741.0,4.4,231.5,23772.0,9342.0,14430.0,122992.0,207700.0,70177.0,,53348.0,,,,,,,,millions,JPY
Q1 FY2014,106861.0,,,,10422.0,9.8,,5959.0,5.6,,,,,,226887.0,78915.0,,,,,,,,,,millions,JPY
H1 FY2014,216037.0,,,,20485.0,9.5,,12738.0,5.9,,,,,,240641.0,83806.0,,,,,,,,,,millions,JPY
Q3 FY2014,332778.0,,,,30051.0,9.0,,18825.0,5.7,,,,,,,,,,,,,,,,,millions,JPY
FY2014,457053.0,385939.0,71113.0,15.6,39133.0,8.6,,23900.0,5.2,351.49,43600.0,19378.0,24222.0,151604.0,264635.0,93921.0,,76460.0,,,,,,,,millions,JPY
Q1 FY2015,108280.0,,,,8809.0,8.1,,5381.0,5.0,,,,,,252493.0,80420.0,,,,,,,,,,millions,JPY
H1 FY2015,216133.0,,,,17567.0,8.1,,11351.0,5.3,,,,,,265841.0,84005.0,,,,,,,,,,millions,JPY
Q3 FY2015,320204.0,,,,25965.0,8.1,,17401.0,5.4,,,,,,,,,,,,,,,,,millions,JPY
FY2015,434279.0,364530.0,69748.0,16.1,35286.0,8.1,,22008.0,5.1,323.66,29959.0,18762.0,11197.0,184933.0,295632.0,88761.0,,84552.0,,,,,,,,millions,JPY
Q1 FY2016,117226.0,,,,11159.0,9.5,,7279.0,6.2,,,,,,302261.0,86218.0,,,,,,,,,,millions,JPY
H1 FY2016,229479.0,,,,19953.0,8.7,,12103.0,5.3,,,,,,294361.0,81320.0,,,,,,,,,,millions,JPY
Q3 FY2016,345407.0,,,,27309.0,7.9,,16687.0,4.8,,,,,,,,,,,,,,,,,millions,JPY
FY2016,458732.0,381258.0,77473.0,16.9,39279.0,8.6,,23528.0,5.1,346.01,47531.0,17673.0,29858.0,197060.0,303948.0,84856.0,0.0,90437.0,,,,,,,,millions,JPY
Q1 FY2017,103817.0,,,,8547.0,8.2,,3964.0,3.8,58.3,,,,186919.0,279212.0,72463.0,0.0,,,,,,,,,millions,JPY
H1 FY2017,202067.0,,,,15561.0,7.7,,8059.0,4.0,118.52,,,,189768.0,284023.0,74527.0,0.0,,,,,,,,,millions,JPY
Q3 FY2017,311073.0,,,,23832.0,7.7,,14606.0,4.7,,,,,,,,0.0,,,,,,,,,millions,JPY
FY2017,425794.0,355176.0,70617.0,16.6,34557.0,8.1,,19622.0,4.6,288.58,34045.0,10990.0,23055.0,212417.0,322202.0,91213.0,0.0,96008.0,,,,,,,,millions,JPY
Q1 FY2018,108182.0,,,,13047.0,12.1,,7066.0,6.5,103.93,,,,216475.0,323234.0,88006.0,0.0,,,,,,,,,millions,JPY
H1 FY2018,223693.0,,,,23155.0,10.4,,13046.0,5.8,191.86,,,,225060.0,340927.0,94835.0,0.0,,,,,,,,,millions,JPY
Q3 FY2018,351460.0,,,,33873.0,9.6,,20233.0,5.8,,,,,,,,0.0,,,,,,,,,millions,JPY
