Date,Close
2016-10-01,43.57
2016-11-01,43.98
2016-12-01,45.56
2017-01-01,48.97
2017-02-01,51.3
2017-03-01,52.87
2017-04-01,55.05
2017-05-01,60.34
2017-06-01,59.31
2017-07-01,59.79
2017-08-01,64.72
2017-09-01,64.2
2017-10-01,68.03
2017-11-01,69.24
2017-12-01,66.97
2018-01-01,73.43
2018-02-01,68.59
2018-03-01,66.9
2018-04-01,65.74
2018-05-01,61.92
2018-06-01,61.84
2018-07-01,66.04
2018-08-01,67.54
2018-09-01,70.54
2018-10-01,64.79
2018-11-01,72.35
2018-12-01,67.46
2019-01-01,76.05
2019-02-01,79.44
2019-03-01,80.38
2019-04-01,78.5
2019-05-01,67.05
2019-06-01,74.67
2019-07-01,69.41
2019-08-01,71.11
2019-09-01,76.63
2019-10-01,75.75
2019-11-01,80.77
2019-12-01,85.31
2020-01-01,82.56
2020-02-01,77.07
2020-03-01,71.62
2020-04-01,76.66
2020-05-01,88.14
2020-06-01,88.37
2020-07-01,96.33
2020-08-01,100.42
2020-09-01,100.94
2020-10-01,102.09
2020-11-01,116.9
2020-12-01,118.49
2021-01-01,120.17
2021-02-01,122.07
2021-03-01,127.14
2021-04-01,133.64
2021-05-01,138.13
2021-06-01,147.81
2021-07-01,153.23
2021-08-01,175.47
2021-09-01,157.53
2021-10-01,157.49
2021-11-01,150.9
2021-12-01,159.65
2022-01-01,139.32
2022-02-01,130.36
2022-03-01,132.33
2022-04-01,119.27
2022-05-01,127.56
2022-06-01,118.77
2022-07-01,134.1
2022-08-01,128.25
2022-09-01,121.55
2022-10-01,138.35
2022-11-01,154.98
2022-12-01,149.65
2023-01-01,152.08
2023-02-01,141.97
2023-03-01,138.34
2023-04-01,135.43
2023-05-01,115.67
2023-06-01,120.25
2023-07-01,121.77
2023-08-01,121.07
2023-09-01,111.82
2023-10-01,103.37
2023-11-01,127.8
2023-12-01,139.03
2024-01-01,130.1
2024-02-01,137.36
2024-03-01,145.51
2024-04-01,137.04
2024-05-01,130.41
2024-06-01,129.63
2024-07-01,141.4
2024-08-01,142.92
2024-09-01,148.48
2024-10-01,130.31
2024-11-01,137.97
2024-12-01,134.34
2025-01-01,151.52
2025-02-01,127.92
2025-03-01,116.98
2025-04-01,107.6
2025-05-01,111.92
2025-06-01,118.01
2025-07-01,114.81
2025-08-01,125.66
2025-09-01,128.35
2025-10-01,146.36
2025-11-01,153.5
2025-12-01,136.07
2026-01-01,133.85
2026-02-01,121.38
2026-03-01,113.98
2026-04-01,115.55
2026-05-01,135.53
2026-06-01,132.83
2026-07-01,138.37
2026-08-01,153.56
2026-09-01,165.32
2026-09-24,172.84
