Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2007,,,,,,,,,,,,,,,,,,239.915,,,,,,,,millions,USD
FY2008,2966.813,,,,,,,290.966,9.807358940384852,4.09,1139.098,,,3432.965,,,,251.739,64.789052,30.277,,,,,,millions,USD
H1-2009,1599.187,,,,,,,304.92,19.067188515164272,4.67,518.545,,,,,,,,62.589856,14.267,,,,,,millions,USD
Q2 2009,848.744,,,,,,,158.59,18.68525727427823,2.43,,,,4029.968,,,,336.693,62.626317,,,,,,,millions,USD
Q3 2009,976.225,,,,,,,280.868,28.77082639760301,4.39,290.119,,,4460.822,,,,385.149,62.533816,,,,,,,millions,USD
FY2009,3501.622,,,,,,,876.945,25.04396533949124,4.58,992.647,,,4323.349,15375.79,11052.441,,334.571,185.781396,27.042,,,,,,millions,USD
Q1 2010,844.887,,,,,,,216.994,25.68319787143133,1.26,184.623,,,,,,,338.708,55.513827,7.096,,,,,,millions,USD
H1-2010,1621.202,,,,,,,460.445,28.40145768386666,2.74,390.137,,,,,,,,163.16007,19.376,,,,,,millions,USD
Q2 2010,776.315,,,,,,,243.451,31.359821721852594,1.48,205.514,,,4398.003,16777.399,12379.396,,341.469,159.795909,,,,,,,millions,USD
Q3 2010,797.352,,,,,,,148.031,18.56532622982071,0.92,267.42400000000004,,,4717.91,17701.397,12983.487,,365.997,153.546027,,,,,,,millions,USD
Q4 2010,,,,,,,,234.112,,1.51,,,,,,,,,,,,,,,,millions,USD
FY2010,3244.067,,,,,,,842.672,25.975789032717266,5.18,802.074,,,4476.786,16279.228,11766.225,,362.74,157.565157,31.065,,,,,,millions,USD
Q1 2011,775.072,,,,,,,25.473,3.286533380124685,0.14,224.58,,,4289.035,17191.966,12866.431,,406.877,140.460516,5.628,,,,,,millions,USD
H1-2011,1550.64,,,,,,,122.076,7.872620337409068,0.78,446.547,,,,,,,,139.234931,19.505,,,,,,millions,USD
Q2 2011,775.568,,,,,,,96.603,12.45577434860644,0.65,221.967,,,4403.03,17213.806,12772.537,,411.001,137.975599,,,,,,,millions,USD
Q3 2011,764.993,,,,,,,168.755,22.059678977454695,1.18,309.924,,,4435.899,17430.028,12955.657,,369.895,137.140929,,,,,,,millions,USD
Q4 2011,,,,,,,,145.332,,1.01,,,,,,,,,,,,,,,,millions,USD
FY2011,3063.307,,,,,,,436.163,14.238305204147023,2.97,866.112,,,4592.074,17105.357,12513.283,,351.699,138.289702,30.986,,,,,,millions,USD
Q1 2012,815.008,,,,,,,164.256,20.153912599630925,1.14,144.821,,,4839.456,17812.783,12973.327,,422.806,137.814906,7.411,,,,,,millions,USD
H1-2012,1657.476,,,,,,,384.524,23.199370609287858,2.61,397.268,,,,,,,,138.01749,23.93,,,,,,millions,USD
Q2 2012,842.468,,,,,,,220.268,26.145562798824407,1.46,252.44699999999997,,,5020.316,18496.723,13476.407,,355.392,138.211736,,,,,,,millions,USD
Q3 2012,904.799,,,,,,,189.656,20.96111954146722,1.33,334.68300000000005,,,5348.794,18889.757,13540.963,,422.44,138.696934,,,,,,,millions,USD
Q4 2012,,,,,,,,19.217,,0.1,,,,,,,,,,,,,,,,millions,USD
FY2012,3482.381,,,,,,,593.397,17.039979255572554,4.03,921.603,,,5168.878,17816.762,12647.884,,371.041,138.258847,42.303,,,,,,millions,USD
Q1 2013,890.141,,,,,,,256.476,28.812963339515875,1.85,205.659,,,5335.53,18757.061,13421.531,,356.767,135.409288,11.543,,,,,,millions,USD
H1-2013,1741.931,,,,,,,433.416,24.88135293533441,3.11,388.354,,,,,,,,135.624226,31.466,,,,,,millions,USD
Q2 2013,851.79,,,,,,,176.94,20.77272567182052,1.26,182.695,,,5234.318,18917.683,13683.365,,375.119,135.84905,,,,,,,millions,USD
Q3 2013,861.148,,,,,,,114.825,13.333944920036975,0.8,238.69400000000002,,,5443.285,18930.823,13487.538,,436.141,136.034413,,,,,,,millions,USD
Q4 2013,,,,,,,,161.49,,1.14,,,,,,,,,,,,,,,,millions,USD
FY2013,3526.157,,,,,,,709.731,20.12760634310951,5.07,850.868,,,5647.496,19557.054,13909.558,,434.057,135.777183,49.237,,,,,,millions,USD
Q1 2014,946.231,,,,,,,182.5,19.287045129571958,1.3,,,,5892.133,21800.358,14895.495,,1569.605,136.562717,14.175,,,,,,millions,USD
H1-2014,1981.891,,,,,,,390.516,19.70421178561283,2.78,,,,,,,,,136.716889,35.627,,,,,,millions,USD
Q2 2014,1035.66,,,,,,,208.016,20.08535619798003,1.48,,,,6229.399,22567.447,15326.382,,926.443,136.889944,,,,,,,millions,USD
Q3 2014,992.531,,,,,,,228.675,23.03958264275877,1.64,,,,6081.046,22608.227,15525.742,,663.726,135.876605,,,,,,,millions,USD
Q4 2014,,,,,,,,215.164,,1.6,,,,,,,,,,,,,,,,millions,USD
FY2014,3988.873,,,,,,,834.355,20.91706103453281,6.02,,,,6091.714,21967.742,14887.435,,485.702,134.922322,54.789,,,,,,millions,USD
Q1 2015,1082.344,,,,,,,283.336,26.17799886172973,2.16,,,,6288.702,22855.091,15557.191,,471.012,128.451054,13.238,,,,,,millions,USD
H1-2015,2101.996,,,,,,,399.126,18.98795240333473,3.05,,,,,,,,,127.156713,36.044,,,,,,millions,USD
Q2 2015,1019.652,,,,,,,115.79,11.355835128063301,0.88,,,,6137.515,23084.925,15947.534,,525.074,125.88542,,,,,,,millions,USD
Q3 2015,932.59,,,,,,,80.033,8.581799075692425,0.6,,,,6162.815,23770.592,16628.526,,649.779,125.011773,,,,,,,millions,USD
Q4 2015,,,,,,,,58.579,,0.42,,,,,,,,,,,,,,,,millions,USD
FY2015,3936.59,,,,,,,537.738,13.65999507187693,4.09,,,,6166.542,23138.931,16028.376,,553.326,126.038743,56.096,,,,,,millions,USD
Q1 2016,1086.676,,,,,,,154.798,14.24509237343974,1.2,,,,6375.248,24541.369,17167.593,,557.961,124.496496,14.265,,,,,,millions,USD
H1-2016,2277.828,,,,,,,365.853,16.061484888235636,2.85,,,,,,,,,124.425126,35.769,,,,,,millions,USD
Q2 2016,1191.152,,,,,,,211.055,17.718561526992357,1.65,,,,6665.583,24411.917,16714.04,,516.591,124.365596,,,,,,,millions,USD
Q3 2016,1197.501,,,,,,,252.872,21.11664207378533,1.98,,,,7313.983,25643.231,17250.642,,578.816,124.931653,,,,,,,millions,USD
Q4 2016,,,,,,,,74.013,,0.5,,,,,,,,,,,,,,,,millions,USD
FY2016,4463.556,,,,,,,692.738,15.51986801554635,1.78,,,,8253.718,29372.109,20060.984,,842.942,374.152479,56.581,,,,,,millions,USD
Q1 2017,1319.176,,,,,,,253.127,19.18826600847802,0.58,,,,8605.844,30092.226,20412.552,,703.754,139.047672,15.657,,,,,,millions,USD
H1-2017,2726.713,,,,,,,438.294,16.07407893680046,1.0,,,,,,,,,417.421896,42.739,,,,,,millions,USD
Q2 2017,1407.537,,,,,,,185.167,13.1553912969961,0.42,,,,8898.887,30862.639,20880.56,,740.32,417.733938,,,,,,,millions,USD
Q3 2017,1479.554,,,,,,,-33.656,-2.274739549891386,-0.13,,,,8911.144,32624.797,22646.926,,862.361,404.656353,,,,,,,millions,USD
Q4 2017,,,,,,,,214.64,,0.49,,,,,,,,,,,,,,,,millions,USD
FY2017,5627.375,,,,,,,619.278,11.004740220795664,1.36,1094.878,,,9196.602,32051.658,21805.723,,606.199,417.785025,67.798,,,,,,millions,USD
Q1 2018,1283.955,,,,,,,150.423,11.715597509258503,0.33,,,,9150.372,32131.955,21921.458,,680.891,417.893802,14.664,,,,,,millions,USD
H1-2018,2694.764,,,,,,,394.069,14.623506919344328,0.89,,,,,,,,,415.460756,35.419,,,,,,millions,USD
Q2 2018,1410.809,,,,,,,243.646,17.269949369475242,0.56,,,,9163.755,31853.12,21622.107,,526.628,413.111205,,,,,,,millions,USD
Q3 2018,1403.784,,,,,,,227.408,16.19964324995868,0.53,,,,9355.148,32252.534,21814.433,,651.037,411.721214,,,,,,,millions,USD
Q4 2018,,,,,,,,136.494,,0.31,,,,,,,,,,,,,,,,millions,USD
FY2018,5450.568,,,,,,,757.971,13.906275456062561,1.73,1559.322,,,9439.827,32218.329,21780.65,,646.556,412.906478,55.776,,,,,,millions,USD
Q1 2019,1722.846,,,,,,,448.528,26.034131895712097,1.07,235.398,,,10114.596,33977.037,22817.977,,633.1,408.971029,25.891,,,,,,millions,USD
H1-2019,3501.986,,,,,,,917.482,26.198905421095343,2.19,712.524,,,,,,,,409.75525,41.537,,,,,,millions,USD
Q2 2019,1779.14,,,,,,,468.954,26.358465325943992,1.12,477.126,,,10757.352,34851.67,23032.496,,605.316,410.899483,,,,,,,millions,USD
Q3 2019,1682.66,,,,,,,392.453,23.32336895154101,0.92,830.6149999999999,,,11158.096,35572.603,23510.794,,880.099,413.180201,,,,,,,millions,USD
Q4 2019,,,,,,,,326.384,,0.76,,,,,,,,,,,,,,,,millions,USD
FY2019,6925.967,,,,,,,1636.319,23.625856143986827,3.87,2048.459,,,11497.371,37885.361,25569.809,,726.23,411.609478,66.417,,,,,,millions,USD
Q1 2020,1525.312,,,,,,,144.117,9.448362040028533,0.32,610.454,,,11367.244,38416.126,26500.721,,882.284,414.03357,28.549,,,,,,millions,USD
H1-2020,3820.32,,,,,,,442.938,11.594264354818444,1.03,1321.58,,,,,,,,411.005591,41.912,,,,,,millions,USD
Q2 2020,2295.008,,,,,,,298.821,13.02047748853163,0.71,711.126,,,11991.825,41199.648,28472.748,,854.259,408.119681,,,,,,,millions,USD
Q3 2020,2312.251,,,,,,,419.039,18.12255676394993,1.0,1009.8699999999999,,,12451.997,42716.035,29448.283,,976.398,409.194657,,,,,,,millions,USD
Q4 2020,,,,,,,,543.544,,1.3,,,,,,,,,,,,,,,,millions,USD
FY2020,8508.509,,,,,,,1405.521,16.51900468107867,3.32,2886.505,,,13105.886,43282.297,29294.856,,906.448,410.259455,71.262,,,,,,millions,USD
Q1 2021,2265.794,,,,,,,438.156,19.337856839589126,1.05,762.845,,,13096.472,44204.267,30173.261,,941.951,409.223253,40.812,,,,,,millions,USD
H1-2021,4835.79,,,,,,,1113.642,23.029163797435373,2.68,1612.572,,,,,,,,407.68768,57.564,,,,,,millions,USD
Q2 2021,2569.996,,,,,,,675.486,26.283542853763198,1.63,849.7269999999999,,,13986.072,46481.886,31519.407,,1234.059,406.485994,,,,,,,millions,USD
Q3 2021,2101.204,,,,,,,419.942,19.985779581611304,0.98,1014.979,,,13387.526,44783.736,31385.973,,1137.721,397.903347,,,,,,,millions,USD
FY2021,9248.0,,,,,,,2157.0,23.323961937716263,5.23,3425.0,,,13546.0,45101.0,31546.0,,859.0,400.3,88.0,,,,,,millions,USD
Q1 2022,1942.0,,,,,,,196.0,10.092687950566425,0.48,552.0,,,12920.0,45677.941,32748.589,,812.917,384.2,45.0,,,,,,millions,USD
H1-2022,4156.0,,,,,,,600.0,14.436958614051973,1.52,1454.0,,,,,,,,380.8,66.0,,,,,,millions,USD
Q2 2022,2214.0,,,,,,,404.0,18.247515808491418,1.04,902.0,,,12418.0,45719.194,33293.169,,813.548,377.9,,,,,,,millions,USD
