Date,Close
2016-10-01,43.57
2016-11-01,43.23
2016-12-01,45.65
2017-01-01,44.26
2017-02-01,46.97
2017-03-01,46.04
2017-04-01,45.75
2017-05-01,41.58
2017-06-01,41.38
2017-07-01,42.18
2017-08-01,41.32
2017-09-01,42.51
2017-10-01,40.87
2017-11-01,39.88
2017-12-01,40.08
2018-01-01,42.95
2018-02-01,41.52
2018-03-01,43.37
2018-04-01,45.38
2018-05-01,43.72
2018-06-01,45.83
2018-07-01,48.26
2018-08-01,50.4
2018-09-01,50.27
2018-10-01,47.25
2018-11-01,46.02
2018-12-01,40.97
2019-01-01,44.9
2019-02-01,42.5
2019-03-01,43.13
2019-04-01,44.6
2019-05-01,38.32
2019-06-01,40.8
2019-07-01,41.08
2019-08-01,38.05
2019-09-01,41.07
2019-10-01,42.04
2019-11-01,42.93
2019-12-01,46.35
2020-01-01,44.76
2020-02-01,37.65
2020-03-01,35.18
2020-04-01,37.14
2020-05-01,39.31
2020-06-01,39.9
2020-07-01,42.83
2020-08-01,44.76
2020-09-01,46.49
2020-10-01,46.24
2020-11-01,49.77
2020-12-01,50.41
2021-01-01,50.01
2021-02-01,56.58
2021-03-01,57
2021-04-01,63.13
2021-05-01,66.53
2021-06-01,60.6
2021-07-01,59.72
2021-08-01,60
2021-09-01,60.01
2021-10-01,64.24
2021-11-01,62.21
2021-12-01,67.59
2022-01-01,75
2022-02-01,78.45
2022-03-01,90.26
2022-04-01,89.56
2022-05-01,90.82
2022-06-01,77.6
2022-07-01,82.77
2022-08-01,87.89
2022-09-01,80.45
2022-10-01,96.98
2022-11-01,97.5
2022-12-01,92.85
2023-01-01,82.85
2023-02-01,79.6
2023-03-01,79.66
2023-04-01,78.08
2023-05-01,70.65
2023-06-01,75.56
2023-07-01,84.96
2023-08-01,79.3
2023-09-01,75.42
2023-10-01,71.57
2023-11-01,73.73
2023-12-01,72.22
2024-01-01,55.58
2024-02-01,53.11
2024-03-01,62.81
2024-04-01,58.66
2024-05-01,62.44
2024-06-01,60.45
2024-07-01,62.01
2024-08-01,60.99
2024-09-01,59.74
2024-10-01,55.21
2024-11-01,54.6
2024-12-01,50.52
2025-01-01,51.23
2025-02-01,47.2
2025-03-01,48.01
2025-04-01,47.75
2025-05-01,48.27
2025-06-01,52.78
2025-07-01,54.18
2025-08-01,62.64
2025-09-01,59.74
2025-10-01,60.53
2025-11-01,60.74
2025-12-01,57.49
2026-01-01,67.31
2026-02-01,69.04
2026-03-01,72.69
2026-04-01,74.54
2026-05-01,79.78
2026-06-01,76.4
2026-07-01,79.27
2026-08-01,81.29
2026-09-01,82.15
2026-09-24,81.88
