Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2007,,,,,,,,,,,,,,1115.0,,,,665.9,,,,,,,,millions,USD
H1-2008,1218.3,117.7,1100.6,90.3389969629812,238.7,19.59287531806616,277.8,184.4,15.135845029959782,0.8,400.3,39.9,360.40000000000003,,,,,,232.1,48.4,,,,,,millions,USD
Q2 2008,598.8,58.0,540.8,90.31396125584502,119.9,20.023380093520377,136.8,94.6,15.798263193052772,0.41,185.3,13.4,171.9,,,,,909.1,232.6,25.2,,,,,,millions,USD
Q3 2008,619.5,59.7,559.8,90.36319612590799,118.8,19.176755447941886,,89.8,14.495560936238903,0.39,107.19999999999999,19.200000000000003,87.99999999999999,,,,,929.6,231.1,,,,,,,millions,USD
Q4 2008,607.1,52.9,554.2,91.28644374897053,139.6,22.994564322187447,,104.5,17.212979739746334,0.45,,,,,,,,796.4,230.4,,,,,,,millions,USD
FY2008,2171.9,207.7,1964.2,90.43694461070952,445.6,20.516598370090705,506.90000000000003,356.2,16.400386758138037,1.47,708.5,43.3,665.2,1230.5,,,,917.9,242.0,99.3,,,,,,millions,USD
H1-2009,840.7,102.4,738.3,87.81967408112287,-16.8,-1.9983347210657785,38.7,-21.7,-2.581182348043297,-0.09,74.5,24.3,50.2,,,,,,228.0,44.4,,,,,,millions,USD
Q2 2009,425.8,52.3,373.5,87.71723813997183,-19.4,-4.556129638327853,7.600000000000001,-32.1,-7.538750587130108,-0.14,27.2,13.6,13.6,1328.5,2269.5,,,880.5,227.1,23.0,,,,,,millions,USD
Q3 2009,414.9,50.1,364.8,87.92480115690529,2.7,0.6507592190889372,,10.5,2.530730296456978,0.05,46.7,5.899999999999999,40.800000000000004,1385.1,2311.1,,,668.5,232.3,21.4,,,,,,millions,USD
Q4 2009,416.9,45.0,371.9,89.20604461501559,26.3,6.308467258335333,,29.5,7.076037419045335,0.13,,,,1431.7,2315.4,,,698.5,232.9,30.3,,,,,,millions,USD
