Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,ProcessedVolume,NetRevenue,TakeRate,EBITDAMargin,EPS_Basic,PayablesToMerchants,FTE
H1 2018,,,,,,,70.3,48.2,30.8,1.58,,7.5,62.7,483.1,,,,943.1,30.5,,,millions,EUR,70.0,156.4,22.3,44.9,1.64,819.5,768.0
H2 2018,,,,,,,111.7,83.0,43.1,2.71,,6.3,105.4,582.4,,,,1231.9,30.6,,,millions,EUR,89.0,192.5,21.6,58.0,2.81,1186.9,873.0
FY2018,,,,,,,181.9,131.1,37.6,,,13.8,168.1,582.4,,,,1231.9,30.6,,,millions,EUR,159.0,348.9,21.9,52.1,,1186.9,873.0
H1 2019,,,,,,,125.8,92.5,41.8,3.02,,8.2,117.6,661.3,,,,1337.7,30.7,,,millions,EUR,104.6,221.1,21.1,56.9,3.13,1229.2,987.0
H2 2019,,,,,,,153.5,111.5,40.5,3.67,,11.8,141.7,868.3,,,50.9,1745.4,30.4,,,millions,EUR,135.0,275.6,20.4,55.7,3.76,1521.4,1182.0
FY2019,,,,,,,279.3,204.0,41.1,,,20.0,259.3,868.3,,,50.9,1745.4,30.4,,,millions,EUR,239.6,496.7,20.7,56.2,,1521.4,1182.0
H1 2020,,,,,,,140.9,78.4,28.0,2.55,,6.3,129.3,977.0,,,132.7,2080.4,30.2,,,millions,EUR,129.1,279.9,21.7,50.3,2.59,1905.7,
H2 2020,,,,,,,236.8,163.1,43.0,5.32,,15.6,217.0,1218.1,,,131.5,2737.5,30.5,,,millions,EUR,174.5,379.4,21.7,62.4,5.39,2588.9,1747.0
FY2020,,,,,,,402.5,261.0,38.1,,,21.9,346.3,1218.1,,,131.5,2737.5,30.5,10.085,,millions,EUR,303.6,684.2,22.5,58.8,,2588.9,1747.0
H1 2021,,,,,,,272.7,204.8,46.0,6.69,,21.7,246.4,1436.4,,,128.4,3344.9,30.4,,,millions,EUR,216.0,445.0,20.6,61.3,6.73,,
H2 2021,,,,,,,357.2,264.9,47.6,8.63,,32.6,298.2,1810.4,,,143.0,4616.1,30.5,,,millions,EUR,300.0,556.5,18.6,64.2,8.68,3608.5,2180.0
FY2021,,,,,,,629.9,469.7,46.9,,,54.3,544.6,1810.4,,,143.0,4616.1,30.5,12.008,,millions,EUR,516.0,1001.5,19.4,62.9,,3608.5,2180.0
H1 2022,,,,,,,356.3,282.1,46.4,9.09,,40.0,308.9,2100.4,,,175.8,5584.1,31.0,,,millions,EUR,345.8,608.5,17.6,58.6,9.11,,2575.0
H2 2022,,,,,,,372.0,282.0,39.1,9.08,,59.1,298.2,2412.1,,,203.1,6522.3,31.0,,,millions,EUR,421.7,721.6,17.1,51.6,9.1,4795.8,3332.0
FY2022,,,,,,,728.3,564.1,42.4,,,99.1,607.1,2412.1,,,203.1,6522.3,31.0,10.499,,millions,EUR,767.5,1330.2,17.3,54.7,,4795.8,3332.0
H1 2023,,,,,,,320.0,282.2,38.2,9.07,,56.1,247.7,2734.0,,,207.1,6411.6,31.0,,,millions,EUR,426.0,739.1,17.3,43.3,9.1,,
H2 2023,,,,,,,423.0,416.1,46.9,13.36,,13.6,391.8,3159.6,,,223.1,8307.0,31.0,,,millions,EUR,544.1,887.0,16.3,47.7,13.42,5953.6,4196.0
FY2023,,,,,,,743.0,698.3,42.9,,,69.7,639.5,3159.6,,,223.1,8307.0,31.0,38.609,,millions,EUR,970.1,1626.1,16.8,45.7,,5953.6,4196.0
H1 2024,,,,,,,423.1,409.6,44.8,13.15,,42.3,360.6,3575.8,,,224.3,8735.3,31.0,,,millions,EUR,619.5,913.4,14.7,46.3,13.19,,
H2 2024,,,,,,,569.2,515.5,47.6,16.49,,48.8,499.2,4231.5,,,228.3,9965.0,31.2,,,millions,EUR,666.4,1082.7,16.2,52.6,16.55,6684.7,4345.0
FY2024,,,,,,,992.3,925.2,46.4,,,91.1,859.8,4231.5,,,228.3,9965.0,31.2,37.368,,millions,EUR,1285.9,1996.1,15.5,49.7,,6684.7,4345.0
H1 2025,,,,,,,543.7,481.0,44.0,15.22,,47.3,474.5,4675.1,,,247.5,12520.7,31.5,,,millions,EUR,649.0,1093.5,16.8,49.7,15.27,,
Q3 2025,,,,,,,,,,,,,,,,,,,,,,millions,EUR,346.9,598.4,17.2,,,,
H2 2025,,,,,,,702.1,581.6,45.8,18.4,,69.6,606.9,5285.4,,,252.4,10797.4,31.5,,,millions,EUR,745.3,1270.7,17.1,55.0,18.46,6371.8,4771.0
FY2025,,,,,,,1245.7,1062.5,45.0,,,116.8,1081.3,5285.4,,,252.4,10797.4,31.5,43.457,,millions,EUR,1394.3,2364.2,17.0,52.7,,6371.8,4771.0
Q1 2026,,,,,,,,,,,,,,,,,,,,,,millions,EUR,382.0,620.8,16.3,,,,
