Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,NTAPerShareBeforeTax,NTAPerShareAfterTax,TotalPortfolioValue,ManagementExpenseRatio,TotalIncome,Notes,Extra1
FY2015,325.6,,,,,,,293.6,,27.23,,,,5446.4,,,202.3,163.8,1089.8,,23.0,,,5.85,5.00,6412.2,0.16,334.1,,
FY2016,293.6,,,,,,,265.8,,23.83,,,,5408.5,,,190.1,155.9,1130.3,,24.0,,,5.50,4.79,6250.2,0.16,305.9,,
FY2017,277.7,,,,,,,245.3,,21.32,,,,5965.5,,,0.0,105.1,1176.1,,24.0,,,5.89,5.07,6790.4,0.14,280.7,,
FY2018,308.5,,,,,,,279.0,,23.57,,,,6339.3,,,0.1,99.2,1186.1,,24.0,,,6.27,5.34,7280.7,0.14,308.8,,
H1 2018,145.0,,,,,,,136.7,,11.56,,,,,,,,,1182.0,,10.0,,,,,,0.11,145.0,,
FY2019,441.4,,,,,,,406.4,,34.00,,,,6624.7,,,0.0,206.4,1200.1,,24.0,,,6.49,5.52,7572.6,0.13,436.7,Plus 8.0c special dividend paid Feb 2019 (not in DPS),
H1 2019,252.0,,,,,,,239.8,,20.11,,,,,,,,,1192.0,,10.0,,,,,,0.11,252.0,Plus 8.0c special dividend paid with interim (not in DPS),
FY2020,264.3,,,,,,,240.4,,19.88,,,,6240.5,,,0.0,111.3,1210.4,,24.0,,,5.96,5.16,7118.0,0.13,274.0,,
H1 2020,161.7,,,,,,,146.1,,12.10,,,,,,,,,1206.3,,10.0,,,,,,,161.7,,
FY2021,262.8,,,,,,,235.1,,19.28,,,,7559.0,,,0.0,97.1,1220.8,,24.0,,,7.45,6.19,8973.1,0.14,265.3,,
H1 2021,92.9,,,,,,,84.1,,6.89,,,,6829.5,,,0.0,103.2,1216.7,,10.0,,,,,7969.2,0.10,92.9,,
FY2022,393.4,,,,,,,360.6,,29.40,,,,6990.5,,,10.0,144.6,1229.9,,24.0,,,6.63,5.68,8082.5,0.16,394.1,,
H1 2022,158.4,,,,,,,146.0,,11.92,,,,7879.0,,,10.0,89.0,1227.2,,10.0,,,,,9462.2,0.15,158.4,,
FY2023,344.0,,,,,,,310.2,,25.06,,,,7557.6,,,10.0,165.4,1240.3,,25.0,,,7.19,6.09,8749.2,0.14,350.0,,
H1 2023,178.2,,,,,,,163.7,,13.25,,,,7265.3,,,10.0,128.3,1235.6,,11.0,,,,,8419.9,0.13,178.2,,
FY2024,334.4,,,,,,,296.4,,23.75,,,,8261.4,,,10.0,166.5,1251.6,,26.0,,,7.88,6.60,9703.6,0.15,339.3,,
H1 2024,167.3,,,,,,,150.1,,12.05,,,,7983.2,,,10.0,235.1,1246.5,,11.5,,,,,9284.3,0.14,167.3,,
FY2025,328.1,,,,,,,285.0,,22.71,,,,8740.8,,,10.0,280.8,1254.1,,26.5,,,8.33,6.97,10254.8,0.16,330.4,Plus 5.0c special dividend declared with FY2025 final (paid Aug 2025, not in DPS)
H1 2025,172.3,,,,,,,154.2,,12.29,,,,8612.9,,,10.0,294.1,1258.0,,12.0,,,8.24,6.87,10081.2,,172.3,,
H1 2026,168.7,,,,,,,147.0,,11.70,,,,8344.6,,,0.0,131.6,1253.0,,12.0,,,7.90,6.66,9788.1,0.11,171.8,Plus 2.5c special dividend declared with interim (not in DPS); further 2.5c special flagged for FY2026 final,
