Date,Close
2016-09-30,3.02
2016-10-31,3.05
2016-11-30,2.75
2016-12-31,2.65
2017-01-31,2.78
2017-02-28,2.65
2017-03-31,2.4
2017-04-30,2.25
2017-05-31,2.24
2017-06-30,2.5
2017-07-31,2.52
2017-08-31,2.48
2017-09-30,2.54
2017-10-31,2.46
2017-11-30,2.3
2017-12-31,2.71
2018-01-31,2.39
2018-02-28,2.5
2018-03-31,2.35
2018-04-30,2.38
2018-05-31,2.4
2018-06-30,2.35
2018-07-31,2.22
2018-08-31,2.22
2018-09-30,2.26
2018-10-31,2.2
2018-11-30,2.15
2018-12-31,2.15
2019-01-31,2.06
2019-02-28,2
2019-03-31,2.1
2019-04-30,2.85
2019-05-31,2.95
2019-06-30,3.17
2019-07-31,2.81
2019-08-31,3.05
2019-09-30,3.01
2019-10-31,3.12
2019-11-30,3.5
2019-12-31,3.73
2020-01-31,3.6
2020-02-29,3.63
2020-03-31,4.25
2020-04-30,4.65
2020-05-31,3.88
2020-06-30,4.6
2020-07-31,5.39
2020-08-31,4.98
2020-09-30,5
2020-10-31,4.7
2020-11-30,5.51
2020-12-31,5.12
2021-01-31,4.21
2021-02-28,4.95
2021-03-31,4.67
2021-04-30,4.7
2021-05-31,4.63
2021-06-30,4.55
2021-07-31,4.15
2021-08-31,4.13
2021-09-30,4.1
2021-10-31,4.55
2021-11-30,4.48
2021-12-31,4.25
2022-01-31,4.02
2022-02-28,3.61
2022-03-31,3.6
2022-04-30,4.21
2022-05-31,3.61
2022-06-30,3.7
2022-07-31,3.5
2022-08-31,3.3
2022-09-30,3.71
2022-10-31,3.7
2022-11-30,3.65
2022-12-31,3.8
2023-01-31,3.33
2023-02-28,3.46
2023-03-31,3.4
2023-04-30,3.84
2023-05-31,3.6
2023-06-30,3.7
2023-07-31,3.49
2023-08-31,3.44
2023-09-30,3.34
2023-10-31,3.3
2023-11-30,3.5
2023-12-31,3.68
2024-01-31,3.26
2024-02-29,3.13
2024-03-31,3
2024-04-30,3.1
2024-05-31,3.05
2024-06-30,3.07
2024-07-31,3.4
2024-08-31,3.23
2024-09-30,3.2
2024-10-31,2.91
2024-11-30,2.9
2024-12-31,2.82
2025-01-31,2.7
2025-02-28,2.69
2025-03-31,2.58
2025-04-30,2.85
2025-05-31,2.77
2025-06-30,2.69
2025-07-31,2.75
2025-08-31,2.79
2025-09-30,3.08
2025-10-31,3.52
2025-11-30,3.38
2025-12-31,3.77
2026-01-31,3.52
2026-02-28,3.36
2026-03-31,3.5
2026-04-30,3.93
2026-05-31,3.66
2026-06-30,4.81
2026-07-31,4.44
2026-08-31,4.37
2026-09-08,4.33
