Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,CustomerServices,GenerationVolume
H1 FY2016,5601.0,,,,-410.0,-7.3,-175.0,-449.0,-8.0,-0.665,658.0,,,8136.0,14595.0,6459.0,3129.0,106.0,674.712378,,,,,,,millions,AUD,,
FY2016,11150.0,,,,-256.0,-2.3,222.0,-407.0,-3.7,-0.605,1186.0,546.0,640.0,7926.0,14604.0,6678.0,3108.0,252.0,674.712378,,,,,,,millions,AUD,3.7,
H1 FY2017,6030.0,,,,592.0,9.8,831.0,325.0,5.4,0.482,471.0,,,8083.0,14782.0,6699.0,3633.0,969.0,673.809793,,,,,,,millions,AUD,,
FY2017,12584.0,,,,988.0,7.9,1472.0,539.0,4.3,0.805,891.0,504.0,387.0,7574.0,14458.0,6884.0,3346.0,154.0,669.299682,,,,,,,millions,AUD,,
H1 FY2018,6450.0,,,,997.0,15.5,1262.0,622.0,9.6,0.948,796.0,,,7836.0,14357.0,6521.0,2950.0,83.0,655.825043,,,,,,,millions,AUD,,
FY2018,12816.0,,,,2464.0,19.2,3022.0,1587.0,12.4,2.42,2134.0,720.0,1414.0,8390.0,14639.0,6249.0,2841.0,463.0,655.825043,6.0,,,,,,millions,AUD,,
H1 FY2019,6337.0,,,,514.0,8.1,809.0,290.0,4.6,0.442,678.0,,,8238.0,15218.0,6980.0,3044.0,428.0,655.825043,,,,,,,millions,AUD,,
FY2019,13246.0,,,,1472.0,11.1,2097.0,905.0,6.8,1.38,1599.0,915.0,684.0,8438.0,14821.0,6383.0,2850.0,115.0,655.825043,6.0,,,,,,millions,AUD,3.7,
H1 FY2020,6312.0,,,,540.0,8.6,915.0,323.0,5.1,0.497,1135.0,,,8025.0,14453.0,6428.0,3171.0,293.0,650.471038,,,,,,,millions,AUD,,
FY2020,12160.0,,,,1604.0,13.2,2357.0,1015.0,8.3,1.584,2156.0,758.0,1398.0,8075.0,14710.0,6635.0,3108.0,141.0,640.65378,9.0,,,,,,millions,AUD,,43828.0
H1 FY2021,5414.0,,,,-2906.0,-53.7,-2516.0,-2287.0,-42.2,-3.671,614.0,,,5493.0,15416.0,9923.0,3056.0,101.0,623.060434,,,,,,,millions,AUD,,
FY2021,10942.0,,,,-2433.0,-22.2,-1726.0,-2059.0,-18.8,-3.303,1250.0,695.0,555.0,5506.0,15450.0,9944.0,3185.0,88.0,623.047222,9.0,,,,,,millions,AUD,4.2,41137.0
H1 FY2022,5713.0,,,,894.0,15.6,1239.0,551.0,9.6,0.866,661.0,,,6126.0,15450.0,9324.0,3027.0,104.0,,,,,,,,millions,AUD,,
FY2022,13221.0,,,,1399.0,10.6,2116.0,853.0,6.5,1.316,1227.0,636.0,591.0,6517.0,19270.0,12753.0,2878.0,127.0,653.324767,1.0,,,,,,millions,AUD,4.2,40755.0
H1 FY2023,7808.0,,,,-1426.0,-18.3,-1057.0,-1077.0,-13.8,-1.598,661.0,,,5398.0,15830.0,10432.0,3267.0,334.0,672.747233,,,,,,,millions,AUD,,
FY2023,14157.0,,,,-1581.0,-11.2,-853.0,-1270.0,-9.0,-1.879,912.0,624.0,288.0,5119.0,15238.0,10119.0,2883.0,148.0,672.747233,1.0,,,,,,millions,AUD,4.3,36937.0
H1 FY2024,6183.0,,,,945.0,15.3,1306.0,571.0,9.2,0.856,791.0,,,5495.0,14512.0,9017.0,2704.0,152.0,672.747233,,,,,,,millions,AUD,,
FY2024,13583.0,,,,1313.0,9.7,2060.0,703.0,5.2,1.057,2240.0,838.0,1402.0,5431.0,15661.0,10230.0,2728.0,932.0,672.747233,4.0,,,,,,millions,AUD,4.5,34086.0
H1 FY2025,7132.0,,,,296.0,4.2,687.0,97.0,1.4,0.144,455.0,,,5266.0,15167.0,9901.0,2812.0,253.0,672.747233,,,,,,,millions,AUD,,
FY2025,14393.0,,,,195.0,1.4,998.0,-98.0,-0.7,-0.146,841.0,1125.0,-284.0,4858.0,16204.0,11346.0,3307.0,319.0,672.747233,8.0,,,,,,millions,AUD,4.56,32904.0
H1 FY2026,7044.0,,,,316.0,4.5,726.0,94.0,1.3,0.14,545.0,,,4735.0,15773.0,11038.0,3382.0,307.0,672.747233,,,,,,,millions,AUD,,
FY2026,13590.0,,,,1402.0,10.3,2239.0,756.0,5.6,1.124,1148.0,1438.0,-290.0,5276.0,15983.0,10707.0,2976.0,325.0,672.747233,8.0,,,,,,millions,AUD,4.569,31773.0
