Date,Close
2016-09-30,19.18
2016-10-31,20.98
2016-11-30,22.09
2016-12-31,22.6
2017-01-31,24.12
2017-02-28,26.37
2017-03-31,26.76
2017-04-30,26.35
2017-05-31,25.5
2017-06-30,24.1
2017-07-31,23.99
2017-08-31,23.37
2017-09-30,25.27
2017-10-31,24.99
2017-11-30,24.36
2017-12-31,23.44
2018-01-31,21.86
2018-02-28,21.68
2018-03-31,21.73
2018-04-30,22.1
2018-05-31,22.48
2018-06-30,21.99
2018-07-31,20.78
2018-08-31,19.5
2018-09-30,18
2018-10-31,18.81
2018-11-30,20.6
2018-12-31,21.42
2019-01-31,21.21
2019-02-28,21.77
2019-03-31,22.23
2019-04-30,20.55
2019-05-31,20.01
2019-06-30,20.97
2019-07-31,18.96
2019-08-31,19.16
2019-09-30,19.78
2019-10-31,20.41
2019-11-30,20.53
2019-12-31,19.95
2020-01-31,19.14
2020-02-29,17.19
2020-03-31,16.96
2020-04-30,16.76
2020-05-31,17.05
2020-06-30,16.62
2020-07-31,14.8
2020-08-31,13.62
2020-09-30,12.48
2020-10-31,13.5
2020-11-30,11.95
2020-12-31,11.47
2021-01-31,9.37
2021-02-28,9.65
2021-03-31,8.93
2021-04-30,8.12
2021-05-31,8.2
2021-06-30,7.23
2021-07-31,6.45
2021-08-31,5.78
2021-09-30,5.72
2021-10-31,5.4
2021-11-30,6.14
2021-12-31,7.1
2022-01-31,7.52
2022-02-28,7.72
2022-03-31,8.68
2022-04-30,8.76
2022-05-31,8.25
2022-06-30,8.38
2022-07-31,7.68
2022-08-31,6.84
2022-09-30,6.81
2022-10-31,7.96
2022-11-30,8.07
2022-12-31,7.65
2023-01-31,6.9
2023-02-28,8.05
2023-03-31,8.3
2023-04-30,9.39
2023-05-31,10.81
2023-06-30,12.19
2023-07-31,11.09
2023-08-31,10.73
2023-09-30,10.75
2023-10-31,9.43
2023-11-30,9.48
2023-12-31,8.67
2024-01-31,8.5
2024-02-29,8.34
2024-03-31,9.46
2024-04-30,10.23
2024-05-31,10.83
2024-06-30,10.38
2024-07-31,11.61
2024-08-31,11.83
2024-09-30,10.48
2024-10-31,11.2
2024-11-30,11.29
2024-12-31,11.52
2025-01-31,10.46
2025-02-28,10.52
2025-03-31,10.63
2025-04-30,10.15
2025-05-31,9.73
2025-06-30,9.72
2025-07-31,8.23
2025-08-31,8.85
2025-09-30,9.26
2025-10-31,9.4
2025-11-30,9.31
2025-12-31,9.05
2026-01-31,9.89
2026-02-28,9.86
2026-03-31,9.58
2026-04-30,8.56
2026-05-31,8.35
2026-06-30,8.28
2026-07-31,8.58
2026-08-31,8.45
2026-09-21,8.45
