Date,Close
2016-09-30,2.48
2016-10-31,2.59
2016-11-30,2.6
2016-12-31,2.7
2017-01-31,2.78
2017-02-28,2.63
2017-03-31,2.95
2017-04-30,2.92
2017-05-31,2.88
2017-06-30,2.61
2017-07-31,2.7
2017-08-31,2.41
2017-09-30,2.44
2017-10-31,2.22
2017-11-30,2.33
2017-12-31,2.33
2018-01-31,2.27
2018-02-28,1.9
2018-03-31,1.77
2018-04-30,1.9
2018-05-31,2.01
2018-06-30,1.93
2018-07-31,1.85
2018-08-31,1.8
2018-09-30,1.8
2018-10-31,1.68
2018-11-30,1.63
2018-12-31,1.7
2019-01-31,1.64
2019-02-28,1.65
2019-03-31,1.69
2019-04-30,1.7
2019-05-31,1.85
2019-06-30,1.75
2019-07-31,1.78
2019-08-31,1.82
2019-09-30,1.89
2019-10-31,1.95
2019-11-30,1.88
2019-12-31,2.03
2020-01-31,1.85
2020-02-29,1.29
2020-03-31,1.48
2020-04-30,1.43
2020-05-31,1.32
2020-06-30,1.38
2020-07-31,1.22
2020-08-31,1.5
2020-09-30,1.5
2020-10-31,1.34
2020-11-30,1.36
2020-12-31,1.41
2021-01-31,1.4
2021-02-28,1.3
2021-03-31,1.35
2021-04-30,1.45
2021-05-31,1.55
2021-06-30,1.6
2021-07-31,1.62
2021-08-31,1.77
2021-09-30,1.93
2021-10-31,1.8
2021-11-30,1.78
2021-12-31,1.8
2022-01-31,1.84
2022-02-28,2.02
2022-03-31,2.05
2022-04-30,1.9
2022-05-31,1.8
2022-06-30,1.88
2022-07-31,1.79
2022-08-31,1.76
2022-09-30,1.81
2022-10-31,1.75
2022-11-30,1.67
2022-12-31,1.7
2023-01-31,1.68
2023-02-28,1.61
2023-03-31,1.63
2023-04-30,1.7
2023-05-31,1.39
2023-06-30,1.28
2023-07-31,1.17
2023-08-31,1.15
2023-09-30,1.1
2023-10-31,0.9
2023-11-30,0.94
2023-12-31,0.99
2024-01-31,0.87
2024-02-29,0.56
2024-03-31,0.63
2024-04-30,0.425
2024-05-31,0.43
2024-06-30,0.67
2024-07-31,0.72
2024-08-31,0.54
2024-09-30,0.5
2024-10-31,0.52
2024-11-30,0.49
2024-12-31,0.465
2025-01-31,0.38
2025-02-28,0.38
2025-03-31,0.35
2025-04-30,0.27
2025-05-31,0.3
2025-06-30,0.26
2025-07-31,0.3
2025-08-31,0.29
2025-09-30,0.27
2025-10-31,0.295
2025-11-30,0.27
2025-12-31,0.31
2026-01-31,0.33
2026-02-28,0.145
2026-03-31,0.145
2026-04-30,0.14
2026-05-31,0.15
2026-06-30,0.166
2026-07-31,0.177
2026-08-31,0.175
2026-09-04,0.175
