Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,AdvancesToPunaMining,ExplorationAndEvaluationAssets,ImpairmentExpense,ImpairmentReversal,JVInvestmentPunaMining
FY2018,,,,,,,,-2.542505,,-0.0028,-1.94926,,,18.097237,18.601181,0.503944,0.159414,2.71421,991.695228,0.0,,,,,,millions,AUD,,,,,
FY2019,,,,,,,,-2.394308,,-0.0024,-2.16991,0.0,-2.16991,24.709997,24.968098,0.258101,0.124954,5.967398,1019.502141,0.226329,,,,,,millions,AUD,,,,,
FY2020,,,,,,,,-3.084619,,-0.003,-1.755013,0.496617,-2.25163,20.488558,20.783243,0.294685,0.10607,2.892292,1019.502141,-0.003541,,,,,,millions,AUD,,,,,
FY2021,,,,,,,,2.008541,,0.0017,-2.002985,0.622263,-2.625248,56.728021,56.967985,0.239964,0.05703,23.093132,1223.077083,0.003963,,,,,,millions,AUD,,,,,
FY2022,,,,,,,,-0.175768,,-0.0001,-2.871574,1.05735,-3.928924,94.337454,94.599074,0.26162,0.004297,36.610751,1353.975907,1.384749,,,,,,millions,AUD,,,,,
FY2023,,,,,,,,-10.619215,,-0.0076,-1.009191,4.088555,-5.097746,66.213314,66.652365,0.439051,0.228872,13.851531,1404.407498,1.691579,,,,,,millions,AUD,,,,,
H1 FY2024,,,,,,,,-70.91018,,-0.0502,-0.480884,1.003871,-1.484755,,,,,11.301144,1434.949614,0.559898,,,,,,millions,AUD,,,69.351713,,
FY2024,,,,,,,,-15.450292,,-0.0108,-1.228296,2.149765,-3.378061,82.519881,83.256257,0.736376,0.167301,5.96028,1434.949614,0.738789,,,,,,millions,AUD,27.614218,9.498458,10.780455,,39.81118
H1 FY2025,,,,,,,,-6.256742,,-0.0043,-0.328586,0.96166,-1.290246,74.3317,74.6691,0.337401,0.093977,3.596735,1434.949614,0.29867,,,,,,millions,AUD,,,,,
FY2025,,,,,,,,7.310236,,0.0049,-0.976412,1.544364,-2.520776,86.189116,86.464577,0.275459,0.093977,4.258663,1506.445592,0.416196,,,,,,millions,AUD,30.149144,11.814122,,10.073109,40.041529
