Date,Close
2016-10-01,61.7
2016-11-01,63.33
2016-12-01,65.31
2017-01-01,64.26
2017-02-01,63.92
2017-03-01,62.43
2017-04-01,60.91
2017-05-01,63.63
2017-06-01,62.52
2017-07-01,65.45
2017-08-01,60.48
2017-09-01,61.39
2017-10-01,64.61
2017-11-01,59.96
2017-12-01,59.58
2018-01-01,63.92
2018-02-01,57.34
2018-03-01,54.42
2018-04-01,56
2018-05-01,52.79
2018-06-01,53.02
2018-07-01,55.21
2018-08-01,53.17
2018-09-01,53.24
2018-10-01,41.29
2018-11-01,43.25
2018-12-01,39.41
2019-01-01,43.23
2019-02-01,43.2
2019-03-01,43.06
2019-04-01,47.57
2019-05-01,51.07
2019-06-01,53.28
2019-07-01,55.99
2019-08-01,52.04
2019-09-01,55.7
2019-10-01,52.96
2019-11-01,52.66
2019-12-01,51.33
2020-01-01,50.26
2020-02-01,42.16
2020-03-01,24.25
2020-04-01,25.43
2020-05-01,30.06
2020-06-01,31.18
2020-07-01,32.14
2020-08-01,29.14
2020-09-01,27.53
2020-10-01,31.49
2020-11-01,38.44
2020-12-01,37.86
2021-01-01,37.44
2021-02-01,43.95
2021-03-01,46.21
2021-04-01,48.45
2021-05-01,52.84
2021-06-01,47.6
2021-07-01,47.35
2021-08-01,54.56
2021-09-01,54.89
2021-10-01,59.09
2021-11-01,52.6
2021-12-01,56.86
2022-01-01,57.75
2022-02-01,61.24
2022-03-01,62.77
2022-04-01,58.51
2022-05-01,58.68
2022-06-01,51.13
2022-07-01,51.77
2022-08-01,51.75
2022-09-01,47.48
2022-10-01,57
2022-11-01,63.11
2022-12-01,63.24
2023-01-01,63.22
2023-02-01,61.11
2023-03-01,50.36
2023-04-01,53.04
2023-05-01,52.83
2023-06-01,57.54
2023-07-01,60.28
2023-08-01,58.52
2023-09-01,60.6
2023-10-01,61.31
2023-11-01,65.81
2023-12-01,67.75
2024-01-01,69.51
2024-02-01,72.89
2024-03-01,78.17
2024-04-01,75.31
2024-05-01,78.82
2024-06-01,74.24
2024-07-01,79.23
2024-08-01,77.05
2024-09-01,73.23
2024-10-01,75.88
2024-11-01,76.88
2024-12-01,72.8
2025-01-01,73.66
2025-02-01,82.94
2025-03-01,86.94
2025-04-01,81.52
2025-05-01,84.64
2025-06-01,85.59
2025-07-01,77.63
2025-08-01,81.32
2025-09-01,78.54
2025-10-01,78.96
2025-11-01,76.16
2025-12-01,85.55
2026-01-01,74.88
2026-02-01,80.49
2026-03-01,75.25
2026-04-01,74.8
2026-05-01,74.23
2026-06-01,74.53
2026-07-01,78.58
2026-08-01,76.36
2026-09-01,74.82
2026-09-25,74.16
