Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2007,,,,,,,,,,,,,,715.5,,,,255.9,,,,,,,,millions,USD
FY2008,1645.0,,,,,,,77.3,4.699088145896656,0.82,160.6,32.0,128.6,738.5,,,,194.4,,11.4,1.28,,,,,millions,USD
H1-2009,854.7,,,,,,,70.2,8.213408213408213,0.71,77.6,13.5,64.1,,,,,,,3.9,0.64,,,,,millions,USD
Q2 2009,453.6,,,,,,,43.8,9.656084656084655,0.44,,,,,,,,226.1,,,0.32,,,,,millions,USD
Q3 2009,439.5,,,,,,,41.6,9.465301478953355,0.41,118.0,4.100000000000001,113.9,,,,,237.9,,,0.32,,,,,millions,USD
FY2009,1729.3,,,,,,,128.6,7.436535014167582,1.28,211.5,23.5,188.0,892.9,3250.3,2357.4,550.0,205.9,102.5,9.9,1.28,,,,,millions,USD
Q1 2010,482.4,64.0,,,,,,29.2,6.053067993366501,0.28,3.5,6.0,-2.5,,,,,227.1,,1.0,0.32,,,,,millions,USD
H1-2010,941.9,64.0,,,,,,73.2,7.7715256396645085,0.71,89.6,13.0,76.6,,,,,,,3.9,0.64,,,,,millions,USD
Q2 2010,459.5,,,,,,,44.0,9.57562568008705,0.42,86.1,7.0,79.1,965.4,3555.8,2590.4,550.0,230.0,105.2,,0.32,,,,,millions,USD
Q3 2010,463.2,,,,,,,46.2,9.974093264248705,0.44,122.80000000000001,5.100000000000001,117.70000000000002,1011.4,3460.7,2449.3,550.0,296.3,106.0,,0.32,,,,,millions,USD
Q4 2010,459.1,,,,,,,54.7,11.914615552167284,0.51,,,,,,,,,,,,,,,,millions,USD
FY2010,1864.2,64.0,,,,,,174.1,9.339126703143439,1.66,229.5,25.1,204.4,1106.7,3596.0,2489.3,550.0,249.8,108.4,9.0,1.28,,,,,millions,USD
Q1 2011,447.4,,,,,,,15.2,3.3974072418417522,0.14,-8.4,8.3,-16.700000000000003,1147.1,3691.1,2544.0,675.0,333.2,110.3,0.8,0.33,,,,,millions,USD
H1-2011,993.5,11.7,,,,,,56.9,5.7272269753397085,0.51,96.3,22.3,74.0,,,,,,,8.8,0.66,,,,,millions,USD
Q2 2011,546.1,11.7,,,,,,41.7,7.635964109137521,0.37,104.7,14.0,90.7,1202.8,4581.9,3379.1,675.0,263.2,112.2,0.9,0.33,,,,,millions,USD
Q3 2011,562.8,0.7,,,,,,46.7,8.297796730632552,0.41,89.3,12.999999999999996,76.3,1219.3,4247.2,3027.9,675.0,241.4,112.9,0.8,0.33,,,,,millions,USD
Q4 2011,578.4,,,,,,,40.5,7.0020746887966805,0.35,,,,,,,,,,,,,,,,millions,USD
FY2011,2134.7,32.0,,,,,,144.1,6.750363048671945,1.28,284.0,45.9,238.1,1243.6,4483.5,3239.9,675.0,291.2,114.7,14.3,1.32,,,,,millions,USD
Q1 2012,546.8,17.7,,,,,,28.1,5.13899049012436,0.24,-49.6,13.0,-62.6,1356.6,4602.7,3246.1,675.0,301.8,118.3,1.0,0.34,,,,,millions,USD
H1-2012,1196.7,46.7,,,,,,99.8,8.339600568229297,0.83,63.0,26.6,36.4,,,,,,,3.3,0.68,,,,,millions,USD
Q2 2012,649.9,29.0,,,,,,71.7,11.032466533312817,0.59,112.6,13.600000000000001,99.0,1472.9,5133.6,3660.7,675.0,282.1,121.0,1.1,0.34,,,,,millions,USD
Q3 2012,650.4,27.7,,,,,,61.7,9.486469864698648,0.5,116.4,9.5,106.9,1636.2,5009.3,3373.1,725.0,305.2,124.4,1.5,0.34,,,,,millions,USD
Q4 2012,673.2,,,,,,,33.5,4.976232917409388,0.27,,,,,,,,,,,,,,,,millions,USD
FY2012,2520.3,111.6,,,,,,195.0,7.737174145935007,1.59,343.0,51.0,292.0,1672.8,5352.3,3693.7,725.0,302.1,125.6,7.5,1.36,,,,,millions,USD
Q1 2013,674.1,58.1,,,,,,40.5,6.008010680907877,0.32,51.2,9.3,41.900000000000006,1664.7,5225.1,3560.4,725.0,224.0,126.8,0.9,0.35,,,,,millions,USD
H1-2013,1453.6,134.7,,,,,,134.0,9.21849201981288,1.04,73.8,35.9,37.9,,,,,,,3.2,0.7,,,,,millions,USD
Q2 2013,779.5,76.6,,,,,,93.5,11.994868505452214,0.73,22.599999999999994,26.599999999999998,-4.0000000000000036,1702.0,5562.1,3860.1,925.0,240.0,127.7,1.5,0.35,,,,,millions,USD
Q3 2013,835.8,146.9,,,,,,74.6,8.925580282364201,0.57,204.8,33.9,170.9,1932.2,5970.2,4038.0,825.0,286.9,131.5,2.0,0.35,,,,,millions,USD
Q4 2013,890.2,,,,,,,60.0,6.740058413839586,,,,,,,,,,,,,,,,,millions,USD
FY2013,3179.6,437.3,,,,,,268.6,8.447603472134862,2.06,349.9,93.6,256.29999999999995,2114.8,6860.5,4775.0,825.0,298.1,133.6,7.7,1.4,,,,,millions,USD
Q1 2014,915.0,171.0,,,,,,49.3,5.387978142076502,0.36,76.1,19.8,56.3,2144.2,7275.6,5131.4,1425.0,739.2,135.1,2.4,0.36,,,,,millions,USD
H1-2014,2094.3,441.5,,,,,,158.3,7.558611469225994,1.09,206.8,42.1,164.70000000000002,,,,,,,5.1,0.72,,,,,millions,USD
Q2 2014,1179.3,270.5,,,,,,109.0,9.242771135419318,0.7,130.70000000000002,22.3,108.40000000000002,3249.6,10019.3,6769.7,2125.0,973.5,159.0,,0.36,,,,,millions,USD
Q3 2014,1286.8,326.2,,,,,,93.6,7.27385763133354,0.58,26.399999999999977,17.6,8.799999999999976,3256.0,9988.0,6732.0,2125.0,290.5,161.4,,0.36,,,,,millions,USD
Q4 2014,1245.4,,,,,,,51.5,4.1352176007708366,,,,,,,,,,,,,,,,,millions,USD
FY2014,4626.5,1058.9,,,,,,303.4,6.557873122230627,1.97,,81.5,,3305.1,10010.0,6704.9,2125.0,314.4,164.6,10.6,1.44,,,,,millions,USD
Q1 2015,1231.3,309.3,,,,,,21.9,1.7786079753106472,0.13,,17.8,,3145.2,9730.9,6511.3,2125.0,276.8,166.7,2.2,0.37,,,,,millions,USD
H1-2015,2602.7,,,,,,,161.2,6.193568217620164,0.95,,45.5,,,,,,,,5.1,0.74,,,,,millions,USD
Q2 2015,1371.4,,,,,,,139.3,10.15750328131836,0.81,,27.7,,3638.5,10716.1,7004.6,2125.0,321.7,174.5,,0.37,,,,,millions,USD
Q3 2015,1454.8,,,,,,,133.3,9.162771514984879,0.75,,26.299999999999997,,3652.4,10510.4,6802.5,2125.0,369.7,176.7,,0.37,,,,,millions,USD
Q4 2015,1334.9,,,,,,,62.3,4.667016255899318,,,,,,,,,,,,,,,,,millions,USD
FY2015,5392.4,,,,,,,356.8,6.616719827905943,2.06,,99.0,,3688.2,10913.8,7222.3,2071.7,480.4,176.9,11.2,1.48,,,,,millions,USD
Q1 2016,1300.4,,,,,,,46.5,3.575822823746539,0.26,,61.9,,3597.1,10712.6,7060.3,2071.8,425.4,177.1,3.3,0.38,,,,,millions,USD
H1-2016,2727.5,,,,,,,196.5,7.204399633363886,1.1,,103.1,,,,,,,,7.1,0.76,,,,,millions,USD
Q2 2016,1427.1,,,,,,,150.0,10.510826150935463,0.84,,41.199999999999996,,3599.9,11384.3,7728.5,2344.4,411.1,177.0,,0.38,,,,,millions,USD
Q3 2016,1482.3,,,,,,,122.8,8.284422856371854,0.69,,35.70000000000002,,3686.5,11200.3,7459.1,2044.6,531.8,177.9,,0.38,,,,,millions,USD
Q4 2016,1385.0,,,,,,,95.1,6.866425992779783,,,,,,,,,,,,,,,,,millions,USD
FY2016,5680.5,1408.6,,,,,,396.8,6.985300589736819,2.22,649.6,217.8,431.8,3775.5,13528.2,7833.8,2144.6,545.5,178.3,14.7,1.52,,,,,millions,USD
Q1 2017,1646.4,,,,,,,228.8,13.896987366375122,1.27,,29.3,,3662.5,11780.6,8053.3,2144.7,564.0,179.5,4.1,0.39,,,,,millions,USD
H1-2017,3135.9,,,,,,,298.8,9.528365062661436,1.65,260.9,65.6,195.29999999999998,,,,,,,8.5,0.78,,,,,millions,USD
Q2 2017,1489.5,,,,,,,70.0,4.699563611950319,0.39,,36.3,,3844.7,12569.6,8659.6,2644.8,587.8,180.2,,0.39,,,,,millions,USD
Q3 2017,1593.7,,,,,,,111.0,6.964924389784777,0.61,332.30000000000007,,,4110.0,12810.4,8638.2,2741.7,564.9,180.8,,0.39,,,,,millions,USD
Q4 2017,1519.4,,,,,,,71.5,4.7058049229959185,,,,,,,,,,,,,,,,,millions,USD
FY2017,6249.0,1635.9,,,,,,481.3,7.702032325172027,2.64,854.2,,,4299.7,14909.7,10610.0,2691.9,681.2,181.0,17.3,1.56,,,,,millions,USD
Q1 2018,1837.7,431.2,,,,,,273.7,14.893617021276595,1.48,-217.6,,,4584.5,16127.5,11543.0,2792.1,697.9,182.1,4.8,0.41,,,,,millions,USD
H1-2018,3498.1,873.0,,,,,,388.6,11.108887681884452,2.1,313.3,,,,,,,,,6.4,0.82,,,,,millions,USD
Q2 2018,1660.4,441.8,,,,,,114.9,6.920019272464466,0.62,530.9,,,4513.1,16230.5,11717.4,3141.0,652.2,182.6,,0.41,,,,,millions,USD
Q3 2018,1778.5,508.8,,,,,,127.6,7.174585324711835,0.68,191.3,,,4612.7,16114.7,11502.0,3141.2,605.0,183.7,,0.41,,,,,millions,USD
Q4 2018,1657.4,,,,,,,117.3,7.077350066369011,,,,,,,,,,,,,,,,,millions,USD
FY2018,6934.0,1816.0,,,,,,633.5,9.136140755696568,3.4,765.1,,,4569.7,16334.0,11764.3,3091.4,607.2,184.0,13.7,1.64,,,,,millions,USD
Q1 2019,1990.6,382.5,,,,,,334.1,16.78388425600322,1.77,-96.2,,,4958.2,18631.4,13673.2,3690.3,871.5,185.3,3.6,0.43,,,,,millions,USD
H1-2019,3648.4,674.5,,,,,,444.2,12.17520008770968,2.35,419.6,,,,,,,,,7.1,0.86,,,,,millions,USD
Q2 2019,1657.8,292.0,,,,,,110.1,6.64133188563156,0.58,515.8000000000001,,,4947.8,19200.3,14252.5,3815.6,512.3,186.1,,0.43,,,,,millions,USD
Q3 2019,1825.2,397.4,,,,,,126.1,6.908831908831909,0.66,349.5,,,4912.0,19173.8,14261.8,3815.8,578.9,186.5,,0.43,,,,,millions,USD
Q4 2019,1721.4,,,,,,,98.5,5.722086673637737,0.51,,,,,,,,,,,,,,,,millions,USD
FY2019,7195.0,1352.8,,,,,,668.8,9.295343988881166,3.52,1191.1,,,5215.5,19634.8,14419.3,3816.1,604.8,188.1,14.0,1.72,,,,,millions,USD
Q1 2020,1866.9,185.4,,,,,,346.3,18.54946703090685,1.79,108.6,,,5070.1,20836.5,15766.4,4315.1,352.8,189.6,3.3,0.45,,,,,millions,USD
H1-2020,3450.9,346.6,,,,,,500.0,14.488973890869048,2.58,802.2,,,,,,,,,6.7,0.9,,,,,millions,USD
Q2 2020,1584.0,161.2,,,,,,153.7,9.703282828282827,0.79,693.6,,,5534.5,21306.2,15771.7,4315.4,349.7,191.5,,0.45,,,,,millions,USD
Q3 2020,1849.1,319.2,,,,,,176.6,9.55059217997945,0.9,585.3999999999999,,,5818.2,21814.9,15996.7,4265.7,629.9,192.3,,0.45,,,,,millions,USD
Q4 2020,1703.6,,,,,,,142.2,8.347029819206387,0.72,,,,,,,,,,,,,,,,millions,USD
FY2020,7003.6,882.1,,,,,,818.8,11.691130275858129,4.2,1807.1,,,6232.7,22331.4,16098.7,4266.0,664.6,193.7,13.6,1.8,,,,,millions,USD
Q1 2021,2165.0,309.1,,,,,,393.7,18.18475750577367,1.92,218.7,,,6779.5,24414.5,17635.0,4366.3,526.3,195.9,3.7,0.48,,,,,millions,USD
H1-2021,4098.5,577.9,,,,,,572.3,13.963645236061971,2.83,688.9,,,,,,,,,8.2,0.96,,,,,millions,USD
Q2 2021,1933.5,268.8,,,,,,201.8,10.437031290406,0.92,470.2,,,8354.0,27817.2,19463.2,5712.2,3204.1,206.8,,0.48,,,,,millions,USD
Q3 2021,2138.2,366.1,,,,,,225.1,10.527546534468245,1.06,521.4,,,8470.1,26915.8,18445.7,5072.4,2735.1,207.3,,0.48,,,,,millions,USD
FY2021,8209.4,1173.2,,,,,,906.8,11.045874241722903,4.37,1392.4,,,8560.1,33236.1,24784.9,5810.2,402.6,208.5,13.4,1.92,,,,,millions,USD
Q1 2022,2435.3,22.9,,,,,,439.1,18.030632776249334,2.05,216.6,,,9043.1,42897.5,34118.4,5760.9,734.4,210.1,2.4,0.51,,,,,millions,USD
H1-2022,4478.3,22.9,,,,,,722.9,16.142286135363864,3.38,140.4,,,,,,,,,9.5,1.02,,,,,millions,USD
Q2 2022,2043.0,,,,,,,285.1,13.954968184043077,1.33,-76.19999999999999,,,8861.8,39850.8,31128.6,9.4,552.9,210.3,,0.51,,,,,millions,USD
Q3 2022,2044.0,,,,,,,255.8,12.5146771037182,1.19,641.7,,,8629.1,38517.2,30038.7,9.3,629.8,210.8,,0.51,,,,,millions,USD
FY2022,8550.6,22.9,,,,,,1114.2,13.030664514770892,5.19,1390.0,,,9190.0,38358.4,29168.2,5562.8,738.4,211.9,24.4,2.04,,,,,millions,USD
Q1 2023,2706.1,,,,,,,486.6,17.98159713240457,2.24,428.5,,,9858.3,45094.4,35236.1,6022.1,1345.7,214.2,3.8,0.55,,,,,millions,USD
H1-2023,5148.0,,,,,,,721.0,14.005439005439005,3.31,440.9,,,,,,,,,11.9,1.1,,,,,millions,USD
Q2 2023,2441.9,,,,,,,235.8,9.656415086612883,1.07,12.399999999999977,,,10440.0,54365.2,43925.2,6022.9,777.9,215.5,,0.55,,,,,millions,USD
Q3 2023,2492.0,,,,,,,280.7,11.264044943820224,1.28,897.1999999999999,,,10510.0,53203.9,42693.9,6023.6,857.6,215.9,,0.55,,,,,millions,USD
FY2023,10072.0,,,,,,,970.0,9.630659253375695,4.42,2032.0,,,10815.0,51616.0,40800.5,7006.0,,216.7,31.0,2.2,,,,,millions,USD
Q1 2024,3256.7,,,,,,,612.7,18.813522891270306,2.74,789.3,,,11344.2,60975.9,49631.7,7989.6,,218.5,11.1,0.6,,,,,millions,USD
H1-2024,6032.1,,,,,,,891.8,14.784237661842475,4.01,908.8,,,,,,,,,21.1,1.2,,,,,millions,USD
Q2 2024,2775.4,,,,,,,285.4,10.283202421272609,1.27,119.5,,,11599.3,63007.7,51408.4,7790.9,,219.1,,0.6,,,,,millions,USD
Q3 2024,2806.8,,,,,,,312.6,11.137238135955537,1.39,934.8,,,12209.6,57242.7,45033.1,7791.9,,219.4,,0.6,,,,,millions,USD
FY2024,11555.0,,,,,,,1463.0,12.661185633924706,6.5,2583.0,,,20154.0,64255.0,44075.0,12732.0,,250.0,42.0,2.4,,,,,millions,USD
Q1 2025,3727.0,,,,,,,709.0,19.02334317145157,2.72,872.0,,,22354.0,74096.0,51742.0,12419.8,,256.1,14.0,0.65,,,,,millions,USD
H1-2025,6949.0,,,,,,,1072.0,15.426680097855808,4.12,448.0,,,,,,,,,25.0,1.3,,,,,millions,USD
Q2 2025,3222.0,,,,,,,368.0,11.421477343265053,1.4,-424.0,,,23056.0,80123.0,57066.3,12097.9,,256.4,,0.65,,,,,millions,USD
Q3 2025,3365.6,,,,,,,272.7,8.102567149988115,1.04,729.0,,,23205.8,79067.9,55831.0,12100.9,,256.8,,0.65,,,,,millions,USD
FY2025,13942.0,,,,,,,1494.0,10.715822694018074,5.74,1930.0,,,23321.0,70665.0,47318.0,12873.0,,257.0,49.0,2.6,,,,,millions,USD
Q1 2026,4758.0,,,,,,,823.0,17.297183690626312,3.16,957.0,,,23802.0,78301.0,54499.0,12077.0,,256.9,17.0,0.7,,,,,millions,USD
H1-2026,8761.0,,,,,,,1146.0,13.080698550393791,4.41,967.0,,,,,,,,,41.0,1.4,,,,,millions,USD
Q2 2026,4003.0,,,,,,,324.0,8.093929552835373,1.25,10.0,,,23717.0,81808.0,58061.0,11955.0,,256.3,,0.7,,,,,millions,USD
