Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2006,,,,,,,,,,,,,,954.693,,,,80.595,,,,,,,,millions,USD
FY2007,636.406,167.444,468.962,73.68912298124154,144.928,22.77288397658099,216.82299999999998,100.967,15.865186689000419,0.56,236.954,81.405,155.549,1358.552,,,,145.078,185.094,66.555,,,,,,millions,USD
H1-2008,381.023,105.263,275.76,72.3735837469129,105.655,27.729297181534974,151.713,71.245,18.69834629405574,0.38,157.803,45.943,111.86,,,,,,187.493,28.248,,,,,,millions,USD
Q2 2008,194.004,53.688,140.31599999999997,72.32634378672603,52.315,26.965938846621718,,34.334,17.69757324591246,0.19,,,,,,,,165.417,187.641,,,,,,,millions,USD
Q3 2008,197.347,56.659,140.68800000000002,71.28965730413942,51.769,26.232473764485903,,33.36,16.904234672936504,0.18,93.21799999999999,30.286,62.93199999999999,,,,,142.022,187.769,,,,,,,millions,USD
FY2008,790.924,222.61,568.314,71.8544386059849,212.264,26.83747110974,310.344,145.138,18.350435692936365,0.79,343.494,90.369,253.12500000000003,1568.77,1880.951,312.181,,156.074,186.685,57.899,,,,,,millions,USD
Q1 2009,210.368,60.362,150.006,71.30647246729541,,,,37.081,17.626730301186495,,,,,,,,,,188.183,,,,,,,millions,USD
H1-2009,414.968,120.371,294.59700000000004,70.99270305180158,110.513,26.631692082281045,168.869,73.088,17.612924370071905,0.39,194.3,34.033,160.267,,,,,,188.87,28.387,,,,,,millions,USD
Q2 2009,204.6,60.009,144.591,70.67008797653959,54.394,26.58553274682307,,36.007,17.598729227761485,0.19,,,,1680.891,1988.97,308.079,,321.083,189.556,,,,,,,millions,USD
Q3 2009,206.5,61.987,144.513,69.9820823244552,50.745,24.573849878934624,,32.745,15.857142857142856,0.18,105.243,24.421999999999997,80.821,1698.446,2028.671,330.225,,202.802,188.273,,,,,,,millions,USD
Q4 2009,238.305,67.58,170.72500000000002,71.6413839407482,,,,40.08,16.81878265248316,,,,,,,,,,188.621,,,,,,,millions,USD
FY2009,859.773,249.938,609.835,70.92976867149817,223.48,25.992907430217045,345.974,145.913,16.971107490000268,0.78,424.412,80.918,343.49399999999997,1738.722,2087.51,348.788,,181.305,188.658,58.797,,,,,,millions,USD
Q1 2010,240.029,67.474,172.555,71.8892300513688,66.05,27.517508301080284,99.00999999999999,40.878,17.030442154906282,0.22,87.753,28.203,59.55,,,,,173.224,189.013,19.108,,,,,,millions,USD
H1-2010,485.347,139.314,346.033,71.29600059338989,122.889,25.319822724772173,190.523,79.001,16.277220215639534,0.42,174.133,86.446,87.68700000000001,,,,,,189.746,39.384,,,,,,millions,USD
Q2 2010,245.318,71.84,173.478,70.71556102691201,56.839,23.169518747095605,,38.123,15.5402375691959,0.2,86.38000000000001,58.242999999999995,28.137000000000015,1973.088,2202.998,229.91,,120.506,190.479,,,,,,,millions,USD
Q3 2010,253.551,77.812,175.73899999999998,69.31110506367556,59.042,23.286045016584435,,39.709,15.661149039049347,0.21,117.963,33.144999999999996,84.818,2034.147,2262.752,228.605,,197.567,191.271,,,,,,,millions,USD
Q4 2010,284.688,86.277,198.411,69.6941915359973,,,,52.51,18.444753554768727,,,,,,,,,,191.837,,,,,,,millions,USD
FY2010,1023.586,303.403,720.183,70.35881694356898,254.277,24.841781735975285,397.519,171.22,16.727465987225305,0.9,402.455,159.276,243.17899999999997,2177.605,2352.676,175.071,,231.866,190.65,76.468,,,,,,millions,USD
Q1 2011,275.953,89.068,186.885,67.7234891448906,72.748,26.36246027403218,113.882,50.617,18.34261631509714,0.26,88.511,35.6,52.910999999999994,2210.188,2374.799,164.611,,217.174,191.383,15.712,,,,,,millions,USD
H1-2011,552.942,178.715,374.227,67.6792502649464,145.98,26.400598977831308,228.447,98.538,17.82067558622785,0.52,200.359,68.525,131.834,,,,,,190.781,27.324,,,,,,millions,USD
Q2 2011,276.989,89.647,187.34199999999998,67.63517684817809,73.232,26.438595034459855,,47.921,17.300687030892924,0.25,111.84800000000001,32.925000000000004,78.923,2228.315,2404.149,175.834,,205.629,190.179,,,,,,,millions,USD
Q3 2011,281.856,93.284,188.572,66.90366712079927,65.333,23.17956687102634,,42.285,15.002341621253404,0.23,116.28900000000002,37.244,79.04500000000002,2122.011,2301.957,179.946,,355.599,185.704,,,,,,,millions,USD
Q4 2011,323.74,102.544,221.19600000000003,68.32519923395319,,,,60.081,18.55841107061222,,,,,,,,,,182.956,,,,,,,millions,USD
FY2011,1158.538,453.705,704.8330000000001,60.838142555531206,290.649,25.08756726149682,458.527,200.904,17.341166193944435,1.07,446.278,133.445,312.833,2156.25,2345.501,189.251,,559.197,187.556,61.305,,,,,,millions,USD
Q1 2012,319.448,124.925,194.52299999999997,60.8934787508452,71.579,22.407089729783877,117.213,43.227,13.531779820189826,0.24,92.503,30.433,62.07,2201.188,2414.118,212.93,,144.724,182.342,20.924,,,,,,millions,USD
H1-2012,650.754,256.185,394.569,60.63258927336598,138.59,21.296834133943086,234.336,87.466,13.440716461212684,0.48,242.055,72.62,169.435,,,,,,182.08,46.545,,,,,,millions,USD
Q2 2012,331.306,131.26,200.046,60.381037469891886,67.011,20.226316456689585,,44.239,13.352912413297677,0.24,149.55200000000002,42.187000000000005,107.36500000000001,2214.633,2445.576,230.943,,182.996,181.817,25.621,,,,,,millions,USD
Q3 2012,345.321,134.221,211.10000000000002,61.131526898161425,80.159,23.2128946690181,,48.231,13.967004613099116,0.27,135.252,46.495999999999995,88.75600000000001,2259.938,2539.454,279.516,,182.65,181.053,22.635,,,,,,millions,USD
Q4 2012,377.872,139.494,238.37800000000001,63.084324850743116,,,,68.292,18.07278655205996,0.38,,,,,,,,,181.768,,,,,,,millions,USD
