Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
H1-2014,9.061,3.679,5.382,59.4,,,0.249,-0.572,-6.3,-0.0001,,,,-6.372,10.707,16.619,6.703,1.312,,,,millions,NZD
FY2014,16.081,4.168,11.913,74.1,,,2.427,1.028,6.4,0.012,0.248,,,-4.094,11.638,15.525,7.109,2.882,105.471,,,millions,NZD
H1-2015,10.081,4.028,6.053,60.0,,,,0.708,7.0,0.0067,-0.215,0.263,-0.478,-3.355,10.993,13.368,5.506,1.337,,,,millions,NZD
FY2015,15.342,4.54,10.802,70.4,,,2.368,0.128,0.8,0.0012,-0.929,0.204,-1.133,-1.97,11.881,13.356,5.843,2.285,129.831,,,millions,NZD
H1-2016,10.257,3.871,6.386,62.3,,,,0.24,2.3,0.0018,-0.122,,,-0.302,12.205,12.644,5.617,1.375,,,,millions,NZD
FY2016,16.04,4.642,11.398,71.1,,,2.764,0.705,4.4,0.0048,1.518,,,-0.549,12.728,12.623,5.328,2.478,159.185,,,millions,NZD
H1-2017,10.033,3.719,6.314,62.9,,,,0.281,2.8,0.0017,-1.948,0.169,-2.117,-0.268,12.332,11.897,5.498,0.0,,,,millions,NZD
FY2017,17.478,4.09,13.388,76.6,,,3.406,1.552,8.9,0.0097,2.961,,,1.023,14.516,12.696,4.812,1.577,161.505,,0.0,millions,NZD
H1-2018,10.696,3.681,7.015,65.6,,,,0.083,0.8,0.0005,-4.365,0.95,-5.315,1.106,19.043,16.316,8.691,0.0,,,,millions,NZD
FY2018,18.683,4.165,14.518,77.7,,,3.575,1.535,8.2,0.0951,1.785,0.248,1.537,2.235,20.321,16.855,6.49,0.569,161.505,,0.002,millions,NZD
H1-2019,13.179,5.637,7.542,57.2,,,,0.815,6.2,0.005,0.587,0.147,0.43999999999999995,3.051,23.289,18.813,9.813,2.174,,,,millions,NZD
FY2019,21.366,6.719,14.647,68.6,,,3.455,1.258,5.9,0.0758,3.072,0.346,2.726,4.409,24.039,18.271,5.293,2.301,178.547,,0.002,millions,NZD
H1-2020,14.648,6.215,8.433,57.6,,,,0.724,4.9,0.0405,-1.433,,,4.777,23.382,17.018,7.636,1.253,,,,millions,NZD
FY2020,20.061,7.122,12.939,64.5,,,2.336,0.767,3.8,0.043,0.767,0.794,-0.027000000000000024,4.808,24.255,17.865,3.788,2.086,17.855,,0.02,millions,NZD
H1-2021,13.095,6.126,6.969,53.2,,,,0.228,1.7,0.0079,1.952,,,10.017,24.847,13.149,3.421,2.535,,,,millions,NZD
FY2021,21.661,6.823,14.838,68.5,,,3.697,2.021,9.3,0.0702,4.501,0.847,3.6540000000000004,11.638,31.336,17.765,3.041,4.542,28.807,,0.012,millions,NZD
H1-2022,15.192,6.916,8.276,54.5,,,,1.059,7.0,0.0368,0.253,,,12.801,27.483,12.905,2.59,2.675,,,,millions,NZD
FY2022,26.818,7.271,19.547,72.9,,,4.74,2.876,10.7,0.0998,3.439,,,14.462,31.012,14.509,0.0,4.547,28.807,,0.0,millions,NZD
H1-2023,15.804,5.599,10.205,64.6,,,2.615,1.585,10.0,0.055,-2.184,0.254,-2.438,15.959,28.019,9.91,0.0,0.753,28.806,,,millions,NZD
FY2023,27.139,7.155,19.984,73.6,4.071,15.0,5.249,3.338,12.3,0.1159,2.689,0.12,2.569,17.07,34.895,16.172,3.66,3.783,28.807,,0.0,millions,NZD
FY2024,27.628,7.703,19.925,72.1,3.086,11.2,9.045,5.206,18.8,0.1807,2.099,,,21.905,39.155,14.562,2.709,9.524,28.807,0.025,0.0,millions,NZD
FY2025,30.634,8.308,22.326,72.9,3.966,12.9,5.988,2.871,9.4,0.0997,6.799,0.035,6.764,24.637,53.181,27.565,12.565,9.66,28.807,0.028,0.0,millions,NZD
H1-2026,17.599,,,,,,,3.817,21.7,0.1325,-0.924,,,29.204,43.494,14.29,12.223,10.795,28.806,0.035,0.0,millions,NZD
