Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2007,,,,,,,,,,,,,,161.154,,,,89.119,,,,,,,,millions,USD
FY2008,303.976,78.85,225.126,74.0604521409585,15.514,5.1036923967681656,25.478,79.987,26.313590546622102,1.18,39.746,14.334,25.412000000000003,218.54,,,,87.1,68.064,17.057,,,,,,millions,USD
H1-2009,146.448,35.763,110.685,75.57972795804653,11.537,7.877881568884519,16.516000000000002,7.181,4.903446957281766,0.11,29.113,3.044,26.069,,,,,,66.941,8.024,,,,,,millions,USD
Q2 2009,76.316,18.338,57.978,75.9709628387232,6.253,8.19356360396247,,4.545,5.955500812411552,0.07,,,,,,,,122.182,67.373,,,,,,,millions,USD
Q3 2009,79.269,20.268,59.001,74.43136661242099,-60.194,-75.93636856778816,,-49.942,-63.003191663828225,-0.72,10.793,1.0399999999999996,9.753,,,,,135.961,69.528,,,,,,,millions,USD
FY2009,312.333,78.841,233.492,74.75739034940271,-34.012,-10.88965943400153,-23.808,-31.269,-10.011430108249847,-0.45,74.165,7.192,66.97300000000001,377.747,355.24,82.204,,166.487,69.094,15.088,,,,,,millions,USD
Q1 2010,90.09,20.38,69.71,77.37817737817737,20.697,22.973692973692973,23.641,14.93,16.572316572316574,0.19,18.645,4.53,14.114999999999998,,,,,190.407,77.597,3.473,,,,,,millions,USD
H1-2010,198.286,41.558,156.728,79.0413846665927,66.041,33.305931835833086,71.996,47.533,23.97193952170098,0.61,61.241,8.849,52.391999999999996,,,,,,77.644,7.724,,,,,,millions,USD
Q2 2010,108.196,21.178,87.018,80.42626344781692,45.344,41.909127879034344,,32.603,30.13327664608673,0.42,42.596000000000004,4.319,38.277,333.953,408.692,74.739,,235.801,77.607,4.251,,,,,,millions,USD
Q3 2010,95.947,21.014,74.933,78.09832511699167,21.923,22.849072925677717,,16.815,17.525300426277006,0.22,35.763000000000005,3.083,32.68000000000001,359.402,445.235,85.833,,264.924,78.109,4.414,,,,,,millions,USD
FY2010,387.126,83.709,303.417,78.3768075510299,102.734,26.537613076879364,114.11999999999999,74.253,19.180576866446582,0.95,129.529,18.031,111.49799999999999,377.747,476.943,99.196,,294.664,78.08,16.072,,,,,,millions,USD
Q1 2011,104.856,22.63,82.226,78.41802090486,21.023,20.049401083390556,24.002,15.841,15.107385366598,0.2,15.18,2.825,12.355,404.173,499.05,94.877,,308.608,79.361,4.279,,,,,,millions,USD
H1-2011,224.942,51.579,173.363,77.0700891785438,37.618,16.723422037680823,43.727000000000004,27.003,12.004427808057187,0.34,41.57,8.522,33.048,,,,,,79.903,9.252,,,,,,millions,USD
Q2 2011,120.086,28.949,91.137,75.89310993787785,16.595,13.819262861615842,,11.162,9.295005246240196,0.14,26.39,5.697,20.693,435.156,552.423,117.267,,168.607,80.321,4.973,,,,,,millions,USD
Q3 2011,125.894,33.524,92.37,73.37124882837944,26.312,20.900122325130667,,19.264,15.301761799609192,0.24,40.921,12.507,28.414,462.864,591.908,129.044,,202.229,80.266,4.954,,,,,,millions,USD
FY2011,479.741,118.458,361.283,75.30792656871104,90.36,18.835163140111018,102.472,66.716,13.906670474276744,0.83,130.469,30.404,100.065,490.781,649.264,158.483,,306.386,80.294,19.165,,,,,,millions,USD
Q1 2012,135.079,34.319,100.76,74.59338609258286,28.006,20.73305251001266,30.759,20.984,15.534613078272717,0.26,7.381,12.559,-5.177999999999999,531.065,678.479,147.414,,224.361,81.856,4.863,,,,,,millions,USD
H1-2012,280.705,71.145,209.56,74.65488680287135,64.018,22.806148803904456,69.923,49.476,17.625621203754832,0.6,42.755,25.778,16.977000000000004,,,,,,82.446,10.142,,,,,,millions,USD
