Date,Close
2016-10-01,85.92
2016-11-01,93.05
2016-12-01,96.13
2017-01-01,91.69
2017-02-01,102.76
2017-03-01,114.71
2017-04-01,134.62
2017-05-01,145.2
2017-06-01,150.12
2017-07-01,167.23
2017-08-01,176.74
2017-09-01,186.27
2017-10-01,238.98
2017-11-01,260.88
2017-12-01,222.19
2018-01-01,262
2018-02-01,262.52
2018-03-01,251.13
2018-04-01,249.85
2018-05-01,331.95
2018-06-01,342.14
2018-07-01,356.65
2018-08-01,386.49
2018-09-01,391.22
2018-10-01,221.2
2018-11-01,229.89
2018-12-01,209.43
2019-01-01,248.95
2019-02-01,258.97
2019-03-01,284.33
2019-04-01,324.68
2019-05-01,284.35
2019-06-01,273.7
2019-07-01,209.08
2019-08-01,183.11
2019-09-01,180.92
2019-10-01,252.29
2019-11-01,277.34
2019-12-01,279.04
2020-01-01,257.1
2020-02-01,218.35
2020-03-01,173.95
2020-04-01,214.85
2020-05-01,245.62
2020-06-01,274.44
2020-07-01,293.82
2020-08-01,296.98
2020-09-01,327.36
2020-10-01,426.08
2020-11-01,481.29
2020-12-01,534.38
2021-01-01,525.38
2021-02-01,567.11
2021-03-01,541.53
2021-04-01,595.53
2021-05-01,590.15
2021-06-01,611
2021-07-01,695.8
2021-08-01,709
2021-09-01,665.43
2021-10-01,624.37
2021-11-01,611.53
2021-12-01,657.18
2022-01-01,494.96
2022-02-01,511.46
2022-03-01,436
2022-04-01,289.91
2022-05-01,277.64
2022-06-01,236.67
2022-07-01,280.97
2022-08-01,243.7
2022-09-01,207.11
2022-10-01,194.3
2022-11-01,196.66
2022-12-01,210.9
2023-01-01,269.73
2023-02-01,309.5
2023-03-01,334.14
2023-04-01,325.3
2023-05-01,282.66
2023-06-01,353.64
2023-07-01,377.89
2023-08-01,370.14
2023-09-01,305.32
2023-10-01,184.59
2023-11-01,213.8
2023-12-01,274
2024-01-01,267.32
2024-02-01,302.42
2024-03-01,327.92
2024-04-01,282.38
2024-05-01,257.21
2024-06-01,241.43
2024-07-01,231.88
2024-08-01,237.22
2024-09-01,254.32
2024-10-01,205.03
2024-11-01,232.77
2024-12-01,208.51
2025-01-01,219.11
2025-02-01,187.03
2025-03-01,158.86
2025-04-01,173.3
2025-05-01,180.94
2025-06-01,189.33
2025-07-01,129.01
2025-08-01,141.96
2025-09-01,125.22
2025-10-01,137.88
2025-11-01,147.19
2025-12-01,156.15
2026-01-01,163.03
2026-02-01,190.1
2026-03-01,171.43
2026-04-01,176.01
2026-05-01,174.95
2026-06-01,168.66
2026-07-01,169.16
2026-08-01,159.79
2026-09-01,148.17
2026-09-24,145.625
