Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2016,2128.7,-872.7,1256.0,59.0,597.1,28.0,806.0,350.5,16.5,0.549,680.5,192.6,487.9,1075.5,2987.7,1912.2,1287.8,283.2,637.869489,19.3,0.25,,,,,millions,AUD
FY2017,2453.8,-967.6,1486.2,60.6,781.2,31.8,1001.2,495.1,20.2,0.775,799.1,214.3,584.8,1345.6,3292.9,1947.3,1199.4,547.1,639.14622,16.1,,,,,,millions,AUD
FY2018,3624.1,-1577.5,1972.3,54.4,973.0,26.8,1328.6,542.6,15.0,0.849,933.8,270.1,663.7,1732.5,5846.8,4114.3,2881.1,428.1,639.302638,24.2,0.46,,,,,millions,AUD
FY2019,4397.4,-1970.8,2426.6,55.2,1162.5,26.4,1596.8,698.8,15.9,1.095,1085.5,316.6,768.9,2143.6,6337.0,4193.4,2792.7,568.6,637.904474,26.0,0.56,,,,,millions,AUD
FY2020,4139.1,-2182.7,1956.4,47.3,616.4,14.9,1089.4,1377.7,33.3,2.16,1022.9,247.8,775.1,3180.0,7876.9,4696.9,3519.2,1675.7,637.940935,34.4,,,,,,millions,AUD
FY2021,4736.6,-2276.2,2460.4,51.9,1148.7,24.3,1542.9,820.0,17.3,1.285,1328.4,227.7,1100.7,3878.9,8672.0,4793.1,3525.0,2431.6,637.909115,66.2,0.41,,,,,millions,AUD
FY2022,5573.7,-2493.9,3079.8,55.3,1465.4,26.3,1850.9,948.5,17.0,1.423,1246.0,268.8,977.2,6022.7,10120.4,4097.7,2785.1,3021.3,666.406415,56.9,,,,,,millions,AUD
FY2023,6295.7,-2746.5,3549.2,56.4,1701.4,27.0,2105.4,1454.1,23.1,2.214,1799.1,452.7,1346.4,6726.1,10922.3,4196.2,2681.9,3151.0,656.812078,76.4,,,,,,millions,AUD
FY2024,6603.6,-2733.8,3869.8,58.6,1988.0,30.1,2469.1,1303.4,19.7,2.036,1765.2,494.1,1271.1,6279.9,10303.4,4023.5,2407.7,943.8,640.064316,73.8,0.78,,,,,millions,AUD
FY2025,6297.0,-2459.4,3837.6,60.9,2067.5,32.8,2628.9,1640.3,26.0,2.615,1933.7,458.3,1475.4,6557.2,10392.5,3835.3,2030.2,1281.8,627.366551,67.5,0.93,,,,,millions,AUD
