Date,Close
2016-10-01,63.84
2016-11-01,66.91
2016-12-01,64
2017-01-01,65.67
2017-02-01,72.59
2017-03-01,75.7
2017-04-01,78.64
2017-05-01,78.63
2017-06-01,81.12
2017-07-01,81.24
2017-08-01,78.71
2017-09-01,86.47
2017-10-01,83.39
2017-11-01,84.14
2017-12-01,79.56
2018-01-01,86.11
2018-02-01,84.11
2018-03-01,85.29
2018-04-01,77.18
2018-05-01,76.43
2018-06-01,77.36
2018-07-01,81.54
2018-08-01,87.22
2018-09-01,90.57
2018-10-01,85.73
2018-11-01,91.59
2018-12-01,79.71
2019-01-01,85.86
2019-02-01,89.96
2019-03-01,90.71
2019-04-01,99.23
2019-05-01,97.05
2019-06-01,110.55
2019-07-01,103.54
2019-08-01,96.27
2019-09-01,103.65
2019-10-01,116.04
2019-11-01,120.03
2019-12-01,124.54
2020-01-01,129.32
2020-02-01,114.99
2020-03-01,92.02
2020-04-01,100.54
2020-05-01,99.7
2020-06-01,102.22
2020-07-01,99.46
2020-08-01,103.39
2020-09-01,98.91
2020-10-01,98.5
2020-11-01,114.04
2020-12-01,116.38
2021-01-01,107.01
2021-02-01,108.78
2021-03-01,125.62
2021-04-01,134.38
2021-05-01,140.48
2021-06-01,139.3
2021-07-01,136.6
2021-08-01,143.99
2021-09-01,132.18
2021-10-01,128.3
2021-11-01,123.64
2021-12-01,132.44
2022-01-01,122.73
2022-02-01,114.52
2022-03-01,109.78
2022-04-01,114.24
2022-05-01,111.65
2022-06-01,97.9
2022-07-01,105.7
2022-08-01,95.1
2022-09-01,89.68
2022-10-01,104.77
2022-11-01,113.65
2022-12-01,105.26
2023-01-01,117.55
2023-02-01,112.71
2023-03-01,106.73
2023-04-01,110.48
2023-05-01,104.74
2023-06-01,120.02
2023-07-01,116.86
2023-08-01,113.81
2023-09-01,104.2
2023-10-01,98.36
2023-11-01,106.09
2023-12-01,126.69
2024-01-01,123.89
2024-02-01,127.87
2024-03-01,134.71
2024-04-01,121.56
2024-05-01,121.82
2024-06-01,118.15
2024-07-01,136.81
2024-08-01,138.84
2024-09-01,145.74
2024-10-01,139.63
2024-11-01,140.84
2024-12-01,130.68
2025-01-01,132.73
2025-02-01,128.71
2025-03-01,130.46
2025-04-01,139.2
2025-05-01,142.7
2025-06-01,144.12
2025-07-01,165.92
2025-08-01,169.8
2025-09-01,177.35
2025-10-01,165.77
2025-11-01,166.03
2025-12-01,159.22
2026-01-01,165.39
2026-02-01,161.15
2026-03-01,145.29
2026-04-01,137.48
2026-05-01,130.07
2026-06-01,140.49
2026-07-01,157.4
2026-08-01,155.25
2026-09-01,154.09
2026-09-24,152.48
