Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2017,473.001,,,,502.834,,,519.583,109.85,0.8766,18.12,0.277,17.843,2162.075,4010.127,1848.052,1734.638,122.69,592.724448,,,,,,,millions,AUD
FY2018,145.987,,,,60.75,,,59.852,40.99,0.0884,23.14,1.102,22.038,2328.506,4628.532,2300.026,2179.284,186.468,676.647087,,,,,,,millions,AUD
FY2019,175.192,,,,-19.026,,,-9.821,-5.61,-0.014,76.381,0.328,76.053,3343.595,5675.493,2331.898,2174.509,1450.221,698.690695,,,,,,,millions,AUD
FY2020,106.65,,,,-63.494,,,-55.805,-52.33,-0.061,39.329,1.438,37.891,3584.451,5219.036,1634.585,1524.172,260.341,923.941041,,,,,,,millions,AUD
FY2021,100.655,,,,127.93,,,163.697,162.63,0.171,47.506,1.466,46.04,3497.994,5219.183,1721.189,1624.361,229.389,960.190525,2.477,,,,,,millions,AUD
FY2022,140.369,,,,244.202,,,241.011,171.7,0.222,73.786,0.357,73.429,6490.472,8318.533,1828.061,1709.559,275.899,1085.753239,3.103,,,,,,millions,AUD
FY2023,134.0,,,,260.0,,,256.3,191.27,0.177,84.7,0.8,83.9,6235.6,8044.7,1809.1,1695.0,305.3,1452.610285,3.7,,,,,,millions,AUD
H1 FY2024,69.6,,,,115.4,,,114.2,164.08,0.078,43.7,0.5,43.2,6113.5,7894.6,1781.1,1665.0,229.5,1452.820986,,,,,,,millions,AUD
FY2024,145.9,,,,303.3,,,300.2,205.76,0.207,93.2,1.1,92.1,6340.7,8309.1,1968.4,1820.8,351.5,1450.833707,3.4,,,,,,millions,AUD
H1 FY2025,77.5,,,,74.0,,,73.3,94.58,0.051,44.7,0.6,44.1,6115.9,7957.4,1841.5,1697.2,290.4,1453.288521,,,,,,,millions,AUD
FY2025,160.0,,,,189.8,,,181.8,113.63,0.125,88.2,0.6,87.6,5802.3,7655.8,1853.5,1694.6,274.4,1450.833707,3.4,,,,,,millions,AUD
