Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,AdjustedEBIT,AdjustedEBITDA,AdjustedFreeCashFlow,AdjustedNetIncome,SegmentRevenueFlexibles,SegmentRevenueRigidPackaging
H1 FY2016,4547.7,-3633.2,914.5,20.1,489.0,10.8,,305.5,6.7,1.29,263.2,162.2,101.0,1219.2,8177.1,6957.9,4012.6,488.9,,,,,,,,millions,USD,,,,,,
FY2016,9421.3,-7426.5,1994.8,21.2,575.7,6.1,,244.1,2.6,1.035,1099.4,348.9,750.5000000000001,845.5,8682.1,7836.6,4345.1,515.7,235.8,24.2,,,,,,millions,USD,,,,,,
H1 FY2017,4467.3,-3537.6,929.7,20.8,468.3,10.5,,286.6,6.4,1.225,214.9,203.8,11.099999999999994,842.1,8621.5,7779.4,4671.8,386.6,,,,,,,,millions,USD,,,,,,
FY2017,9101.0,-7189.2,1911.8,21.0,952.7,10.5,,597.0,6.6,2.555,1027.4,379.2,648.2,891.5,9083.3,8191.8,4611.0,561.5,233.8,26.5,,,,,,millions,USD,,,,,,
H1 FY2018,4502.2,-3607.3,894.9,19.9,513.8,11.4,,329.7,7.3,1.415,178.1,187.1,-9.0,957.9,9060.0,8102.1,4773.2,419.9,,,,,,,,millions,USD,,,,,,
FY2018,9319.1,-7462.3,1856.8,19.9,1085.5,11.6,,724.0,7.8,3.11,937.1,372.1,565.0,1090.5,9046.7,7956.2,4493.0,620.8,233.0,18.4,,,,,,millions,USD,,,,,,
H1 FY2019,4551.8,-3702.6,849.2,18.7,440.8,9.7,,267.6,5.9,1.15,229.0,173.4,55.599999999999994,1057.5,8868.0,7810.5,4513.6,490.6,,,,,,,,millions,USD,,,,,,
FY2019,9458.0,-7659.0,1799.0,19.0,792.0,8.4,1245.0,430.0,4.5,1.815,776.1,332.2,443.90000000000003,5674.7,17165.0,11490.3,6103.2,601.6,236.8,18.6,,,,,,millions,USD,,,,,,
FY2020,12468.0,-9932.0,2536.0,20.3,994.0,8.0,1646.0,612.0,4.9,1.91,1384.2,399.5,984.7,4687.1,16442.1,11755.0,6234.7,743.0,320.4,34.0,,,,,,millions,USD,,,,,,
FY2021,12861.0,-10129.0,2732.0,21.2,1321.0,10.3,1895.0,939.0,7.3,3.01,1461.0,468.0,993.0,4821.0,17188.0,12367.0,6289.0,850.0,311.2,58.0,,,,,,millions,USD,,,,,,
FY2022,14544.0,-11724.0,2820.0,19.4,1239.0,8.5,1864.0,805.0,5.5,2.645,1526.0,527.0,999.0,4141.0,17426.0,13285.0,6490.0,775.0,303.2,63.0,,,,,,millions,USD,,,,,,
FY2023,14694.0,-11969.0,2725.0,18.5,1508.0,10.3,2080.0,1048.0,7.1,3.525,1261.0,526.0,735.0,4090.0,17003.0,12913.0,6746.0,689.0,295.2,54.0,,,,,,millions,USD,1608.0,2018.0,848.0,1089.0,11154.0,3540.0
FY2024,13640.0,-10928.0,2712.0,19.9,1214.0,8.9,1783.0,730.0,5.4,2.525,1321.0,492.0,829.0,3953.0,16524.0,12571.0,6699.0,588.0,288.2,32.0,,,,,,millions,USD,1560.0,1962.0,952.0,1015.0,10332.0,3308.0
FY2025,15009.0,-12175.0,2834.0,18.9,1009.0,6.7,1719.0,511.0,3.4,1.6,1390.0,580.0,810.0,11740.0,37066.0,25326.0,14098.0,827.0,318.6,74.0,,,,,,millions,USD,1723.0,2186.0,926.0,1136.0,10872.0,4137.0
