Date,Close
2016-09-30,73.5
2016-10-31,71.9
2016-11-30,74.75
2016-12-31,71.5
2017-01-31,70.25
2017-02-28,75.3
2017-03-31,78.55
2017-04-30,76.7
2017-05-31,81.05
2017-06-30,76.7
2017-07-31,80.55
2017-08-31,76.05
2017-09-30,79.2
2017-10-31,77.1
2017-11-30,77.1
2017-12-31,72.8
2018-01-31,69.5
2018-02-28,70.85
2018-03-31,68.65
2018-04-30,70.3
2018-05-31,72.05
2018-06-30,75.35
2018-07-31,71.5
2018-08-31,68.4
2018-09-30,66.5
2018-10-31,67.15
2018-11-30,66.25
2018-12-31,68.25
2019-01-31,75.25
2019-02-28,76.95
2019-03-31,80.15
2019-04-30,82.4
2019-05-31,80.95
2019-06-30,77.65
2019-07-31,72.3
2019-08-31,71.25
2019-09-30,69.65
2019-10-31,76.25
2019-11-30,77.85
2019-12-31,79.45
2020-01-31,72.1
2020-02-29,65.2
2020-03-31,70.35
2020-04-30,74.4
2020-05-31,72.4
2020-06-30,72.05
2020-07-31,75.75
2020-08-31,76.65
2020-09-30,74.05
2020-10-31,76.1
2020-11-30,76.7
2020-12-31,71.9
2021-01-31,71.2
2021-02-28,76.95
2021-03-31,75.75
2021-04-30,76.85
2021-05-31,75.65
2021-06-30,78.75
2021-07-31,87.45
2021-08-31,82.4
2021-09-30,79.95
2021-10-31,81.1
2021-11-30,82.6
2021-12-31,84.1
2022-01-31,79.3
2022-02-28,76.55
2022-03-31,84.5
2022-04-30,91.65
2022-05-31,90.2
2022-06-30,92.45
2022-07-31,89.1
2022-08-31,83.2
2022-09-30,90.45
2022-10-31,89.85
2022-11-30,88.5
2022-12-31,83.95
2023-01-31,82.65
2023-02-28,83.45
2023-03-31,82
2023-04-30,74.75
2023-05-31,74.3
2023-06-30,76.55
2023-07-31,75.5
2023-08-31,71.25
2023-09-30,69.2
2023-10-31,71.45
2023-11-30,71.05
2023-12-31,73
2024-01-31,68.35
2024-02-29,72.2
2024-03-31,69.1
2024-04-30,74.2
2024-05-31,74.45
2024-06-30,80.95
2024-07-31,83.45
2024-08-31,81.7
2024-09-30,83.65
2024-10-31,82.55
2024-11-30,74.85
2024-12-31,78.45
2025-01-31,80.3
2025-02-28,76.7
2025-03-31,73
2025-04-30,71.55
2025-05-31,71
2025-06-30,73.75
2025-07-31,65.7
2025-08-31,61.45
2025-09-30,60.45
2025-10-31,65.45
2025-11-30,62.75
2025-12-31,62.49
2026-01-31,67.84
2026-02-28,56.29
2026-03-31,53.33
2026-04-30,54.94
2026-05-31,62.56
2026-06-30,64.5
2026-07-31,64.78
2026-08-31,59.42
2026-09-21,59.11
