Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2016,,,,,,,,,,,,,,528.5,,,,515.7,,,,,,,,millions,USD
Q3 2017,2251.1,,421.3,18.715294744791436,,,,130.5,5.797165830038648,0.11,,,,,,,,,,,,,,,,millions,USD
Q4 2017,2251.1,,473.6,21.038603349473593,,,,145.6,6.467949002709786,0.13,,,,,,,,,,,,,,,,millions,USD
FY2017,9101.0,7189.2,1911.8,21.00648280408746,916.1,10.065926821228437,1290.3,564.0,6.197121195473025,0.48,908.9,379.3,529.5999999999999,587.6,,,,561.5,1164.2,26.5,0.42,,,,,millions,USD
Q1 2018,2364.1,,434.5,18.37908717905334,,,,69.1,2.9228882026987013,0.06,,,,,,,,,,,,,,,,millions,USD
Q2 2018,2452.8,,527.4,21.501956947162423,,,,230.0,9.377038486627526,0.19,,,,,,,,,,,,,,,,millions,USD
Q3 2018,2262.4,1868.6,393.8,17.406294200848656,177.5,7.84565063649222,263.5,98.4,4.3493635077793495,0.085,-305.8,,,516.1,,,,354.2,1158.7,4.5,0.24,,,,,millions,USD
H2-2018,4545.6,3701.0,844.6,18.58060542062654,399.0,8.777719112988382,586.0,237.0,5.213833157338964,0.204,234.7,,,,,,,,1157.6,8.3,0.24,,,,,millions,USD
Q4 2018,2285.4,1832.4,453.0,19.821475452874772,221.5,9.691957644176073,,138.6,6.064583880283538,0.12,,,,626.8,,,,490.7,1156.6,,,,,,,millions,USD
FY2018,9319.1,7462.3,1856.8,19.924670837312615,993.9,10.665192990739449,1351.0,575.2,6.17226985438508,0.494,871.4,365.0,506.4,695.0,9057.5,8362.1,4658.6,620.8,1161.7,21.0,0.445,,,,,millions,USD
Q1 2019,2309.9,1890.1,419.8,18.17394692410927,181.3,7.848824624442617,,112.6,4.874669899129832,0.097,,,,503.3,0.00013,3.4e-05,,0.00013,1157.7,,0.215,,,,,millions,USD
Q2 2019,2600.5,,532.5,20.476831378581043,,,,80.6,3.099403960776774,0.061,,,,,,,,,,,,,,,,millions,USD
Q3 2019,3140.7,2594.0,546.7,17.406947495781196,141.0,4.489445028178432,325.0,66.0,2.101442353615436,0.041,-89.0,,,5492.0,16730.7,11239.3,5459.8,480.2,1626.1,6.0,0.12,,,,,millions,USD
H2-2019,6184.0,5020.0,1164.0,18.822768434670117,413.0,6.678525226390686,745.0,252.0,4.07503234152652,0.155,342.0,,,,,,,,1619.8,13.0,0.235,,,,,millions,USD
