Date,Close
2016-10-01,58.55
2016-11-01,58.55
2016-12-01,53.15
2017-01-01,53.15
2017-02-01,53.15
2017-03-01,57.75
2017-04-01,58
2017-05-01,55
2017-06-01,62.15
2017-07-01,61.5
2017-08-01,63.85
2017-09-01,60.25
2017-10-01,60.25
2017-11-01,56.5
2017-12-01,59
2018-01-01,58.75
2018-02-01,55.55
2018-03-01,53.75
2018-04-01,54.25
2018-05-01,52.1
2018-06-01,52.5
2018-07-01,55.5
2018-08-01,51.65
2018-09-01,49.75
2018-10-01,45
2018-11-01,49.3
2018-12-01,46.5
2019-01-01,48.45
2019-02-01,53.5
2019-03-01,53.75
2019-04-01,55
2019-05-01,55.75
2019-06-01,57.45
2019-07-01,53
2019-08-01,49.1
2019-09-01,48.75
2019-10-01,47.6
2019-11-01,51.3
2019-12-01,54.2
2020-01-01,52.95
2020-02-01,46.6
2020-03-01,40.6
2020-04-01,44.85
2020-05-01,51.05
2020-06-01,51.05
2020-07-01,51.5
2020-08-01,55.3
2020-09-01,55.25
2020-10-01,52.15
2020-11-01,56.65
2020-12-01,58.85
2021-01-01,54.7
2021-02-01,54.7
2021-03-01,58.4
2021-04-01,58.75
2021-05-01,59
2021-06-01,57.3
2021-07-01,57.8
2021-08-01,64.25
2021-09-01,57.95
2021-10-01,60.35
2021-11-01,56.6
2021-12-01,60.05
2022-01-01,60.05
2022-02-01,58.15
2022-03-01,56.65
2022-04-01,59.3
2022-05-01,65.5
2022-06-01,62.15
2022-07-01,64.75
2022-08-01,60.05
2022-09-01,53.65
2022-10-01,57.9
2022-11-01,61.75
2022-12-01,59.55
2023-01-01,60.3
2023-02-01,55.7
2023-03-01,56.9
2023-04-01,54.85
2023-05-01,48.2
2023-06-01,49.9
2023-07-01,51.3
2023-08-01,48.7
2023-09-01,45.8
2023-10-01,44.45
2023-11-01,47.4
2023-12-01,48.2
2024-01-01,47.15
2024-02-01,45.3
2024-03-01,47.55
2024-04-01,44.7
2024-05-01,50.85
2024-06-01,48.9
2024-07-01,52.65
2024-08-01,57.2
2024-09-01,56.65
2024-10-01,55.65
2024-11-01,53.2
2024-12-01,47.05
2025-01-01,48.6
2025-02-01,50.6
2025-03-01,48.5
2025-04-01,46
2025-05-01,45.55
2025-06-01,45.95
2025-07-01,46.75
2025-08-01,43.15
2025-09-01,40.9
2025-10-01,39.5
2025-11-01,42.6
2025-12-01,41.7
2026-01-01,44.25
2026-02-01,48.43
2026-03-01,39.75
2026-04-01,38.04
2026-05-01,38.82
2026-06-01,43.35
2026-07-01,44.88
2026-08-01,45.89
2026-09-01,42.8
2026-09-24,42.1
