Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
FY2010,28.015,-27.091,0.924,3.3,-14.923,-53.3,-13.18,-14.847,-53.0,-0.025,-17.406,-1.378,-18.784,18.268,31.513,13.245,0.716,2.9,673.663985,0.162,0.0,millions,NZD
H1-2011,18.087,-17.565,0.522,2.9,-7.018,-38.8,-6.037,-6.986,-38.6,-0.1145,-5.198,-0.773,-5.971,18.885,30.473,11.588,,5.123,,0.108,0.0,millions,NZD
FY2011,34.985,-33.266,1.719,4.9,-14.46,-41.3,-12.912,-14.472,-41.4,-0.2168,-6.518,-1.452,-7.97,12.48,26.529,14.049,1.266,3.628,67.36645,0.187,0.0,millions,NZD
H1-2012,22.276,-19.532,2.744,12.3,-3.271,-14.7,-1.894,-3.292,-14.8,-0.0489,-1.484,-0.294,-1.778,8.828,22.353,13.525,,2.438,,0.076,0.0,millions,NZD
FY2012,35.562,-30.59,4.972,14.0,-6.28,-17.7,-5.355,-6.333,-17.8,-0.0897,-3.453,-0.512,-3.965,7.486,16.687,9.201,1.237,1.869,80.76645,0.118,0.0,millions,NZD
H1-2013,16.363,-13.585,2.778,17.0,-1.739,-10.6,-1.471,-1.756,-10.7,-0.0187,0.523,-0.236,0.28700000000000003,10.73,20.375,9.645,0.002,5.367,115.458703,0.064,0.0,millions,NZD
FY2013,27.437,-22.306,5.131,18.7,-3.748,-13.7,-3.23,-3.768,-13.7,-0.0349,-2.436,-1.096,-3.532,9.36,16.873,7.513,0.0,2.984,126.058703,0.115,0.0,millions,NZD
H1-2014,10.57,-8.615,1.955,18.5,-2.161,-20.4,-1.955,-1.992,-18.8,-0.0158,-1.818,-1.017,-2.835,6.863,18.675,11.812000000000001,,4.853,126.373117,0.02,0.0,millions,NZD
FY2014,17.805,-14.609,3.196,18.0,-4.509,-25.3,-4.062,-4.474,-25.1,-0.0318,-4.426,-2.282,-6.708,4.978,15.091,10.113,4.507,1.196,126.373117,0.049,0.0,millions,NZD
H1-2015,13.537,-10.736,2.801,20.7,-0.211,-1.6,0.012,-0.671,-5.0,-0.0038,0.512,-1.063,-0.5509999999999999,7.854,22.164,14.310000000000002,4.832,3.379,231.684047,0.042,0.0,millions,NZD
FY2015,24.572,-19.311,5.261,21.4,-1.802,-7.3,-1.403,-2.78,-11.3,-0.0129,0.834,-2.206,-1.3719999999999999,5.598,18.831,13.233,5.188,2.88,231.684047,0.077,0.0,millions,NZD
H1-2016,18.665,-14.486,4.179,22.4,-0.703,-3.8,0.045,-1.243,-6.7,-0.0048,0.607,-1.112,-0.5050000000000001,4.148,20.733,16.585,5.635,2.518,231.684047,0.038,0.0,millions,NZD
