Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
H1-2015,8.466,,,,3.315,39.2,,5.076,60.0,,3.859,3.157,0.702,119.303,171.863,52.56,44,3.175,161920.433,0,,millions,NZD
FY2015,16.521,,,,6.959,42.1,,6.385,38.6,3.94,5.075,2.637,2.438,117.425,165.473,48.048,44,2.549,161920.433,0,3.2,millions,NZD
H1-2016,8.426,,,,3.39,40.2,,2.531,30.0,,3.47,7.586,-4.116,119.45,182.164,62.714,55.5,3.328,161920.433,0,,millions,NZD
H1-2017,8.647,,,,3.562,41.2,,2.411,27.9,1.49,2.428,2.837,-0.409,116.568,183.242,66.674,61,1.061,161920.433,0,,millions,NZD
FY2017,17.152,,,,6.568,38.3,,3.073,17.9,1.9,4.144,9.34,-5.196,117.073,182.349,65.276,58.5,2.03,161920.433,0,3.575,millions,NZD
H1-2018,7.189,,,,3.15,43.8,,3.202,44.5,1.98,1.879,0.273,1.606,114.625,127.192,12.567,44.5,0.851,161920.433,0,,millions,NZD
FY2018,16.694,,,,5.932,35.5,,3.095,18.5,1.91,6.465,4.738,1.727,114.339,169.601,55.262,44.5,0.472,161920.433,0,3.6,millions,NZD
H1-2019,6.84,,,,3.559,52.0,,2.007,29.3,1.24,3.055,0.516,2.539,111.406,184.654,73.248,69.7,0.448,161920.433,0,,millions,NZD
FY2019,13.35,,,,6.306,47.2,,3.803,28.5,2.35,3.777,0.355,3.422,112.314,126.066,13.752,10.5,0.781,161920.433,0,3.6,millions,NZD
H1-2020,6.635,,,,3.326,50.1,,11.535,173.9,6.8,2.028,3.337,-1.309,130.364,161.042,30.678,26.6,0.732,257489,0,,millions,NZD
FY2020,14.466,,,,7.651,52.9,,-14.688,-101.5,-9.07,5.934,2.641,3.293,91.795,145.077,53.282,49.25,0.098,161920.433,0,3.6,millions,NZD
H1-2021,6.486,,,,3.024,46.6,,2.516,38.8,0.69,-0.133,16.175,-16.308,161.597,195.293,33.696,28.3,2.421,362717.801,0,,millions,NZD
FY2021,13.9,,,,7.073,50.9,,15.949,114.7,6.0,4.959,15.014,-10.055,162.361,178.973,16.612,9.4,3.109,362717.801,0,1.35,millions,NZD
H1-2022,4.322,,,,-0.065,-1.5,,0.294,6.8,0.08,0.366,40.566,-40.2,159.848,221.761,61.913,48.581,5.646,362717.801,0,,millions,NZD
FY2022,11.932,,,,4.469,37.5,,2.931,24.6,0.81,2.278,40.359,-38.081,159.554,224.693,65.139,55.7,4.387,362717.801,0,1.575,millions,NZD
H1-2023,2.608,,,,-0.131,-5.0,,-4.719,-180.9,-1.3,-0.243,5.808,-6.051,141.786,192.353,50.567,34.974,4.732,362717.801,0,,millions,NZD
FY2023,6.377,,,,-0.473,-7.4,,-13.049,-204.6,-3.6,2.749,58.224,-55.475,146.505,229.482,82.977,71.369,4.867,362717.801,0,0.0,millions,NZD
H1-2024,3.235,,,,0.056,1.7,,2.324,71.8,0.64,-1.181,0.075,-1.256,143.532,190.798,47.265,32.974,2.48,362717.801,0,,millions,NZD
FY2024,5.329,,,,-0.395,-7.4,,-5.297,-99.4,-1.46,0.433,6.528,-6.095,141.208,190.304,49.096,32.974,3.736,362717.801,0,0.0,millions,NZD
H1-2025,3.197,,,,1.926,60.2,,1.606,50.2,0.44,1.044,0.205,0.839,117.53,118.339,0.809,0,10.32,362717.801,0,,millions,NZD
FY2025,6.815,,,,1.458,21.4,,-5.696,-83.6,-1.57,-0.137,0.136,-0.273,117.374,118.033,0.659,0,10.931,362717.801,0,5.0,millions,NZD
FY2026,6.556,,,,3.823,58.3,,-3.164,-48.3,-0.87,3.081,3.889,-0.808,111.31,112.958,1.648,0,6.926,362717.801,0,0.8,millions,NZD
