Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2019,,,,,,,,,,,,,,3038.0,,,,,,,,,,,,millions,USD
Q1 2020,,,,,,,,,,,,,,,,,,,,,0.89,,,,,millions,USD
Q2 2020,,,,,,,,,,,,,,,,,,,,,0.42,,,,,millions,USD
Q3 2020,,,,,,,,,,,,,,,,,,,,,0.49,,,,,millions,USD
Q4 2020,,,,,,,,,,,,,,,,,,,,,0.51,,,,,millions,USD
FY2020,2354.0,,,,,,,157.0,6.669498725573492,0.44,-1616.0,,,5513.0,,,,1556.0,227.5306,213.0,2.31,,,,,millions,USD
Q1 2021,2295.0,,,,,,,679.0,29.586056644880177,2.81,-229.0,,,7498.0,,,,1718.0,230.003502,56.0,0.6,,,,,millions,USD
H1-2021,3678.0,,,,,,,1337.0,36.35127786840675,5.51,1093.0,,,,,,,,230.534073,109.0,,,,,,millions,USD
Q2 2021,1383.0,,,,,,,658.0,47.57772957339118,2.7,1322.0,,,8212.0,,,,1825.0,231.058813,53.0,0.5,,,,,millions,USD
Q3 2021,1078.0,,,,,,,258.0,23.933209647495364,1.01,1044.0,,,8474.0,,,,2090.0,239.451921,56.2,0.5,,,,,millions,USD
Q4 2021,,,,,,,,,,,,,,,,,,,,,0.5,,,,,millions,USD
FY2021,5951.0,,,,,,,1839.0,30.90236934968913,7.32,1064.0,,,10194.0,30502.0,18538.0,3134.0,917.0,236.567691,1181.0,2.1,,,,,millions,USD
Q1 2022,862.0,,,,,,,-401.0,-46.51972157772622,-0.7,-3993.0,,,22089.0,261555.0,241277.0,6102.0,9769.0,586.495913,168.0,0.4,,,,,millions,USD
H1-2022,3148.0,,,,,,,-3665.0,-116.42312579415501,-3.52,-20.0,,,,,,,,585.630085,293.0,0.8,,,,,millions,USD
Q2 2022,2286.0,,,,,,,-1637.0,-71.60979877515311,-2.82,3973.0,,,13526.0,247850.0,239689.0,6092.0,12718.0,584.773771,126.0,0.4,,,,,millions,USD
Q3 2022,2979.0,,,,,,,-563.0,-18.898959382343065,-0.98,2344.0,,,10364.0,250340.0,247454.0,6081.0,10942.0,584.317603,119.0,0.4,,,,,millions,USD
Q4 2022,4841.0,,,,,,,640.0,13.220409006403635,,,,,,,,,,,,0.4,,,,,millions,USD
FY2022,10968.0,,,,,,,-1961.0,-17.879285193289572,-3.43,3789.0,,,14366.0,257217.0,241819.0,6472.0,8980.0,584.691775,540.0,1.6,,,,,millions,USD
Q1 2023,5301.0,,,,,,,1010.0,19.05300886625165,1.66,1071.0,,,16692.0,270324.0,252590.0,6464.0,15099.0,584.242571,140.0,0.4,,,,,millions,USD
H1-2023,19003.0,,,,,,,1609.0,8.467084144608746,2.67,4622.0,,,,,,,,581.53157,280.0,0.83,,,,,millions,USD
Q2 2023,13702.0,,,,,,,599.0,4.371624580353233,1.0,3551.0,,,17042.0,281984.0,264657.0,6454.0,12070.0,578.975612,139.0,0.43,,,,,millions,USD
Q3 2023,2595.0,,,,,,,682.0,26.281310211946053,1.1,-364.0,,,17675.0,283235.0,265273.0,7026.0,,578.797225,142.0,0.43,,,,,millions,USD
Q4 2023,,,,,,,,,,,,,,,,,,,,,0.43,,,,,millions,USD
FY2023,32644.0,,,,,,,5047.0,15.460727851978925,8.28,6322.0,,,25233.0,313488.0,288243.0,8092.0,,588.846447,1026.0,1.69,,,,,millions,USD
Q1 2024,7040.0,,,,,,,1427.0,20.269886363636363,2.28,70.0,,,27003.0,334051.0,307035.0,9596.0,,605.378709,189.0,0.43,,,,,millions,USD
H1-2024,13058.0,,,,,,,2280.0,17.460560575892174,3.64,1403.0,,,,,,,,605.128505,342.0,0.89,,,,,millions,USD
Q2 2024,6018.0,,,,,,,853.0,14.174144233964773,1.35,1333.0,,,28400.0,346504.0,318090.0,9815.0,,590.174236,153.0,0.46,,,,,millions,USD
Q3 2024,7773.0,,,,,,,811.0,10.433552039109738,1.29,1854.0,,,31526.0,368689.0,337148.0,9807.0,,588.541814,136.0,0.46,,,,,millions,USD
Q4 2024,,,,,,,,,,,,,,,,,,,,,0.46,,,,,millions,USD
