Date,Close
2016-10-01,18.28
2016-11-01,19.26
2016-12-01,19.36
2017-01-01,21.24
2017-02-01,22.74
2017-03-01,24.32
2017-04-01,26.77
2017-05-01,27.03
2017-06-01,26.45
2017-07-01,28.1
2017-08-01,29.53
2017-09-01,30.1
2017-10-01,31.58
2017-11-01,31.31
2017-12-01,33.47
2018-01-01,35.75
2018-02-01,32.8
2018-03-01,29.62
2018-04-01,28.84
2018-05-01,31.32
2018-06-01,31.87
2018-07-01,35.5
2018-08-01,34.53
2018-09-01,34.55
2018-10-01,29.42
2018-11-01,28.19
2018-12-01,24.54
2019-01-01,29.28
2019-02-01,29.3
2019-03-01,28.25
2019-04-01,32.69
2019-05-01,29.41
2019-06-01,34.3
2019-07-01,33
2019-08-01,37.73
2019-09-01,37.82
2019-10-01,41.16
2019-11-01,43.8
2019-12-01,47.71
2020-01-01,47.32
2020-02-01,41.66
2020-03-01,33.5
2020-04-01,40.49
2020-05-01,47.6
2020-06-01,49.92
2020-07-01,49.1
2020-08-01,46.87
2020-09-01,44.75
2020-10-01,36.86
2020-11-01,43.62
2020-12-01,48.98
2021-01-01,45.94
2021-02-01,49.46
2021-03-01,47.01
2021-04-01,55.37
2021-05-01,57.34
2021-06-01,62.2
2021-07-01,58.86
2021-08-01,59.78
2021-09-01,61.59
2021-10-01,76.95
2021-11-01,70.78
2021-12-01,72.43
2022-01-01,70
2022-02-01,65.26
2022-03-01,61.99
2022-04-01,49.76
2022-05-01,57.64
2022-06-01,48.48
2022-07-01,57.1
2022-08-01,55.58
2022-09-01,46.5
2022-10-01,55.36
2022-11-01,69.39
2022-12-01,63.79
2023-01-01,70.78
2023-02-01,70.9
2023-03-01,63.16
2023-04-01,63.39
2023-05-01,66.85
2023-06-01,76.81
2023-07-01,81.71
2023-08-01,87.34
2023-09-01,89.76
2023-10-01,77.44
2023-11-01,92
2023-12-01,93.19
2024-01-01,100.4
2024-02-01,111.8
2024-03-01,112.45
2024-04-01,108.38
2024-05-01,116.16
2024-06-01,118.07
2024-07-01,125.31
2024-08-01,115.73
2024-09-01,124.91
2024-10-01,143.26
2024-11-01,175.03
2024-12-01,165.16
2025-01-01,170.98
2025-02-01,149.27
2025-03-01,136.94
2025-04-01,136.48
2025-05-01,130.69
2025-06-01,141.87
2025-07-01,145.32
2025-08-01,136.23
2025-09-01,133.27
2025-10-01,124.31
2025-11-01,131.85
2025-12-01,144.76
2026-01-01,134.54
2026-02-01,104.6
2026-03-01,111.42
2026-04-01,128.72
2026-05-01,128.71
2026-06-01,118.31
2026-07-01,125.59
2026-08-01,136.58
2026-09-01,124.36
2026-09-24,120.69
