Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,TopFiveCustomerConcentration
FY2014,51.006,,,,,,,1.615,3.2,0.0188,8.255,0.877,7.378,19.649,30.139,10.49,,8.649,85.922783,0.208,,,,,,millions,AUD,
H1 FY2015,35.838,,,,,,,2.678,7.5,0.0278,-3.969,0.247,-4.216,28.658,42.017,13.359,,12.725,96.176638,0.101,,,,,,millions,AUD,
FY2015,82.716,,,,,,13.82,8.308,10.0,0.0855,4.03,0.624,3.406,28.658,42.017,13.359,0.008,12.725,97.153656,0.163,,,,,,millions,AUD,
H1 FY2016,53.441,,,,,,8.848,5.409,10.1,0.0546,3.513,0.358,3.155,31.303,43.167,11.864,0.007,13.069,99.00216,0.168,,,,,,millions,AUD,
FY2016,111.003,,,,,,17.184,10.489,9.4,0.1053,12.679,2.462,10.217,35.403,54.027,18.624,0.006,16.471,99.633326,0.365,,,,,,millions,AUD,
H1 FY2017,74.058,,,,,,12.769,8.115,11.0,0.0821,9.152,2.149,7.003,39.088,59.751,20.663,0.005,19.986,98.82568,0.141,,,,,,millions,AUD,
FY2017,166.571,,,,,,22.241,14.282,8.6,0.1436,13.384,5.802,7.582,93.411,188.048,94.637,67.885,24.015,99.425576,0.41,,,,,,millions,AUD,
H1 FY2018,152.743,,,,,,23.882,14.036,9.2,0.13,14.531,2.323,12.208,105.847,201.677,95.83,64.896,23.589,107.979136,1.755,,,,,,millions,AUD,
FY2018,364.273,,,,,,68.08,41.728,11.5,0.3855,46.799,3.988,42.811,139.4,238.402,99.002,56.33,40.045,108.256961,4.017,,,,,,millions,AUD,
H1 FY2019,244.8,,,,,,35.284,18.603,7.6,0.1586,31.754,4.703,27.051,458.704,602.073,143.369,34.122,70.825,117.287927,8.667,,,,,,millions,AUD,
FY2019,535.501,,,,,,87.912,41.611,7.8,0.346,67.302,15.513,51.789,481.782,634.137,152.355,22.691,75.274,120.271028,19.204,,,,,,millions,AUD,
H1 FY2020,305.78,,,,,,50.943,22.311,7.3,0.1819,71.563,10.992,60.571,510.279,661.801,151.522,63.963,126.037,122.648506,8.499,,,,,,millions,AUD,
FY2020,599.377,,,,,,107.911,50.514,8.4,0.4085,93.573,27.251,66.322,485.872,600.366,114.494,25.237,78.437,123.65796,18.147,,,,,,millions,AUD,
H1 FY2021,196.541,,,,,,25.187,6.69,3.4,0.0535,26.094,12.36,13.734,372.778,448.71,75.932,17.352,65.966,125.004015,-1.458,,,,,,millions,USD,
FY2021,447.154,,,,37.894,8.5,72.932,28.519,6.4,0.2285,53.923,23.095,30.828,391.872,502.157,110.285,15.06,47.878,124.814002,0.516,,,,,,millions,USD,
H1 FY2022,182.845,,,,,,7.867,-9.364,-5.1,-0.0759,17.091,11.852,5.239,374.665,476.42,101.755,13.294,42.173,123.295924,-0.336,,,,,,millions,USD,
FY2022,388.133,,,,-237.483,-61.2,-195.901,-239.068,-61.6,-1.9378,18.228,27.931,-9.703,147.986,254.941,106.955,10.177,23.429,123.371758,1.492,,,,,,millions,USD,81.9
H1 FY2023,138.939,,,,,,-25.751,-43.311,-31.2,-0.3363,9.716,11.541,-1.825,146.691,247.161,100.47,14.185,55.157,128.767772,2.628,,,,,,millions,USD,
FY2023,273.012,,,,-123.79,-45.3,-88.643,-118.079,-43.3,-0.831,-22.939,19.853,-42.792,92.797,155.158,62.361,12.434,32.152,142.087928,5.691,,,,,,millions,USD,74.8
H1 FY2024,113.427,,,,,,-6.217,-17.753,-15.7,-0.0806,11.44,6.342,5.098,79.51,142.462,62.952,11.253,34.672,220.140255,1.746,,,,,,millions,USD,
FY2024,234.285,,,,-19.658,-8.4,3.662,-20.009,-8.5,-0.0874,-0.664,12.847,-13.511,114.316,170.591,56.275,11.04,54.809,228.916641,4.077,,,,,,millions,USD,67.3
H1 FY2025,102.072,,,,,,-3.806,-19.263,-18.9,-0.0731,13.153,7.306,5.847,96.851,150.709,53.858,9.893,60.865,263.345271,0.259,,,,,,millions,USD,
FY2025,230.774,,,,-21.854,-9.5,9.476,-21.818,-9.5,-0.0825,22.966,16.637,6.329,94.604,152.465,57.861,9.403,59.824,264.352103,1.299,,,,,,millions,USD,74.3
H1 FY2026,119.915,,,,,,3.604,-4.454,-3.7,-0.0167,-4.146,9.22,-13.366,93.011,153.483,60.472,7.426,44.705,267.346196,0.799,,,,,,millions,USD,
