Date,Close
2016-09-30,1.54
2016-10-31,1.89
2016-11-30,1.74
2016-12-31,1.6
2017-01-31,1.9
2017-02-28,1.73
2017-03-31,1.715
2017-04-30,1.805
2017-05-31,1.83
2017-06-30,1.805
2017-07-31,1.71
2017-08-31,1.555
2017-09-30,1.765
2017-10-31,1.7
2017-11-30,1.82
2017-12-31,1.82
2018-01-31,1.83
2018-02-28,1.815
2018-03-31,1.775
2018-04-30,1.84
2018-05-31,1.86
2018-06-30,1.71
2018-07-31,1.9
2018-08-31,1.97
2018-09-30,1.79
2018-10-31,1.855
2018-11-30,1.945
2018-12-31,2
2019-01-31,2.22
2019-02-28,2.25
2019-03-31,2.67
2019-04-30,2.93
2019-05-31,3.41
2019-06-30,4.05
2019-07-31,4.22
2019-08-31,4.34
2019-09-30,4.18
2019-10-31,4.2
2019-11-30,3.82
2019-12-31,3.93
2020-01-31,3.48
2020-02-29,2.91
2020-03-31,3.36
2020-04-30,3.34
2020-05-31,3.23
2020-06-30,3.3
2020-07-31,3.54
2020-08-31,3.28
2020-09-30,2.71
2020-10-31,2.92
2020-11-30,2.67
2020-12-31,2.57
2021-01-31,2.37
2021-02-28,2.24
2021-03-31,2.41
2021-04-30,2.26
2021-05-31,2.05
2021-06-30,2.16
2021-07-31,1.955
2021-08-31,1.88
2021-09-30,1.88
2021-10-31,1.825
2021-11-30,1.95
2021-12-31,2.01
2022-01-31,1.915
2022-02-28,1.89
2022-03-31,2.02
2022-04-30,1.98
2022-05-31,1.8
2022-06-30,2.68
2022-07-31,2.57
2022-08-31,2.28
2022-09-30,2.49
2022-10-31,2.44
2022-11-30,2.08
2022-12-31,1.66
2023-01-31,1.81
2023-02-28,1.725
2023-03-31,1.655
2023-04-30,1.97
2023-05-31,2.37
2023-06-30,2.2
2023-07-31,1.95
2023-08-31,1.88
2023-09-30,1.7
2023-10-31,1.875
2023-11-30,2.03
2023-12-31,2.03
2024-01-31,2.05
2024-02-29,2.2
2024-03-31,2.3
2024-04-30,2.39
2024-05-31,2.49
2024-06-30,2.62
2024-07-31,2.34
2024-08-31,2.91
2024-09-30,3.31
2024-10-31,3.19
2024-11-30,3.1
2024-12-31,3.83
2025-01-31,4.25
2025-02-28,4.19
2025-03-31,5.31
2025-04-30,5.52
2025-05-31,6.28
2025-06-30,6.56
2025-07-31,7.77
2025-08-31,7.74
2025-09-30,6.79
2025-10-31,6.56
2025-11-30,6.69
2025-12-31,6.98
2026-01-31,5.17
2026-02-28,4.77
2026-03-31,4.12
2026-04-30,4.02
2026-05-31,4.05
2026-06-30,3.61
2026-07-31,4.14
2026-08-31,4.64
2026-09-21,4.54
