Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,EmployeesFTE,NTAPerShare,NetInterestIncome,ROE,UnderlyingEPS,UnderlyingNPAT,ListedEntities,NewListings,SegmentRevenueListings,SegmentRevenueMarkets,SegmentRevenueSecuritiesPayments,SegmentRevenueTechnologyData,TotalCashMarketTrades,TotalCashMarketValue,TotalFuturesContracts
H1 FY2016,376.2,,,,270.3,71.9,291.1,213.1,56.6,1.102,262.5,24.0,238.5,3787.2,8575.4,4788.2,0.0,5356.3,193.595162,,,,,,,millions,AUD,,,,,,,,,,,,,,,
FY2016,746.3,,,,533.0,71.4,575.7,426.2,57.1,2.187,442.4,48.4,394.0,3824.1,10451.6,6627.5,0.0,3276.4,193.595162,,2.144,,,,,millions,AUD,,,60.0,,,426.2,,,,,,,,,
H1 FY2017,386.6,,,,274.4,71.0,296.5,219.4,56.8,1.134,274.0,36.0,238.0,3874.1,10255.8,6381.7,0.0,7002.2,193.595162,,,,,,,millions,AUD,,,,,,,,,,,,,,,
FY2017,764.1,,,,537.2,70.3,583.2,434.1,56.8,2.245,483.6,61.0,422.6,3908.1,13211.7,9303.6,0.0,5683.8,193.595162,,2.018,,,,,millions,AUD,554.0,7.59,17.8,11.4,2.245,434.1,,,,,,,,,
H1 FY2018,409.0,,,,290.4,71.0,312.8,230.5,56.4,1.191,301.6,20.4,281.2,3925.2,11928.6,8003.4,0.0,8336.2,193.595162,,,,,,,millions,AUD,,,8.7,,,,,,,,,,,,
FY2018,822.7,,,,579.6,70.5,627.2,445.1,54.1,2.3,528.7,48.3,480.4,3945.5,12923.0,8977.5,0.0,5563.9,193.595162,,2.163,,,,,millions,AUD,587.0,7.79,68.5,11.5,2.404,465.3,,,,,,,,,
H1 FY2019,424.7,,,,297.4,70.0,319.5,246.1,57.9,1.271,321.4,39.1,282.3,3878.8,12240.2,8361.4,0.0,8688.3,193.595162,,,,,,,millions,AUD,,,,,,,,,,,,,,,
FY2019,863.8,,,,601.2,69.6,649.0,492.0,57.0,2.541,89.9,84.6,5.3,3916.4,15330.3,11413.9,86.7,333.1,193.595162,,3.578,,,,,millions,AUD,689.0,7.53,98.8,12.8,2.541,492.0,,,,,,,,,
H1 FY2020,454.9,,,,315.1,69.3,340.5,250.4,55.0,1.293,513.4,43.0,470.4,3696.0,15911.4,12215.4,83.2,306.4,193.595162,,,,,,,millions,AUD,,,6.1,,,,,,,,,,,,
FY2020,938.4,,,,652.2,69.5,702.7,498.6,53.1,2.576,1335.3,82.2,1253.1,3720.4,17414.8,13694.4,81.1,858.1,193.595162,,2.389,,,,,millions,AUD,726.0,6.32,83.8,13.6,2.654,513.8,,,,,,,,,
H1 FY2021,470.5,,,,319.1,67.8,344.4,241.8,51.4,1.249,107.6,54.3,53.3,3720.7,17353.8,13633.1,97.1,680.9,193.595162,,,,,,,millions,AUD,,,26.7,,,,,,,,,,,,
FY2021,951.5,,,,641.2,67.4,694.7,480.9,50.5,2.484,5095.0,101.3,4993.7,3736.3,16597.0,12860.7,72.4,5357.8,193.595162,,2.236,,,,,millions,AUD,748.0,6.04,46.7,13.1,2.484,480.9,,,,,,,,,
H1 FY2022,501.4,,,,338.4,67.5,363.3,250.3,49.9,1.293,213.0,56.1,156.9,3771.7,16726.7,12955.0,72.8,5288.4,193.595162,,,,,,,millions,AUD,,,21.7,,,,,,,,,,,,
FY2022,1022.7,,,,689.2,67.4,739.5,508.5,49.7,2.627,203.4,105.8,97.6,3805.4,18237.5,14432.1,67.6,4972.2,193.595162,,2.364,,,,,millions,AUD,925.0,5.74,41.1,13.7,2.627,508.5,2317.0,217.0,,,,,448276.0,1969.186,136373.0
H1 FY2023,499.5,,,,325.6,65.2,343.0,73.7,14.8,0.381,1220.7,62.5,1158.2,3631.3,15484.4,11853.1,112.3,5952.9,193.595162,,,,,,,millions,AUD,,,32.6,,,,,,,,,,,,
FY2023,1010.2,,,,635.6,62.9,672.5,317.3,31.4,1.639,-3404.0,103.1,-3507.1,3640.6,16833.3,13192.7,84.6,1008.6,193.595162,,2.283,,,,,millions,AUD,1050.0,5.72,70.8,8.7,2.537,491.1,2255.0,57.0,,,,,369584.0,1670.045,142068.0
H1 FY2024,511.7,,,,291.0,56.9,309.7,230.5,45.0,1.19,213.7,52.6,161.1,3653.3,15407.2,11753.9,75.2,999.6,193.595162,,,,,,,millions,AUD,,,39.4,,,,,,,,,,,,
FY2024,1034.3,,,,604.8,58.5,641.8,474.2,45.8,2.448,480.3,137.8,342.5,3724.7,16886.5,13161.8,78.6,1243.1,193.887876,,2.08,,,,,millions,AUD,1193.0,5.62,76.7,13.0,2.448,474.2,2155.0,56.0,208.2,315.4,255.6,255.1,378130.0,1602.407,163335.0
H1 FY2025,541.9,,,,321.6,59.3,342.3,243.5,44.9,1.256,-389.4,80.1,-469.5,3760.6,16471.1,12710.5,322.7,546.4,193.887876,,,,,,,millions,AUD,,,43.1,,,,,,,,,,,,
FY2025,1107.2,,,,646.9,58.4,695.3,502.6,45.4,2.591,302.9,171.9,131.0,3872.8,17569.4,13696.6,310.9,1008.2,194.299425,,2.233,,,,,millions,AUD,1331.0,5.65,86.8,13.4,2.629,510.0,2083.0,69.0,208.0,349.2,274.4,275.6,475357.0,1823.068,195122.0
