Date,Close
2016-09-30,47.13
2016-10-31,48.66
2016-11-30,49.74
2016-12-31,49.89
2017-01-31,51.23
2017-02-28,50.48
2017-03-31,50.72
2017-04-30,51.12
2017-05-31,53.61
2017-06-30,52.3
2017-07-31,54.68
2017-08-31,52.43
2017-09-30,53.98
2017-10-31,57.14
2017-11-30,54.86
2017-12-31,54.74
2018-01-31,58.39
2018-02-28,56.06
2018-03-31,58.63
2018-04-30,60.63
2018-05-31,64.39
2018-06-30,65.69
2018-07-31,67.64
2018-08-31,63.66
2018-09-30,59.17
2018-10-31,60.29
2018-11-30,59.94
2018-12-31,63.71
2019-01-31,69.77
2019-02-28,69.84
2019-03-31,74.5
2019-04-30,75.75
2019-05-31,82.37
2019-06-30,88.85
2019-07-31,86.31
2019-08-31,81.07
2019-09-30,82.32
2019-10-31,81.71
2019-11-30,78.41
2019-12-31,85.67
2020-01-31,74.14
2020-02-29,77.09
2020-03-31,81.55
2020-04-30,88.18
2020-05-31,85.38
2020-06-30,82.65
2020-07-31,87.34
2020-08-31,81.02
2020-09-30,79.63
2020-10-31,77.11
2020-11-30,72
2020-12-31,71.79
2021-01-31,67.6
2021-02-28,71.05
2021-03-31,72.98
2021-04-30,76.26
2021-05-31,77.71
2021-06-30,76.89
2021-07-31,87.77
2021-08-31,81
2021-09-30,83.02
2021-10-31,90.43
2021-11-30,92.9
2021-12-31,83.19
2022-01-31,82.33
2022-02-28,81.8
2022-03-31,86.67
2022-04-30,80.8
2022-05-31,81.71
2022-06-30,88.26
2022-07-31,78.45
2022-08-31,71.76
2022-09-30,67.7
2022-10-31,70.47
2022-11-30,68.02
2022-12-31,68.97
2023-01-31,68.04
2023-02-28,65.02
2023-03-31,68.47
2023-04-30,67.43
2023-05-31,63
2023-06-30,62.11
2023-07-31,57.59
2023-08-31,57.12
2023-09-30,56.13
2023-10-31,58.08
2023-11-30,63.06
2023-12-31,65.66
2024-01-31,65.77
2024-02-29,66.42
2024-03-31,63.61
2024-04-30,62.35
2024-05-31,60
2024-06-30,64.97
2024-07-31,61.22
2024-08-31,63.93
2024-09-30,65.02
2024-10-31,66.06
2024-11-30,65.08
2024-12-31,63.48
2025-01-31,66.98
2025-02-28,65.14
2025-03-31,70.73
2025-04-30,71.3
2025-05-31,69.76
2025-06-30,70.05
2025-07-31,62.54
2025-08-31,58.59
2025-09-30,56.45
2025-10-31,58.2
2025-11-30,51.44
2025-12-31,57.28
2026-01-31,52.96
2026-02-28,52.3
2026-03-31,60.8
2026-04-30,46.23
2026-05-31,53.32
2026-06-30,54.88
2026-07-31,56.14
2026-08-31,55.73
2026-09-21,56.74
