Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
FY2016,352.502,-201.496,151.006,42.8,,,54.576,30.436,8.6,4.43,21.474,1.172,20.3,133.078,210.152,77.074,0.0,69.361,706.133,3.109,,millions,NZD
FY2017,549.247,-285.729,263.518,48.0,138.599,25.2,141.153,90.646,16.5,12.66,99.943,2.471,97.5,241.482,343.93,102.448,0.0,121.02,737.515,2.528,,millions,NZD
H1 2018,434.629,-218.166,216.463,49.8,142.002,32.7,142.989,98.469,22.7,13.64,116.442,2.146,114.3,389.633,547.65,158.017,0.0,240.172,743.16,1.243,,millions,NZD
FY2018,922.354,-458.005,464.349,50.3,281.001,30.5,283.037,195.684,21.2,27.0,231.108,4.846,226.3,555.709,722.578,166.869,0.0,340.455,743.963,2.612,,millions,NZD
H1 2019,612.875,-272.255,340.62,55.6,217.518,35.5,218.407,152.695,24.9,20.85,112.297,2.395,109.9,643.978,795.213,151.235,0.0,287.932,744.13,5.904,,millions,NZD
FY2019,1304.336,-590.584,713.752,54.7,411.552,31.6,413.61,287.741,22.1,39.25,289.068,3.362,285.7,787.854,993.47,205.616,0.0,464.805,741.917,8.184,,millions,NZD
H1 2020,804.946,-344.282,460.664,57.2,264.756,32.9,263.229,184.926,23.0,25.15,160.555,1.871,158.7,974.586,1189.505,214.919,0.0,618.42,742.67,2.404,,millions,NZD
FY2020,1730.696,-762.122,968.574,56.0,547.721,31.6,549.719,385.837,22.3,52.39,427.411,7.222,420.2,1134.062,1453.317,319.255,0.0,854.178,740.346,8.331,,millions,NZD
H1 2021,676.546,-336.09,340.456,50.3,175.359,25.9,178.523,120.043,17.7,16.18,-9.173,7.947,-17.1,1186.725,1399.774,213.049,0.0,774.643,742.84,-0.927,,millions,NZD
FY2021,1205.034,-695.321,509.713,42.3,116.046,9.6,123.428,80.658,6.7,10.86,89.415,7.311,82.1,1083.96,1372.011,288.051,0.0,875.15,742.749,1.835,,millions,NZD
H1 2022,658.797,-354.325,304.472,46.2,89.389,13.6,97.573,56.08,8.5,8.02,98.406,2.455,96.0,1146.633,1612.482,465.849,80.0,747.17,699.25,4.566,,millions,NZD
FY2022,1443.74,-780.222,663.518,46.0,177.409,12.3,196.214,114.741,7.9,16.49,203.8,5.168,198.6,1193.96,1715.852,521.892,107.0,887.308,743.794,11.609,,millions,NZD
H1 2023,781.986,-410.058,371.928,47.6,98.887,12.6,107.813,68.473,8.8,9.95,-3.195,6.309,-9.5,1204.394,1698.786,494.392,106.206,777.195,690.25,8.74,,millions,NZD
FY2023,1591.088,-851.925,739.163,46.5,201.221,12.6,219.298,144.841,9.1,21.23,111.283,10.407,100.9,1149.501,1611.714,462.213,82.038,802.234,736.675,17.132,,millions,NZD
H1 2024,811.099,-432.299,378.8,46.7,104.407,12.9,113.225,78.594,9.7,11.8,62.135,12.909,49.2,1199.604,1600.514,400.91,37.89,792.096,668.32,5.519,,millions,NZD
FY2024,1673.323,-906.694,766.629,45.8,202.241,12.1,234.344,153.882,9.2,23.19,255.744,20.526,235.2,1256.773,1734.875,478.102,37.89,968.943,726.561,10.727,,millions,NZD
H1 2025,892.79,-492.829,399.961,44.8,103.953,11.6,118.867,83.996,9.4,12.68,78.797,2.985,75.8,1354.774,1895.416,540.642,66.764,1042.034,666.11,5.04,,millions,NZD
FY2025,1899.273,-1024.118,875.155,46.1,248.091,13.1,274.348,192.091,10.1,28.03,201.477,3.971,197.5,1430.74,1942.111,511.371,77.764,1100.171,727.991,13.545,20.0,millions,NZD
H1 2026,992.558,-506.957,485.601,48.9,146.341,14.7,154.957,8.447,0.9,1.51,95.189,13.613,81.6,1385.708,1845.212,459.504,0.0,896.878,729.05,5.766,,millions,NZD
