Date,Close
2016-10-01,69.79
2016-11-01,72.06
2016-12-01,70.22
2017-01-01,73.02
2017-02-01,80.71
2017-03-01,80.6
2017-04-01,83.21
2017-05-01,84.26
2017-06-01,88.37
2017-07-01,92.93
2017-08-01,94.26
2017-09-01,98.34
2017-10-01,106.17
2017-11-01,114.12
2017-12-01,114.86
2018-01-01,122.68
2018-02-01,118.15
2018-03-01,106.25
2018-04-01,104.81
2018-05-01,105.03
2018-06-01,102.1
2018-07-01,114.68
2018-08-01,105.18
2018-09-01,108.35
2018-10-01,90.72
2018-11-01,96.4
2018-12-01,89.83
2019-01-01,104.45
2019-02-01,108.04
2019-03-01,113
2019-04-01,110.65
2019-05-01,104.06
2019-06-01,115.68
2019-07-01,114.87
2019-08-01,115.57
2019-09-01,113.57
2019-10-01,127.86
2019-11-01,130.37
2019-12-01,130.82
2020-01-01,131.24
2020-02-01,114.49
2020-03-01,101.87
2020-04-01,110.39
2020-05-01,110.67
2020-06-01,114.09
2020-07-01,113.34
2020-08-01,115.39
2020-09-01,127.84
2020-10-01,138.39
2020-11-01,149.34
2020-12-01,155.11
2021-01-01,150.87
2021-02-01,175.21
2021-03-01,183.65
2021-04-01,214.17
2021-05-01,220.53
2021-06-01,210.24
2021-07-01,210.68
2021-08-01,225.39
2021-09-01,207.21
2021-10-01,217.72
2021-11-01,205.07
2021-12-01,216.57
2022-01-01,205.42
2022-02-01,176.2
2022-03-01,173.97
2022-04-01,180.6
2022-05-01,172.56
2022-06-01,161.87
2022-07-01,190.46
2022-08-01,183.62
2022-09-01,162.7
2022-10-01,169.55
2022-11-01,193.33
2022-12-01,181
2023-01-01,189.44
2023-02-01,182.19
2023-03-01,178.93
2023-04-01,174.48
2023-05-01,161.13
2023-06-01,171.8
2023-07-01,184.01
2023-08-01,188.38
2023-09-01,182.67
2023-10-01,174.07
2023-11-01,194.5
2023-12-01,202.16
2024-01-01,199.45
2024-02-01,216.53
2024-03-01,223.25
2024-04-01,217.28
2024-05-01,227.59
2024-06-01,218.65
2024-07-01,216.83
2024-08-01,221.85
2024-09-01,220.76
2024-10-01,207.03
2024-11-01,205.95
2024-12-01,187.13
2025-01-01,185.73
2025-02-01,187.97
2025-03-01,177.97
2025-04-01,171.11
2025-05-01,177.73
2025-06-01,175.47
2025-07-01,167.77
2025-08-01,171.65
2025-09-01,162.17
2025-10-01,174.89
2025-11-01,172.37
2025-12-01,181.88
2026-01-01,185.51
2026-02-01,196.35
2026-03-01,172.68
2026-04-01,163.93
2026-05-01,159.07
2026-06-01,162.35
2026-07-01,169.73
2026-08-01,174.11
2026-09-01,169.01
2026-09-25,170.34
