Date,Close
2016-10-01,56.64
2016-11-01,52.28
2016-12-01,54.64
2017-01-01,54.46
2017-02-01,58.52
2017-03-01,62.28
2017-04-01,60.5
2017-05-01,68.78
2017-06-01,68.18
2017-07-01,60.36
2017-08-01,59.66
2017-09-01,67.76
2017-10-01,69
2017-11-01,65.74
2017-12-01,69.4
2018-01-01,70.12
2018-02-01,66.38
2018-03-01,69.94
2018-04-01,71.06
2018-05-01,74.06
2018-06-01,70.22
2018-07-01,78.26
2018-08-01,76.68
2018-09-01,79.14
2018-10-01,77.56
2018-11-01,79.64
2018-12-01,75.96
2019-01-01,73.16
2019-02-01,83.16
2019-03-01,80.86
2019-04-01,75.32
2019-05-01,74.76
2019-06-01,82.56
2019-07-01,86.82
2019-08-01,90.06
2019-09-01,89.14
2019-10-01,98.06
2019-11-01,96.96
2019-12-01,99.72
2020-01-01,97.4
2020-02-01,87.6
2020-03-01,89.32
2020-04-01,104.56
2020-05-01,109.2
2020-06-01,105.78
2020-07-01,111.56
2020-08-01,112
2020-09-01,109.6
2020-10-01,100.32
2020-11-01,105.88
2020-12-01,99.98
2021-01-01,101.2
2021-02-01,96.76
2021-03-01,99.44
2021-04-01,106.14
2021-05-01,113.54
2021-06-01,119.8
2021-07-01,114.48
2021-08-01,116.56
2021-09-01,120.12
2021-10-01,124.76
2021-11-01,109.66
2021-12-01,116.5
2022-01-01,116.42
2022-02-01,121.76
2022-03-01,132.68
2022-04-01,132.8
2022-05-01,132.96
2022-06-01,132.14
2022-07-01,132.46
2022-08-01,124.76
2022-09-01,109.68
2022-10-01,117.62
2022-11-01,135.94
2022-12-01,135.6
2023-01-01,130.74
2023-02-01,130.36
2023-03-01,138.82
2023-04-01,146.44
2023-05-01,146.16
2023-06-01,143.14
2023-07-01,143.4
2023-08-01,135.64
2023-09-01,135.44
2023-10-01,126.46
2023-11-01,129.18
2023-12-01,134.7
2024-01-01,133.28
2024-02-01,128.32
2024-03-01,135.5
2024-04-01,151.76
2024-05-01,156.04
2024-06-01,155.98
2024-07-01,158.3
2024-08-01,175.24
2024-09-01,155.82
2024-10-01,142.3
2024-11-01,135.24
2024-12-01,131.04
2025-01-01,141.52
2025-02-01,152.42
2025-03-01,147
2025-04-01,143.58
2025-05-01,145.66
2025-06-01,139.76
2025-07-01,146.18
2025-08-01,159.8
2025-09-01,153.44
2025-10-01,164.8
2025-11-01,185.44
2025-12-01,183.86
2026-01-01,185.54
2026-02-01,208.45
2026-03-01,197.22
2026-04-01,187.37
2026-05-01,185.67
2026-06-01,189.62
2026-07-01,169.64
2026-08-01,162.13
2026-09-01,164.56
2026-09-25,166.58
