Date,Close
2016-10-01,101.69
2016-11-01,94.02
2016-12-01,87.81
2017-01-01,101.31
2017-02-01,102.9
2017-03-01,107.83
2017-04-01,115.5
2017-05-01,122.46
2017-06-01,140.9
2017-07-01,154.95
2017-08-01,171.74
2017-09-01,172.71
2017-10-01,184.89
2017-11-01,177.08
2017-12-01,172.43
2018-01-01,204.29
2018-02-01,186.14
2018-03-01,183.54
2018-04-01,178.54
2018-05-01,198.01
2018-06-01,185.53
2018-07-01,187.23
2018-08-01,175.01
2018-09-01,164.76
2018-10-01,142.28
2018-11-01,160.86
2018-12-01,137.07
2019-01-01,168.49
2019-02-01,183.03
2019-03-01,182.45
2019-04-01,185.57
2019-05-01,149.26
2019-06-01,169.45
2019-07-01,173.11
2019-08-01,175.03
2019-09-01,167.23
2019-10-01,176.67
2019-11-01,200
2019-12-01,212.1
2020-01-01,206.59
2020-02-01,208
2020-03-01,194.48
2020-04-01,202.67
2020-05-01,207.39
2020-06-01,215.7
2020-07-01,251.02
2020-08-01,287.03
2020-09-01,293.98
2020-10-01,304.69
2020-11-01,263.36
2020-12-01,232.73
2021-01-01,253.83
2021-02-01,237.76
2021-03-01,226.73
2021-04-01,230.95
2021-05-01,213.96
2021-06-01,226.78
2021-07-01,195.19
2021-08-01,166.99
2021-09-01,148.05
2021-10-01,164.94
2021-11-01,127.53
2021-12-01,118.79
2022-01-01,125.79
2022-02-01,105.19
2022-03-01,108.8
2022-04-01,97.09
2022-05-01,96.05
2022-06-01,113.68
2022-07-01,89.37
2022-08-01,95.41
2022-09-01,79.99
2022-10-01,63.58
2022-11-01,87.56
2022-12-01,88.09
2023-01-01,110.2
2023-02-01,87.79
2023-03-01,102.18
2023-04-01,84.69
2023-05-01,79.55
2023-06-01,83.35
2023-07-01,102.16
2023-08-01,92.9
2023-09-01,86.74
2023-10-01,82.54
2023-11-01,74.88
2023-12-01,77.51
2024-01-01,72.17
2024-02-01,74.03
2024-03-01,72.36
2024-04-01,74.85
2024-05-01,78.34
2024-06-01,72
2024-07-01,78.85
2024-08-01,83.34
2024-09-01,106.12
2024-10-01,97.98
2024-11-01,87.37
2024-12-01,84.79
2025-01-01,98.84
2025-02-01,132.51
2025-03-01,132.23
2025-04-01,119.43
2025-05-01,113.84
2025-06-01,113.41
2025-07-01,120.63
2025-08-01,135
2025-09-01,178.73
2025-10-01,170.43
2025-11-01,157.3
2025-12-01,146.58
2026-01-01,169.56
2026-02-01,144.11
2026-03-01,125.46
2026-04-01,131.88
2026-05-01,124.22
2026-06-01,95.98
2026-07-01,122.25
2026-08-01,114.02
2026-09-01,113.24
2026-09-04,113.24
