Date,Close
2016-10-01,38.535
2016-11-01,37.53
2016-12-01,37.535
2017-01-01,38.13
2017-02-01,36.765
2017-03-01,37.13
2017-04-01,38.445
2017-05-01,40.9
2017-06-01,42.21
2017-07-01,41.9
2017-08-01,39.99
2017-09-01,41.3
2017-10-01,42.93
2017-11-01,39.91
2017-12-01,37.85
2018-01-01,38.28
2018-02-01,39.95
2018-03-01,39.71
2018-04-01,40.09
2018-05-01,36.95
2018-06-01,35.55
2018-07-01,38.97
2018-08-01,41.88
2018-09-01,43.99
2018-10-01,44.8
2018-11-01,49.11
2018-12-01,45.98
2019-01-01,52.28
2019-02-01,54.78
2019-03-01,57.86
2019-04-01,59.94
2019-05-01,61.39
2019-06-01,69.99
2019-07-01,71.48
2019-08-01,80.41
2019-09-01,72.81
2019-10-01,69.97
2019-11-01,66.06
2019-12-01,64.67
2020-01-01,72.18
2020-02-01,70.46
2020-03-01,64.66
2020-04-01,65.59
2020-05-01,71.26
2020-06-01,69.49
2020-07-01,73.63
2020-08-01,80.37
2020-09-01,83.12
2020-10-01,89
2020-11-01,96.01
2020-12-01,93.18
2021-01-01,88.02
2021-02-01,85.39
2021-03-01,84.74
2021-04-01,93.64
2021-05-01,82.16
2021-06-01,81.02
2021-07-01,80.88
2021-08-01,95.96
2021-09-01,89.97
2021-10-01,91.48
2021-11-01,93.45
2021-12-01,96.27
2022-01-01,97.1
2022-02-01,89.74
2022-03-01,90
2022-04-01,81.16
2022-05-01,70.89
2022-06-01,68.77
2022-07-01,73.42
2022-08-01,55.81
2022-09-01,48.32
2022-10-01,49.39
2022-11-01,56.08
2022-12-01,51.14
2023-01-01,58.24
2023-02-01,56.21
2023-03-01,55.11
2023-04-01,53.18
2023-05-01,51.16
2023-06-01,58.21
2023-07-01,58.69
2023-08-01,54.45
2023-09-01,49.78
2023-10-01,48.15
2023-11-01,55.29
2023-12-01,57.52
2024-01-01,55.45
2024-02-01,64.02
2024-03-01,67.36
2024-04-01,69.57
2024-05-01,69.43
2024-06-01,60.02
2024-07-01,63.83
2024-08-01,63.81
2024-09-01,67.91
2024-10-01,59.25
2024-11-01,62.16
2024-12-01,55.13
2025-01-01,55.7
2025-02-01,52.69
2025-03-01,52.07
2025-04-01,51.94
2025-05-01,53.58
2025-06-01,56.09
2025-07-01,57.26
2025-08-01,52.64
2025-09-01,50.42
2025-10-01,47
2025-11-01,49.53
2025-12-01,52.97
2026-01-01,56.87
2026-02-01,67.13
2026-03-01,59.11
2026-04-01,61.08
2026-05-01,54.67
2026-06-01,62.4
2026-07-01,64.9
2026-08-01,62.97
2026-09-01,56.66
2026-09-25,56.83
