Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2007,,,,,,,,,,,,,,6236.0,,,,1205.0,,,,,,,,millions,USD
H1-2008,18791.0,,4514.0,24.02213825767655,616.0,3.278165079027194,,383.0,2.0382097812782716,0.92,50.0,502.0,-452.0,,,,,,423.0,54.0,0.26,,,,,millions,USD
Q3 2008,9801.0,,2381.0,24.293439444954597,339.0,3.458830731558004,,205.0,2.0916233037445155,0.49,-130.0,425.0,-555.0,5477.0,17522.0,,1175.0,544.0,423.3,,0.13,,,,,millions,USD
Q4 2008,11500.0,,2861.0,24.878260869565217,274.0,2.382608695652174,,63.0,0.5478260869565217,0.13,,,,5234.0,20647.0,,1173.0,569.0,422.6,,0.14,,,,,millions,USD
FY2008,40023.0,,9546.0,23.85128551083127,2161.0,5.399395347675086,,1410.0,3.5229742897833747,3.2,2025.0,797.0,1228.0,4524.0,,,,1438.0,452.9,105.0,0.46,,,,,millions,USD
H1-2009,21117.0,,5241.0,24.818866316238104,576.0,2.727660179002699,,313.0,1.4822181181038974,0.75,238.0,310.0,-72.0,,,,,,426.2,57.0,0.27,,,,,millions,USD
Q2 2009,10095.0,,2557.0,25.32937097573056,296.0,2.932144626052501,,156.0,1.5453194650817237,0.37,-53.0,186.0,-239.0,5501.0,16214.0,,1175.0,535.0,425.7,27.0,0.14,,,,,millions,USD
Q3 2009,11022.0,,2684.0,24.35129740518962,280.0,2.540373797858828,,158.0,1.4334966430774814,0.38,441.0,159.0,282.0,5899.0,17191.0,,1201.0,668.0,427.0,,0.14,,,,,millions,USD
Q4 2009,12024.0,,2942.0,24.46773120425815,376.0,3.1270791749833666,,271.0,2.2538256819693943,0.54,,,,6124.0,21100.0,,1176.0,564.0,428.6,,0.14,,,,,millions,USD
FY2009,45015.0,,10998.0,24.431856047984006,1870.0,4.154170831944907,,1033.0,2.2947906253471064,2.43,1877.0,1303.0,574.0,5156.0,15826.0,,1180.0,498.0,422.9,110.0,0.54,,,,,millions,USD
