Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2006,,,,,,,,,,,,,,,,,,1000.289,,,,,,,,millions,USD
FY2007,6282.835,3032.892,,,1184.664,18.855564406832265,1625.768,890.033,14.166104951029274,3.63,,556.287,,,,,,511.482,,107.706,,,,,,millions,USD
Q2 2008,1849.339,905.388,,,408.216,22.07361657327294,,297.089,16.064604704708007,1.22,,,,,,,,735.908,,,,,,,,millions,USD
Q4 2008,1717.919,796.274,,,418.312,24.34992569498329,534.771,312.068,18.165466474263336,1.29,,95.365,,,,,,597.619,,33.761,0.33,,,,,millions,USD
FY2008,6897.619,3357.159,,,1488.144,21.574749199687602,1960.107,1126.996,16.33891347144573,4.61,,595.811,,4935.568,7912.943,,201.312,830.477,252.681,100.585,,,,,,millions,USD
Q1 2009,1724.967,829.35,,,360.67,20.90880579164703,,261.289,15.147478183640613,1.09,,,,,,,,542.712,,,0.33,,,,,millions,USD
H1-2009,3442.886,1625.624,,,778.982,22.625843551020857,1012.775,573.357,16.65338323720274,2.38,,223.022,,,,,,,,56.47,0.66,,,,,millions,USD
Q2 2009,1820.255,860.063,,,431.763,23.719918363086485,,341.027,18.735122276823848,1.42,,,,5211.896,8848.987,,405.737,1331.601,245.696,22.514,0.33,,,,,millions,USD
Q3 2009,,,,,,,,,,,,131.046,,,,,,,,,,,,,,millions,USD
Q4 2009,1868.818,894.324,,,429.67,22.991537966779003,553.421,316.376,16.929203378820194,1.33,,110.797,,5260.159,9094.276,,205.441,1182.306,242.965,35.32,0.37,,,,,millions,USD
FY2009,6986.722,3311.676,,,1589.682,22.752901861559685,2054.286,1231.603,17.62776592513628,5.12,,585.196,,5142.712,9304.624,,1891.425,1394.244,246.798,86.574,,,,,,millions,USD
Q1 2010,1799.409,864.492,,,413.648,22.98799216853978,,297.631,16.540486348573335,1.26,,,,5149.634,8943.392,,200.573,830.688,240.863,17.147,0.37,,,,,millions,USD
H1-2010,3668.227,1758.816,,,843.318,22.989798613880765,1092.33,614.007,16.73852245240003,2.6,,227.838,,,,,,,242.327,52.467,0.74,,,,,millions,USD
Q2 2010,1830.911,883.434,,,422.962,23.10117750125484,,306.908,16.762584309122616,1.32,,,,5153.877,9031.673,,202.221,750.106,238.319,16.65,0.37,,,,,millions,USD
Q3 2010,,,,,,,,,,,,99.13399999999999,,,,,,,,,,,,,,millions,USD
Q4 2010,1842.005,865.431,,,413.078,22.425454871186556,536.27,315.937,17.151799262216986,1.39,,79.842,,4877.933,10071.27,,235.295,1249.355,232.915,34.081,0.41,,,,,millions,USD
FY2010,7124.385,3428.308,,,1582.378,22.21073117188361,2073.794,1317.61,18.494368285823967,5.62,,530.969,,5434.58,9650.694,,1698.115,1216.0,240.136,79.374,,,,,,millions,USD
Q1 2011,1922.023,920.589,,,440.34,22.91023572558705,,312.019,16.233884818235786,1.41,,,,5099.061,10344.223,,241.431,748.588,225.467,19.639,0.41,,,,,millions,USD
H1-2011,3764.028,1786.02,,,853.418,22.6729981817351,608.021,627.956,16.68308524803748,2.8,,193.688,,,,,,,229.529,-53.72,0.82,,,,,millions,USD
