Date,Close
2016-09-30,11.13
2016-10-31,12.05
2016-11-30,12.71
2016-12-31,12.55
2017-01-31,12.22
2017-02-28,12.14
2017-03-31,12.32
2017-04-30,11.27
2017-05-31,11.08
2017-06-30,11.12
2017-07-31,11.95
2017-08-31,11.61
2017-09-30,11.38
2017-10-31,11.64
2017-11-30,11.67
2017-12-31,11.71
2018-01-31,11.34
2018-02-28,9.84
2018-03-31,10.62
2018-04-30,10.76
2018-05-31,10.84
2018-06-30,11.71
2018-07-31,11.59
2018-08-31,10.75
2018-09-30,10.23
2018-10-31,10.68
2018-11-30,10.79
2018-12-31,10.78
2019-01-31,9.86
2019-02-28,9.68
2019-03-31,10.3
2019-04-30,11.23
2019-05-31,11.58
2019-06-30,11.49
2019-07-31,11.18
2019-08-31,11.49
2019-09-30,10.65
2019-10-31,10.03
2019-11-30,9.78
2019-12-31,10.41
2020-01-31,9.19
2020-02-29,6.27
2020-03-31,6.54
2020-04-30,6.15
2020-05-31,7.01
2020-06-30,6.88
2020-07-31,6.54
2020-08-31,6.04
2020-09-30,6.69
2020-10-31,8.9
2020-11-30,9.32
2020-12-31,9.2
2021-01-31,9.77
2021-02-28,10.06
2021-03-31,10.33
2021-04-30,10.35
2021-05-31,10.49
2021-06-30,10.33
2021-07-31,10.04
2021-08-31,9.45
2021-09-30,9.25
2021-10-31,8.57
2021-11-30,9.1
2021-12-31,8.58
2022-01-31,9.61
2022-02-28,10.29
2022-03-31,10.65
2022-04-30,10.42
2022-05-31,9.07
2022-06-30,10.3
2022-07-31,9.04
2022-08-31,7.79
2022-09-30,9.01
2022-10-31,9.15
2022-11-30,9.81
2022-12-31,10.06
2023-01-31,9.78
2023-02-28,8.67
2023-03-31,8.64
2023-04-30,8.59
2023-05-31,8.59
2023-06-30,9.35
2023-07-31,9.51
2023-08-31,8.93
2023-09-30,8.7
2023-10-31,8.92
2023-11-30,9.67
2023-12-31,9.84
2024-01-31,9.68
2024-02-29,10.25
2024-03-31,9.78
2024-04-30,10.93
2024-05-31,11.49
2024-06-30,12.49
2024-07-31,12.05
2024-08-31,11.65
2024-09-30,12.3
2024-10-31,13.42
2024-11-30,13.1
2024-12-31,13.6
2025-01-31,10.72
2025-02-28,10.63
2025-03-31,11.17
2025-04-30,11.98
2025-05-31,12.64
2025-06-30,12.25
2025-07-31,13.34
2025-08-31,13.07
2025-09-30,12.65
2025-10-31,10.24
2025-11-30,10.52
2025-12-31,10.97
2026-01-31,10.71
2026-02-28,9.89
2026-03-31,10.69
2026-04-30,10.34
2026-05-31,10.55
2026-06-30,11.46
2026-07-31,10.73
2026-08-31,10.36
2026-09-21,10.5
