Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2006,,,,,,,,,,,,,,6684.728,,,,3310.545,,,,,,,,millions,USD
FY2007,6205.769,,,,2067.547,33.31653176262281,2266.166,1772.938,28.56919102209573,7.11,1673.633,94.144,1579.489,7332.275,,,,3304.495,,90.145,0.6,,,,,millions,USD
Q2 2008,1521.649,,,,532.215,34.97620016179816,,403.312,26.504929849130782,1.72,,,,,,,,2880.797,,,0.2,,,,,millions,USD
Q4 2008,969.33,,,,268.364,27.685514736983276,315.044,120.9,12.47253257404599,0.52,41.945,21.784,20.161,,,,,2453.127,,18.719,0.21,,,,,millions,USD
FY2008,6032.386,,,,2099.002,34.79555187615646,2314.224,1599.819,26.520501174825352,6.68,1409.241,63.498,1345.743,7074.364,9176.52,2024.994,118.433,2314.818,232.777979,80.705,0.8,,,,,millions,USD
Q1 2009,912.272,,,,223.322,24.479760422330184,,110.806,12.146158163354787,0.48,,,,,,,,2282.021,,,0.21,,,,,millions,USD
H1-2009,1881.602,,,,491.686,26.131243482946974,580.829,231.706,12.314293883616195,0.99,246.609,27.631,218.978,,,,,,,39.772,0.42,,,,,millions,USD
Q2 2009,1073.558,,,,326.186,30.383640194567967,,306.848,28.582340218227614,1.3,,,,7343.517,9242.906,1812.66,84.315,2238.467,230.390721,22.1,0.21,,,,,millions,USD
Q3 2009,,,,,,,,,,,242.40099999999998,4.796999999999997,237.60399999999998,,,,,,,,,,,,,millions,USD
Q4 2009,1377.411,,,,466.977,33.90251711362839,532.978,357.549,25.95804738019371,1.55,317.075,9.59,307.485,7137.077,9224.129,2052.739,,2753.253,229.251,19.619,3.22,,,,,millions,USD
FY2009,4194.087,,,,1202.594,28.673558750688766,1383.866,904.291,21.561093034073924,3.87,641.402,45.183,596.219,7634.435,9468.463,1768.902,0.0,2982.539,231.451,84.443,0.84,,,,,millions,USD
Q1 2010,1413.113,,,,461.135,32.63256370863476,,358.41,25.36315213291506,1.56,,,,7387.492,9520.582,2104.016,,2860.991,228.3,,0.22,,,,,millions,USD
H1-2010,2790.524,,,,928.112,33.259416511020866,1059.306,715.959,25.6567942078262,3.11,696.397,27.862,668.5350000000001,,,,,,228.786,40.368,3.44,,,,,millions,USD
Q2 2010,1534.071,,,,521.564,33.99868715333253,,360.495,23.499238301225954,1.59,,,,7429.911,10409.814,2951.108,898.836,3859.467,226.806,22.3,0.22,,,,,millions,USD
Q3 2010,,,,,,,,,,,643.5399999999998,25.125000000000004,618.4149999999998,,,,,,,,,,,,,millions,USD
Q4 2010,1700.313,,,,659.234,38.77133210179537,721.712,501.157,29.47439677282947,2.24,245.776,54.003,191.77300000000002,8132.566,12391.955,4238.432,981.954,4101.724,224.253,21.775,0.25,,,,,millions,USD
FY2010,5853.0,,,,1958.7,33.46488980010251,2226.1,1451.5,24.79924824876132,6.36,1651.0,-57.4,1593.6,7730.446,10708.088,2958.109,928.9,3985.312,227.4,81.7,3.88,,,,,millions,USD
Q1 2011,1749.563,,,,629.482,35.979384566317414,,503.1,28.755752150679914,2.26,,,,8419.479,12827.382,4377.435,976.707,4234.894,222.696,,0.25,,,,,millions,USD
H1-2011,3449.876,,,,1288.716,37.3554295864547,1412.3429999999998,1004.257,29.109944821205165,4.49,488.344,65.148,423.196,,,,,,223.496,44.479,0.5,,,,,millions,USD
Q2 2011,1853.033,,,,682.697,36.842139346681904,,503.347,27.16341263215496,2.27,,,,8763.436,13150.999,4352.402,979.8,4481.196,221.284,,0.25,,,,,millions,USD
Q3 2011,,,,,,,,,,,520.2550000000001,19.567999999999998,500.6870000000001,,,,,,,,,,,,,millions,USD
Q4 2011,1701.9,,,,632.4,37.158469945355186,685.0,493.7,29.008754920970674,2.21,167.7,26.8,140.89999999999998,8933.392,13405.487,4445.586,1854.601,4248.837,216.7,25.7,2.27,,,,,millions,USD
FY2011,7140.0,,,,2659.8,37.25210084033614,2748.2000000000003,1923.6,26.941176470588236,2.89,1621.8,131.7,1490.1,9103.9,13775.8,4653.3,1935.261,5198.6,666.3,88.7,0.33,,,,,millions,USD
Q1 2012,1799.3,,,,617.1,34.29667092758295,,503.2,27.966431389984997,2.33,,,,9353.336,13662.808,4286.559,1847.778,4541.927,215.125221,,0.27,,,,,millions,USD
H1-2012,3501.2,,,,1249.5,35.6877641951331,1357.9,984.0,28.10464983434251,4.54,478.3,45.3,433.0,,,,,,215.9,50.3,2.54,,,,,millions,USD
