Date,Close
2016-10-01,33.66
2016-11-01,39.26
2016-12-01,39.58
2017-01-01,39.74
2017-02-01,43.04
2017-03-01,42.14
2017-04-01,43.11
2017-05-01,41.79
2017-06-01,44.79
2017-07-01,44.78
2017-08-01,43.23
2017-09-01,44.51
2017-10-01,42.13
2017-11-01,43.35
2017-12-01,43.33
2018-01-01,42.41
2018-02-01,38.67
2018-03-01,34.68
2018-04-01,33.64
2018-05-01,33.57
2018-06-01,32.05
2018-07-01,34.32
2018-08-01,31.74
2018-09-01,30.41
2018-10-01,30.5
2018-11-01,33.89
2018-12-01,29.66
2019-01-01,29.61
2019-02-01,32.61
2019-03-01,33.14
2019-04-01,34.59
2019-05-01,31.82
2019-06-01,34.8
2019-07-01,32.63
2019-08-01,26.28
2019-09-01,28.86
2019-10-01,27.55
2019-11-01,27.49
2019-12-01,25.98
2020-01-01,25.3
2020-02-01,21.76
2020-03-01,16.69
2020-04-01,18.84
2020-05-01,18.87
2020-06-01,20.97
2020-07-01,21.05
2020-08-01,21.06
2020-09-01,20.35
2020-10-01,18.75
2020-11-01,21.99
2020-12-01,24.99
2021-01-01,26.29
2021-02-01,26.17
2021-03-01,29.6
2021-04-01,30
2021-05-01,34.21
2021-06-01,31.99
2021-07-01,29.55
2021-08-01,32.44
2021-09-01,29.72
2021-10-01,31.49
2021-11-01,32.4
2021-12-01,33.49
2022-01-01,31.97
2022-02-01,29.73
2022-03-01,27.92
2022-04-01,24.59
2022-05-01,27.08
2022-06-01,23.31
2022-07-01,27.45
2022-08-01,26.07
2022-09-01,21.52
2022-10-01,23.45
2022-11-01,26.81
2022-12-01,26.38
2023-01-01,31.2
2023-02-01,29.47
2023-03-01,26.94
2023-04-01,26.88
2023-05-01,24.01
2023-06-01,26.71
2023-07-01,29.24
2023-08-01,26.74
2023-09-01,24.58
2023-10-01,22.79
2023-11-01,24.8
2023-12-01,29.79
2024-01-01,26.63
2024-02-01,27.45
2024-03-01,28.11
2024-04-01,22.84
2024-05-01,23.6
2024-06-01,22.35
2024-07-01,22.87
2024-08-01,20.24
2024-09-01,20.15
2024-10-01,20.77
2024-11-01,22.76
2024-12-01,20.29
2025-01-01,22.24
2025-02-01,20.25
2025-03-01,19.25
2025-04-01,18.76
2025-05-01,21.64
2025-06-01,23.85
2025-07-01,24
2025-08-01,25.66
2025-09-01,23.13
2025-10-01,22.61
2025-11-01,22.59
2025-12-01,23.89
2026-01-01,26.62
2026-02-01,26.54
2026-03-01,23.62
2026-04-01,29.97
2026-05-01,31.02
2026-06-01,33.27
2026-07-01,33.86
2026-08-01,34.15
2026-09-01,32.55
2026-09-25,33.02
