Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2008,,,,,,,,,,,,,,,,,,119.0,,,,,,,,millions,USD
Q3 2009,,,380.1,,192.0,,206.4,121.4,,0.81,117.8,6.8,111.0,,,,,286.5,,1.9,0.575,,,,,millions,USD
H2-2009,,,823.1,,417.6,,446.20000000000005,268.6,,1.8,205.7,12.4,193.29999999999998,,,,,,,3.9,0.575,,,,,millions,USD
Q4 2009,,,443.0,,225.6,,,147.3,,0.99,,,,,,,,289.3,,,,,,,,millions,USD
FY2009,,,1577.0,,661.0,,716.0,435.0,,2.88,491.0,49.0,442.0,1816.0,,,,340.0,151.379,7.0,,,,,,millions,USD
Q1 2010,,,410.9,,173.9,,,107.9,,0.73,,,,,,,,241.7,,,0.6,,,,,millions,USD
Q3 2010,,,378.8,,172.7,,187.2,111.4,,0.76,96.6,6.9,89.69999999999999,1866.9,3381.9,1515.0,511.7,260.8,147.385,1.7,0.6,,,,,millions,USD
H2-2010,,,837.6,,407.7,,436.4,265.4,,1.81,177.8,15.1,162.70000000000002,,,,,,146.948,3.9,0.6,,,,,millions,USD
Q4 2010,,,458.8,,235.0,,,154.0,,1.06,,,,1975.4,3440.1,1464.7,511.4,155.7,146.504,,,,,,,millions,USD
FY2010,,,1611.0,,710.0,,769.0,449.0,,3.03,545.0,34.0,511.0,1895.0,3383.0,1488.0,514.0,232.0,148.575,8.0,,,,,,millions,USD
Q1 2011,,,463.5,,225.5,,,140.7,,0.97,,,,1873.7,3522.9,1649.2,759.7,278.6,146.04,,1.64,,,,,millions,USD
Q3 2011,,,420.3,,185.9,,198.9,118.1,,0.54,64.0,6.2,57.8,2070.2,3749.2,1679.0,759.5,552.5,218.801,2.2,0.427,,,,,millions,USD
H2-2011,,,922.2,,432.2,,458.0,275.6,,1.28,,18.8,,,,,,,217.379,4.3,0.427,,,,,millions,USD
Q4 2011,,,501.9,,246.3,,,157.6,,1.1,,,,2006.2,3673.6,1667.4,757.7,380.1,216.276,,0.0,,,,,millions,USD
FY2011,,,1724.0,,855.0,,911.0,572.0,,2.61,527.0,39.0,488.0,2060.0,3712.0,1652.0,1014.0,567.0,219.77,9.0,,,,,,millions,USD
Q1 2012,,,450.9,,206.2,,,133.1,,0.63,,,,2034.7,3676.4,1641.7,756.5,494.9,214.499,,0.467,,,,,millions,USD
Q3 2012,,,464.0,,222.0,,234.0,147.0,,0.69,,17.0,,2122.0,3583.0,1461.0,504.8,361.0,214.798,2.0,0.467,,,,,millions,USD
H2-2012,,,989.0,,484.0,,508.0,320.0,,1.5,,39.0,,,,,,,214.843,5.0,0.467,,,,,millions,USD
Q4 2012,,,525.0,,262.0,,,173.0,,0.81,,,,2304.8,3803.9,1499.1,504.1,369.0,214.891,,0.0,,,,,millions,USD
FY2012,,,1795.0,,788.0,,837.0,513.0,,2.39,,58.0,,2069.0,3477.0,1408.0,509.0,338.0,216.083,9.0,,,,,,millions,USD
Q1 2013,,,507.0,,237.0,,,157.0,,0.74,,,,1518.8,3832.3,2313.5,1504.0,387.0,215.051,,4.51,,,,,millions,USD
Q3 2013,,,477.0,,217.0,,229.0,143.0,,0.67,,25.0,,1666.0,3686.0,2020.0,998.0,217.0,215.32,3.0,0.51,,,,,millions,USD
H2-2013,,,1053.0,,528.0,,552.0,349.0,,1.63,,60.0,,,,,,,215.248,6.0,0.51,,,,,millions,USD
Q4 2013,,,576.0,,311.0,,,206.0,,0.97,,,,1838.0,3882.0,2044.0,998.0,287.0,215.204,,0.0,,,,,millions,USD
FY2013,,,1955.0,,898.0,,949.0,591.0,,2.77,,95.0,,1628.0,3626.0,1998.0,1001.0,204.0,214.986,11.0,,,,,,millions,USD
Q1 2014,,,532.0,,255.0,,,177.0,,0.83,,,,1889.0,3993.0,2104.0,997.0,287.0,214.792,,0.58,,,,,millions,USD
Q3 2014,,,495.0,,221.0,,234.0,150.0,,0.7,,31.0,,2054.0,4191.0,2137.0,998.0,460.0,215.019,3.0,0.58,,,,,millions,USD
H2-2014,,,1104.0,,523.0,,548.0,358.0,,1.68,,59.0,,,,,,,214.202,6.0,0.58,,,,,millions,USD
Q4 2014,,,609.0,,303.0,,,208.0,,0.98,,,,2075.0,4243.0,2168.0,998.0,235.0,213.569,,0.0,,,,,millions,USD
FY2014,,,2078.0,,971.0,,1021.0,659.0,,3.08,,126.0,,2032.0,4103.0,2071.0,997.0,437.0,426.91,13.0,,,,,,millions,USD
Q1 2015,,,553.0,,272.0,,,186.0,,0.88,,,,2041.0,4161.0,2120.0,998.0,250.0,212.606,,0.63,,,,,millions,USD
Q3 2015,,,491.0,,227.0,,240.0,156.0,,0.38,,39.0,,1707.0,4334.0,2627.0,1729.0,494.0,417.276,3.0,0.315,,,,,millions,USD
H2-2015,,,1076.0,,529.0,,556.0,356.0,,0.87,,65.0,,,,,,,413.866,8.0,0.315,,,,,millions,USD
Q4 2015,,,586.0,,302.0,,,200.0,,0.98,,,,1401.0,4319.0,2918.0,1729.0,195.0,410.861,,0.0,,,,,millions,USD
FY2015,,,2183.0,,1027.0,,1078.0,684.0,,1.62,,120.0,,1905.0,4188.0,2283.0,1243.0,370.0,521.749,15.0,,,,,,millions,USD
Q1 2016,,,555.0,,278.0,,,190.0,,0.47,,,,1417.0,4333.0,2916.0,1229.0,317.0,404.781,,0.34,,,,,millions,USD
Q3 2016,,,453.0,,213.0,,228.0,144.0,,0.37,,16.0,,1330.0,4755.0,3425.0,1953.0,459.0,396.009,4.0,0.34,,,,,millions,USD
H2-2016,,,1005.0,,504.0,,532.0,342.0,,0.87,169.0,36.0,133.0,,,,,,393.889,7.0,0.34,,,,,millions,USD
Q4 2016,,,552.0,,291.0,,,197.0,,0.51,,,,1283.0,4720.0,3437.0,1917.0,211.0,391.848,,0.0,,,,,millions,USD
FY2016,,,2144.0,,1533.0,,1589.0,1067.0,,2.1,524.0,108.0,416.0,1562.0,4183.0,2621.0,1230.0,263.0,494.353,15.0,,,,,,millions,USD
Q1 2017,,,536.0,,273.0,,,182.0,,0.38,,,,1184.0,4600.0,3416.0,2167.0,197.0,483.958,,0.292,,,,,millions,USD
Q3 2017,723.0,230.0,493.0,68.1881051175657,246.0,34.024896265560166,261.0,178.0,24.619640387275243,0.37,105.0,28.0,77.0,1420.0,4802.0,3382.0,2220.0,212.0,482.984,4.0,0.292,,,,,millions,USD
