Date,Close
2016-10-01,36.936
2016-11-01,36.28
2016-12-01,35.936
2017-01-01,36.48
2017-02-01,39.008
2017-03-01,36.944
2017-04-01,37.856
2017-05-01,41.56
2017-06-01,38.88
2017-07-01,39.52
2017-08-01,42.432
2017-09-01,43.44
2017-10-01,45.616
2017-11-01,47.84
2017-12-01,54.936
2018-01-01,55.44
2018-02-01,55.832
2018-03-01,54.4
2018-04-01,56.04
2018-05-01,56.56
2018-06-01,49.01
2018-07-01,53.22
2018-08-01,52.22
2018-09-01,50.55
2018-10-01,46.34
2018-11-01,47.72
2018-12-01,47.58
2019-01-01,47.25
2019-02-01,49.49
2019-03-01,52.78
2019-04-01,53.29
2019-05-01,49.98
2019-06-01,55.43
2019-07-01,54.81
2019-08-01,58.99
2019-09-01,62.78
2019-10-01,65.52
2019-11-01,67.82
2019-12-01,67.6
2020-01-01,67.64
2020-02-01,61.41
2020-03-01,55.51
2020-04-01,62.2
2020-05-01,65.93
2020-06-01,63.66
2020-07-01,69.34
2020-08-01,73.17
2020-09-01,75.32
2020-10-01,69.71
2020-11-01,80.66
2020-12-01,79.43
2021-01-01,71.67
2021-02-01,71.58
2021-03-01,68.97
2021-04-01,76.28
2021-05-01,80.36
2021-06-01,74.94
2021-07-01,70.92
2021-08-01,70.22
2021-09-01,67.01
2021-10-01,67.89
2021-11-01,70.36
2021-12-01,72.86
2022-01-01,67.43
2022-02-01,65.23
2022-03-01,67.02
2022-04-01,67.44
2022-05-01,66.12
2022-06-01,70.16
2022-07-01,74.22
2022-08-01,72.7
2022-09-01,66.57
2022-10-01,68
2022-11-01,73.02
2022-12-01,65.68
2023-01-01,66.58
2023-02-01,64.87
2023-03-01,64.27
2023-04-01,65.09
2023-05-01,61.77
2023-06-01,66.78
2023-07-01,70.6
2023-08-01,66.13
2023-09-01,57.69
2023-10-01,56.16
2023-11-01,58.74
2023-12-01,57.1
2024-01-01,54.9
2024-02-01,60.23
2024-03-01,51.62
2024-04-01,47.85
2024-05-01,45.86
2024-06-01,43.19
2024-07-01,45.16
2024-08-01,45.59
2024-09-01,49.2
2024-10-01,44.03
2024-11-01,42.08
2024-12-01,37.98
2025-01-01,33.01
2025-02-01,33.11
2025-03-01,33.94
2025-04-01,34.84
2025-05-01,33.34
2025-06-01,26.91
2025-07-01,28.85
2025-08-01,29.94
2025-09-01,27.08
2025-10-01,27.23
2025-11-01,28.98
2025-12-01,26.06
2026-01-01,27.37
2026-02-01,28.86
2026-03-01,26.44
2026-04-01,25.77
2026-05-01,25.72
2026-06-01,26.65
2026-07-01,28.73
2026-08-01,26.57
2026-09-01,26
2026-09-25,26.16
