Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,UnderlyingEBIT
FY2016,30912.0,,,,-6235.0,-20.170160455486545,12340.0,-6385.0,-20.655408902691512,-1.2,10625.0,7711.0,2914.0,54290.0,118953.0,58882.0,36400.0,10319.0,5322.0,,,,,,,millions,USD,3469.0
FY2017,38285.0,,,,11753.0,30.698707065430327,20296.0,5890.0,15.384615384615385,1.107,16804.0,5220.0,11584.0,57258.0,117006.0,54280.0,30500.0,14153.0,5336.0,,,,,,,millions,USD,12389.0
FY2018,43129.0,,,,15996.0,37.08873379860419,23183.0,3705.0,8.590507547126064,0.696,18461.0,6753.0,11708.0,55521.0,112943.0,51323.0,26800.0,15871.0,5337.0,,,,,,,millions,USD,16562.0
H1 FY2019,20742.0,,,,7333.0,35.3533892585093,10539.0,3764.0,18.146755375566485,0.71,7274.0,3501.0,3773.0,50647.0,102414.0,47098.0,23938.0,15099.0,5303.0,,,,,,,millions,USD,
FY2019,44288.0,,,,16113.0,36.38231575144509,23158.0,8306.0,18.75451589595376,1.6030000000000002,17871.0,7566.0,10305.0,47169.0,101811.0,49037.0,24800.0,15613.0,5193.0,,,,,,,millions,USD,17065.0
H1 FY2020,22294.0,,,,8314.0,37.292545079393555,12084.0,4868.0,21.835471427289853,0.963,7442.0,3795.0,3647.0,48122.0,102290.0,49872.0,22535.0,14321.0,5057.0,,,,,,,millions,USD,
FY2020,42931.0,,,,14421.0,33.5911113181617,22071.0,7956.0,18.532063077962313,1.5730000000000002,15706.0,7640.0,8066.0,47865.0,105733.0,52537.0,27000.0,13426.0,5069.0,,,,,,,millions,USD,15874.0
H1 FY2021,25639.0,,,,9750.0,38.028004212332775,14680.0,3876.0,15.117594289948904,0.7659999999999999,9369.0,3614.0,5755.0,53423.0,103233.0,49810.0,,9291.0,5057.0,,,,,,,millions,USD,
FY2021,60817.0,,,,25906.0,42.59664238617491,37379.0,11304.0,18.58690826578095,2.235,27234.0,7120.0,20114.0,51264.0,108927.0,53322.0,21000.0,15246.0,5068.0,,,,,,,millions,USD,30291.0
H1 FY2022,30527.0,,,,14845.0,48.629082451600226,18463.0,9443.0,30.933272185278604,1.8659999999999999,13277.0,3677.0,9600.0,54922.0,105725.0,50803.0,,12366.0,5061.0,,,,,,,millions,USD,
FY2022,65098.0,,,,34106.0,52.39177854926419,40634.0,30900.0,47.46689606439522,6.106,32174.0,7545.0,24629.0,44957.0,95166.0,46400.0,16400.0,17236.0,5071.0,,,,,,,millions,USD,34436.0
H1 FY2023,25713.0,,,,10833.0,42.1304398553261,13230.0,6457.0,25.11181114611286,1.275,6770.0,3027.0,3743.0,46552.0,87824.0,41272.0,,9605.0,5064.0,,,,,,,millions,USD,
FY2023,53817.0,,,,22932.0,42.61107085121802,27956.0,12921.0,24.009142092647302,2.552,18701.0,7083.0,11618.0,44496.0,101296.0,52766.0,22300.0,12428.0,5073.0,,,,,,,millions,USD,22820.0
H1 FY2024,27232.0,,,,4803.0,17.637338425381905,13875.0,927.0,3.4040834312573445,0.183,8884.0,4744.0,4140.0,45591.0,99988.0,54397.0,,10319.0,5073.0,,,,,,,millions,USD,
FY2024,55658.0,,,,17537.0,31.508498329081174,29016.0,7897.0,14.188436523051493,1.558,20665.0,9273.0,11392.0,44811.0,102362.0,53242.0,20700.0,12455.0,5077.0,,,,,,,millions,USD,23631.0
H1 FY2025,25176.0,,,,9126.0,36.24880838894185,12362.0,4416.0,17.54051477597712,0.871,8317.0,5205.0,3112.0,52218.0,108790.0,56572.0,,11894.0,5083.0,,,,,,,millions,USD,
FY2025,51262.0,,,,19464.0,37.96964613163747,25978.0,9019.0,17.593929226327493,1.778,18692.0,9794.0,8898.0,47665.0,108790.0,56572.0,24500.0,11894.0,5083.0,,,,,,,millions,USD,20240.0
H1 FY2026,27902.0,,,,12260.0,43.93950254462046,15462.0,5640.0,20.213604759515448,1.111,9372.0,5263.0,4109.0,55465.0,116012.0,60547.0,,13466.0,5089.0,,,,,,,millions,USD,
FY2026,58760.0,,,,23869.0,40.621170864533696,32947.0,9833.0,16.73417290673928,1.936,21778.0,10257.0,11521.0,50923.0,121387.0,65066.0,27100.0,18532.0,5089.0,,,,,,,millions,USD,26640.0
